scientific_name,decimalLongitude,decimalLatitude
Abramites hypselonotus,-57.907361,-21.775173
Abramites hypselonotus,-57.89295,-21.692213
Abramites hypselonotus,-57.018333,-19.577222
Abramites hypselonotus,-57.018333,-19.577222
Abramites hypselonotus,-57.018333,-19.577222
Abramites hypselonotus,-57.018333,-19.577222
Abramites hypselonotus,-57.018333,-19.577222
Abramites hypselonotus,-57.018333,-19.577222
Abramites hypselonotus,-57.018333,-19.577222
Abramites hypselonotus,-57.018333,-19.577222
Abramites hypselonotus,-57.018333,-19.577222
Abramites hypselonotus,-58.992778,-3.231944
Abramites hypselonotus,-57.498136,-19.021735
Abramites hypselonotus,-54.741755,-18.52568
Abramites hypselonotus,-59.010278,-3.227222
Abramites hypselonotus,-54.523744,-16.487756
Abramites hypselonotus,-70.33637,-4.43606
Abramites hypselonotus,-70.2859,-4.61246
Abramites hypselonotus,-70.2625,-4.3705
Abramites hypselonotus,-54.185278,-19.345556
Abramites hypselonotus,-54.573611,-18.711667
Abramites hypselonotus,-50.676111,-6.08
Abramites hypselonotus,-54.603333,-25.449722
Abramites hypselonotus,-63.925,-8.783056
Abramites hypselonotus,-57.018611,-19.576944
Abramites hypselonotus,-57.017778,-19.576389
Abramites hypselonotus,-57.017778,-19.576389
Abramites hypselonotus,-57.018056,-19.576667
Abramites hypselonotus,-57.018056,-19.576667
Abramites hypselonotus,-57.018056,-19.576667
Abramites hypselonotus,-57.018056,-19.576667
Abramites hypselonotus,-58.947778,-3.572778
Abramites hypselonotus,-64.3175,-6.312417
Abramites hypselonotus,-48.503889,-14.558333
Abramites hypselonotus,-65.371667,-10.429444
Abramites hypselonotus,-54.563814,-25.588331
Abramites hypselonotus,-54.563814,-25.588331
Abramites hypselonotus,-65.223889,-11.610556
Abramites hypselonotus,-57.906667,-21.713889000000002
Abramites hypselonotus,-64.645,-9.261944
Abramites hypselonotus,-56.322056,-16.373222
Abramites hypselonotus,-54.585,-25.583333
Abramites hypselonotus,-65.343889,-4.849722
Abramites hypselonotus,-67.821111,-5.930833
Abramites hypselonotus,-55.940556,-15.973889
Abramites hypselonotus,-55.952778,-16.333889
Abramites hypselonotus,-68.310833,-10.047222
Abramites hypselonotus,-55.9,-16.33
Abramites hypselonotus,-61.491111,-3.658056
Abramites hypselonotus,-55.940833,-15.974167
Abramites hypselonotus,-54.439444,-16.623889
Abramites hypselonotus,-54.945556,-15.733889
Abramites hypselonotus,-57.018056,-19.576944
Abramites hypselonotus,-54.585,-25.583333
Abramites hypselonotus,-57.011667,-19.576944
Abramites hypselonotus,-64.689163,-3.268055
Abramites hypselonotus,-67.4,-8.733333
Abramites hypselonotus,-67.466667,-9.233333
Abramites hypselonotus,-72.666667,-9.3
Abramites hypselonotus,-72.683333,-9.15
Abramites hypselonotus,-72.7,-8.966667
Abramites hypselonotus,-55.516667,-1.9
Abramites hypselonotus,-50.948889,-3.285556
Abramites hypselonotus,-57.331944,-19.412778
Abramites hypselonotus,-57.018056,-19.576667
Abramites hypselonotus,-57.018056,-19.576667
Abramites hypselonotus,-56.076667,-15.865833
Abramites hypselonotus,-57.011667,-19.576944
Abramites hypselonotus,-49.67135,-3.808219
Abramites hypselonotus,-56.066667,-15.65
Abramites hypselonotus,-56.058333,-15.875
Abramites hypselonotus,-54.75,-18.5
Abramites hypselonotus,-56,-15.916667
Abramites hypselonotus,-64.383333,-3
Abramites hypselonotus,-54.75,-18.5
Abramites hypselonotus,-56.096667,-15.596389
Abramites hypselonotus,-56.116667,-15.633333
Abramites hypselonotus,-55.95,-16.183333
Abramites hypselonotus,-54.75,-18.5
Abramites hypselonotus,-63.333333,-3.916667
Abramites hypselonotus,-63.333333,-3.916667
Abramites hypselonotus,-67.95,-3.133333
Abramites hypselonotus,-60.75,-3.216667
Abramites hypselonotus,-59.75,-3.2
Abramites hypselonotus,-56.083333,-15.866667
Abramites hypselonotus,-70.033333,-4.35
Abramites hypselonotus,-50.566667,-10.533333
Abramites hypselonotus,-54.683334,-2.433333
Abramites hypselonotus,-57.704962,-16.076234
Abramites hypselonotus,-61.50833,-3.10833
Abramites hypselonotus,-61.50833,-3.10833
Abramites hypselonotus,-57.664722,-15.731389
Abramites hypselonotus,-63.85,-8.542222
