Species,decimalLongitude,decimalLatitude
Abrus precatorius,-35.223515,-5.930694
Abrus precatorius,-40.336377,-20.364465
Abrus precatorius,-37.989869,-4.266714
Abrus precatorius,-34.868525,-7.842336
Abrus precatorius,-39.746509,-18.949849
Abrus precatorius,-39.746618,-18.949976
Abrus precatorius,-40.332278,-20.373205
Abrus precatorius,-41.098289,-21.495197
Abrus precatorius,-38.568913,-3.7396
Abrus precatorius,-46.465915,-23.571226
Abrus precatorius,-37.560556,-11.838889
Abrus precatorius,-48.484416,-27.680694
Abrus precatorius,-38.887164,-3.594308
Abrus precatorius,-38.904165,-3.512381
Abrus precatorius,-38.904165,-3.512381
Abrus precatorius,-41.025191,-21.736358
Abrus precatorius,-43.470674,-23.024334
Abrus precatorius,-38.642194,-3.709836
Abrus precatorius,13,-13.293333
Abrus precatorius,-38.641164,-3.710736
Abrus precatorius,-43.707765,-22.751931
Abrus precatorius,-39.74713,-18.949485
Abrus precatorius,-42.584861,-22.930736
Abrus precatorius,-42.584965,-22.930793
Abrus precatorius,-42.585,-22.930833
Abrus precatorius,-38.780015,-3.588943
Abrus precatorius,-35.287857,-6.420273
Abrus precatorius,-39.701382,-18.412823
Abrus precatorius,-39.055302,-3.412475
Abrus precatorius,-40.820123,-20.92855
Abrus precatorius,-40.82,-20.926111
Abrus precatorius,-40.82,-20.926111
Abrus precatorius,-39.722298,-19.089517
Abrus precatorius,-48.63699,-26.855356
Abrus precatorius,-39.747036,-18.950278
Abrus precatorius,-44.226837,-2.651705
Abrus precatorius,-48.516406,-27.732383
Abrus precatorius,-39.059167,-14.766389
Abrus precatorius,-39.701825,-18.413254
Abrus precatorius,-35.223515,-5.930694
Abrus precatorius,-44.193889,-23.173611
Abrus precatorius,-41.613889,-21.796111
Abrus precatorius,-36.340405,-10.361618
Abrus precatorius,-35.223515,-5.930694
Abrus precatorius,-35.219046,-5.639939
Abrus precatorius,-38.869951,-3.609725
Abrus precatorius,-42.160121,-22.81884
Abrus precatorius,-42.162209,-22.823805
Abrus precatorius,-38.643096,-3.710307
Abrus precatorius,-38.57395,-3.742692
Abrus precatorius,-35.223515,-5.930694
Abrus precatorius,-37.945062,-12.449763
Abrus precatorius,-39.059167,-14.766389
Abrus precatorius,-43.838448,-19.824385
Abrus precatorius,-48.640324,-26.879472
Abrus precatorius,-48.642031,-26.889738
Abrus precatorius,-48.636955,-26.863824
Abrus precatorius,-48.641976,-26.889336
Abrus precatorius,-48.641976,-26.889336
Abrus precatorius,-46.841851,-23.448439
Abrus precatorius,-43.678611,-22.76
Abrus precatorius,-48.40817,-27.485084
Abrus precatorius,-39.099792,-16.596192
Abrus precatorius,-51.916389,-21.243889
Abrus precatorius,-46.783332,-23.572007
Abrus precatorius,-51.902778,-21.258333
Abrus precatorius,-48.500634,-27.710206
Abrus precatorius,-48.635159,-26.854005
Abrus precatorius,-43.658317,-22.988347
Abrus precatorius,-51.773889,-21.393056
Abrus precatorius,-51.773889,-21.393055
Abrus precatorius,-43.81568,-22.791428
Abrus precatorius,-35.183056,-6.083333
Abrus precatorius,-39.706111,-18.418889
Abrus precatorius,-44.281944,-2.573611
Abrus precatorius,-44.281944,-2.573611
Abrus precatorius,-39.706111,-18.418889
Abrus precatorius,-44.130841,-2.770398
Abrus precatorius,-43.656944,-22.99
Abrus precatorius,-43.656944,-22.99
Abrus precatorius,-43.590278,-22.99
Abrus precatorius,-43.590278,-22.99
Abrus precatorius,-48.390318,-22.376096
Abrus precatorius,-41.789428,-2.800262
Abrus precatorius,-39.739444,-18.96
Abrus precatorius,-39.795278,-18.695556
Abrus precatorius,-39.739444,-18.96
Abrus precatorius,-39.749722,-18.76
Abrus precatorius,-38.01,-4.565
Abrus precatorius,-38.016944,-4.946944
Abrus precatorius,-48.640294,-26.879819
Abrus precatorius,-43.438268,-22.586237
Abrus precatorius,-43.438268,-22.586237
Abrus precatorius,-51.501111,-21.214444
Abrus precatorius,-54.953333,-8.188611
Abrus precatorius,-39.708889,-19.188333
Abrus precatorius,-39.708889,-19.188333
Abrus precatorius,-40.316135,-20.329941
Abrus precatorius,-47.859962,-15.779646
Abrus precatorius,-44.711115,-23.211898
Abrus precatorius,-43.560903,-2.74809
Abrus precatorius,-51.913889,-21.248889
Abrus precatorius,-40.354444,-3.940556
Abrus precatorius,-41.475,-22.204444
Abrus precatorius,-43.635288,-22.98203
Abrus precatorius,-51.904444,-21.259722
Abrus precatorius,-35.34,-5.478611
Abrus precatorius,-41.151261,-12.931333
Abrus precatorius,-41.151261,-12.931333
Abrus precatorius,-42.461389,-22.926389
Abrus precatorius,-43.6575,-22.989167
Abrus precatorius,-39.749444,-18.798333
Abrus precatorius,-39.738889,-18.961667
Abrus precatorius,-39.749444,-18.798333
Abrus precatorius,-39.738889,-18.961667
Abrus precatorius,-46.955145,-23.082827
Abrus precatorius,-42.583056,-22.93
Abrus precatorius,-42.583056,-22.93
Abrus precatorius,-39.963764,-2.918036
Abrus precatorius,-42.583056,-22.93
Abrus precatorius,-45.17227,-23.513334
Abrus precatorius,-43.65772,-22.990353
Abrus precatorius,-38.642881,-3.711164
Abrus precatorius,-43.307232,-22.578874
Abrus precatorius,-41.599244,-22.112827
Abrus precatorius,-39.104701,-16.587377
Abrus precatorius,59.433611,38.083333
Abrus precatorius,-48.63472,-26.99056
Abrus precatorius,-43.536,-23.046
Abrus precatorius,-42.987931,-22.929228
Abrus precatorius,-48.5125,-27.731944
Abrus precatorius,-39.75,-18.783333
Abrus precatorius,-48.5125,-27.731944
Abrus precatorius,-39.75,-18.783333
Abrus precatorius,-48.5125,-27.731944
Abrus precatorius,-39.739722,-18.959444
Abrus precatorius,-39.739722,-18.959444
Abrus precatorius,-38.575022,-3.744686
Abrus precatorius,-38.573405,-3.742537
Abrus precatorius,-38.573405,-3.742537
Abrus precatorius,-38.570469,-3.747746
Abrus precatorius,-43.130369,-15.710334
Abrus precatorius,-41.263889,-21.262778
Abrus precatorius,-41.263889,-21.712778
Abrus precatorius,-41.263889,-21.712778
Abrus precatorius,-48.500803,-27.711825
Abrus precatorius,-38.387474,-3.906286
Abrus precatorius,-38.573405,-3.742537
Abrus precatorius,27,48
Abrus precatorius,-38.573405,-3.742537
Abrus precatorius,-42.384444,-2.967222
Abrus precatorius,-40.257578,-19.834805
Abrus precatorius,-38.641083,-3.708444
Abrus precatorius,-38.573405,-3.742537
Abrus precatorius,-38.403,-3.831625
Abrus precatorius,-39.745278,-18.681111
Abrus precatorius,-39.709444,-19.1875
Abrus precatorius,-39.737778,-18.958056
Abrus precatorius,-47.52,-13.86
Abrus precatorius,-39.745,-18.680278
Abrus precatorius,-47.52,-13.86
Abrus precatorius,-39.745278,-18.681111
Abrus precatorius,-39.737778,-18.958056
Abrus precatorius,-39.709444,-19.1875
Abrus precatorius,-39.709444,-19.1875
Abrus precatorius,-42.454444,-22.926111
Abrus precatorius,-39.749167,-18.796667
Abrus precatorius,-48.487193,-27.683694
Abrus precatorius,-39.709167,-19.190278
Abrus precatorius,-39.709167,-19.190278
Abrus precatorius,-46.433611,-23.382222
Abrus precatorius,-46.726944,-23.639444
Abrus precatorius,-46.726944,-23.639444
Abrus precatorius,-39.793889,-18.694167
Abrus precatorius,-38.574989,-3.743622
Abrus precatorius,-35.206667,-5.702222
Abrus precatorius,-41.996944,-22.753889
Abrus precatorius,-45.364166,-23.602501
Abrus precatorius,-45.364166,-23.602501
Abrus precatorius,-42.384444,-2.967222
Abrus precatorius,-39.133333,-13.716667
Abrus precatorius,-39.133333,-13.716667
Abrus precatorius,-39.133333,-13.716667
Abrus precatorius,-38.994417,-4.285611
Abrus precatorius,-36.280556,-10.290833
Abrus precatorius,-36.468056,-10.485278
Abrus precatorius,-35.229444,-5.849167
Abrus precatorius,-35.229444,-5.849167
Abrus precatorius,-35.229444,-5.849167
Abrus precatorius,-38.891111,-15.901667
Abrus precatorius,-38.891111,-15.901667
Abrus precatorius,-38.891111,-15.901667
Abrus precatorius,-38.891111,-15.901667
Abrus precatorius,-38.016667,-12.583333
Abrus precatorius,-38.016667,-12.583333
Abrus precatorius,-38.016667,-12.583333
Abrus precatorius,-44.093981,-2.791822
Abrus precatorius,-35.188889,-5.929167
Abrus precatorius,-35.1889,-5.9292
Abrus precatorius,-35.198889,-5.928056
Abrus precatorius,-35.1889,-5.9292
Abrus precatorius,-35.188889,-5.929167
Abrus precatorius,-35.188889,-5.929167
Abrus precatorius,-41.050556,-21.053611
Abrus precatorius,-35.1889,-5.9292
Abrus precatorius,-35.188889,-5.929167
Abrus precatorius,-41.050556,-21.753611
Abrus precatorius,-41.050556,-21.753611
Abrus precatorius,-41.050556,-21.753611
Abrus precatorius,-55.244722,-19.774722
Abrus precatorius,-35.208056,-5.701111
Abrus precatorius,-35.208056,-5.701111
Abrus precatorius,-35.208056,-5.701111
Abrus precatorius,-35.208056,-5.701111
Abrus precatorius,-35.208056,-5.701111
Abrus precatorius,-35.208472,-5.699028
Abrus precatorius,-41.383333,-12.55
Abrus precatorius,-41.383333,-12.55
Abrus precatorius,-41.383333,-12.55
Abrus precatorius,-37.559167,-11.833056
Abrus precatorius,-38.528611,-12.749722
Abrus precatorius,-38.528611,-12.749722
Abrus precatorius,-35.2075,-5.703611
Abrus precatorius,-35.2075,-5.703611
Abrus precatorius,-35.2075,-5.703611
Abrus precatorius,-34.9769,-6.5022
Abrus precatorius,-34.976944,-6.502222
Abrus precatorius,-34.976944,-6.502222
Abrus precatorius,-37.525278,-11.745556
Abrus precatorius,-39.709722,-18.420278
Abrus precatorius,-47.465,-7.025833
Abrus precatorius,-47.465,-7.025833
Abrus precatorius,-46.292778,-1.208611
Abrus precatorius,-40.065,-19.3775
Abrus precatorius,-48.631111,-27.446667
Abrus precatorius,-48.631111,-27.446667
Abrus precatorius,-48.628333,-27.446389
Abrus precatorius,-35.518611,-6.183333
Abrus precatorius,-35.518611,-6.183333
Abrus precatorius,-41.03174,-21.730448
Abrus precatorius,-46.681667,-0.915
Abrus precatorius,-46.681972,-0.914611
Abrus precatorius,-53.717222,-22.935
Abrus precatorius,-35.271389,-5.911667
Abrus precatorius,-35.271389,-5.911667
Abrus precatorius,-41.448056,-21.797222
Abrus precatorius,-34.978633,-6.493617
Abrus precatorius,-34.978611,-6.493611
Abrus precatorius,-34.978633,-6.493619
Abrus precatorius,-41.804444,-2.843333
Abrus precatorius,-38.486111,-3.798611
Abrus precatorius,-35.007778,-6.369444
Abrus precatorius,-35.007778,-6.369444
Abrus precatorius,-64.372778,-8.659167
Abrus precatorius,-35.380556,-5.301111
Abrus precatorius,-35.380556,-5.301111
Abrus precatorius,-35.380556,-5.301111
Abrus precatorius,-36.641822,-10.422067
Abrus precatorius,-54.718333,-20.425556
Abrus precatorius,-57.554167,-19.216111
Abrus precatorius,-41.033333,-21.733333
Abrus precatorius,-48.428611,-6.230556
Abrus precatorius,-48.428611,-6.230555
Abrus precatorius,-48.644444,-26.904722
Abrus precatorius,-48.644444,-26.904722
Abrus precatorius,-48.20722,-16.32806
Abrus precatorius,-55.686944,-20.322222
Abrus precatorius,-55.686944,-20.322222
Abrus precatorius,-41.070278,-21.567778
Abrus precatorius,-42.056667,-4.856389
Abrus precatorius,-42.056667,-4.856111
Abrus precatorius,-41.365278000000004,-12.544722
Abrus precatorius,-37.783333,-11.55
Abrus precatorius,-37.783333,-11.55
Abrus precatorius,-37.783333,-11.55
Abrus precatorius,-37.783333,-11.55
Abrus precatorius,-37.6,-11.8
Abrus precatorius,-37.6,-11.8
Abrus precatorius,-37.6,-11.8
Abrus precatorius,-37.6,-11.8
