Species,decimalLongitude,decimalLatitude
Acacia auriculiformis,-35.770331,-9.552406
Acacia auriculiformis,-40.340253,-20.365195
Acacia auriculiformis,-43.435334,-22.585967
Acacia auriculiformis,-41.294088,-21.816142
Acacia auriculiformis,-39.707697,-19.210913
Acacia auriculiformis,-40.340752,-20.365492
Acacia auriculiformis,-35.724157,-9.608922
Acacia auriculiformis,-40.340253,-20.365195
Acacia auriculiformis,-51.174275,-25.3387
Acacia auriculiformis,-44.303208,-2.554632
Acacia auriculiformis,-40.336872,-20.371058
Acacia auriculiformis,-39.016678,-16.244583
Acacia auriculiformis,-36.249044,-10.107908
Acacia auriculiformis,-39.751155,-18.945103
Acacia auriculiformis,-44.811613,-4.199223
Acacia auriculiformis,-39.748056,-18.759167
Acacia auriculiformis,-45.861914,-2.239932
Acacia auriculiformis,-37.169722,-10.806389
Acacia auriculiformis,-46.713389,-1.138722
Acacia auriculiformis,-39.1,-15.433333
Acacia auriculiformis,-39.1,-15.433333
Acacia auriculiformis,-37.083056,-10.503333
Acacia auriculiformis,-37.141667,-10.842778
Acacia auriculiformis,-48.5295,-25.7891
Acacia auriculiformis,-37.054167,-10.789167
Acacia auriculiformis,-37.054167,-10.789167
Acacia auriculiformis,-37.071667,-10.911111
Acacia auriculiformis,-37.071667,-10.911111
Acacia auriculiformis,-37.054167,-10.789167
Acacia auriculiformis,-37.054167,-10.789167
Acacia auriculiformis,-39.794444,-18.613333
Acacia auriculiformis,-46.6577974,-23.586877
Acacia auriculiformis,-46.6577974,-23.586877
Acacia auriculiformis,-46.05,-22.8
Acacia auriculiformis,-46.05,-22.8
Acacia auriculiformis,-40.383333,-19.883333
Acacia auriculiformis,-40.383333,-19.883333
