scientific_name,decimalLongitude,decimalLatitude
Acacia longifolia,-49.905278,-29.578658
Acacia longifolia,-49.896297,-29.565509
Acacia longifolia,-50.229722,-30.228611
Acacia longifolia,-52.195749,-32.218328
Acacia longifolia,-53.366629,-33.715457
Acacia longifolia,-52.530904,-31.602234
Acacia longifolia,-52.530862,-31.602202
Acacia longifolia,-52.530862,-31.602202
Acacia longifolia,-50.245141,-30.282579
Acacia longifolia,-50.681385,-30.977319
Acacia longifolia,-50.958638,-31.261466
Acacia longifolia,-49.358103,-28.937579
Acacia longifolia,-53.962919,-31.110644
Acacia longifolia,-53.962919,-31.110644
Acacia longifolia,-49.682062,-29.277855
Acacia longifolia,-49.807573,-29.439256
Acacia longifolia,-49.999068,-29.72962
Acacia longifolia,-49.479589,-25.446717
Acacia longifolia,-49.958778,-29.659684
Acacia longifolia,-52.256006,-32.041916
Acacia longifolia,-49.218056,-28.805
Acacia longifolia,-49.218056,-28.805
Acacia longifolia,-52.250633,-32.038377
Acacia longifolia,-49.903453,-29.563792
Acacia longifolia,-50.093333,-29.883889
Acacia longifolia,-50.093333,-29.883889
Acacia longifolia,-50.093333,-29.883889
Acacia longifolia,-50.093444,-29.883889
Acacia longifolia,-50.261944,-30.291389
Acacia longifolia,-50.261944,-30.291389
Acacia longifolia,-50.261944,-30.291389
Acacia longifolia,-50.261944,-30.291389
Acacia longifolia,-50.261944,-30.291389
Acacia longifolia,-44.297778,-2.637222
Acacia longifolia,-49.218056,-28.805
Acacia longifolia,-49.218056,-28.805
Acacia longifolia,-53.358056,-33.7325
Acacia longifolia,-54.589239,-25.451277
Acacia longifolia,-48.3603,-10.2128
Acacia longifolia,-48.450556,-1.350833
Acacia longifolia,-49.726667,-29.335556
Acacia longifolia,-49.7273514,-29.3395298
Acacia longifolia,-51.328056,-30.101167
Acacia longifolia,-51.1799547,-29.1722202
Acacia longifolia,-51.179167,-29.168333
Acacia longifolia,-51.178068,-30.051692
Acacia longifolia,-51.729167,-30.0775
Acacia longifolia,-51.118389,-30.046583
Acacia longifolia,-51.328056,-30.101167
Acacia longifolia,-51.328056,-30.101167
Acacia longifolia,-49.719803,-29.325982
Acacia longifolia,-46.621944,-23.654444
Acacia longifolia,-46.621883,-23.654505
Acacia longifolia,-46.63,-23.54
Acacia longifolia,-47.050003,-23.900003
Acacia longifolia,-46.63,-23.54
Acacia longifolia,-46.6361,-23.5475
Acacia longifolia,-46.6361,-23.5475
Acacia longifolia,-43.24103,-22.93257
Acacia longifolia,-43.448333,-22.913611
Acacia longifolia,-43.448386,-22.913514
