scientific_name,decimalLongitude,decimalLatitude
Acacia podalyriifolia,-49.248718,-25.441402
Acacia podalyriifolia,-44.579647,-22.327002
Acacia podalyriifolia,-43.666144,-20.626577
Acacia podalyriifolia,-43.666015,-20.626217
Acacia podalyriifolia,-49.319271,-25.42447
Acacia podalyriifolia,-47.221073,-23.073548
Acacia podalyriifolia,-44.041667,-19.984167
Acacia podalyriifolia,-47.716945,-23.11443
Acacia podalyriifolia,-46.963159,-23.810112
Acacia podalyriifolia,-51.890149,-28.847881
Acacia podalyriifolia,-41.040646,-20.3832
Acacia podalyriifolia,-46.573998,-23.575515
Acacia podalyriifolia,-47.018973,-22.811026
Acacia podalyriifolia,-47.021455,-22.792203
Acacia podalyriifolia,-47.596053,-23.573262
Acacia podalyriifolia,-45.703094,-22.220489
Acacia podalyriifolia,-47.376143,-20.576107
Acacia podalyriifolia,-46.319432,-23.411103
Acacia podalyriifolia,-47.72146,-23.291814
Acacia podalyriifolia,-47.191991,-23.457872
Acacia podalyriifolia,-46.962134,-23.499053
Acacia podalyriifolia,-46.875132,-23.467573
Acacia podalyriifolia,-47.068576,-22.797034
Acacia podalyriifolia,-46.533001,-23.671769
Acacia podalyriifolia,-46.648245,-23.562793
Acacia podalyriifolia,-46.50448,-21.832891
Acacia podalyriifolia,-41.05527,-20.433458
Acacia podalyriifolia,-46.568104,-22.017602
Acacia podalyriifolia,-43.176743,-22.329875
Acacia podalyriifolia,-47.196095,-23.660495
Acacia podalyriifolia,-47.224471,-23.0946
Acacia podalyriifolia,-46.730783,-23.565378
Acacia podalyriifolia,-48.344606,-18.891236
Acacia podalyriifolia,-47.191944,-23.458056
Acacia podalyriifolia,-49.301284,-25.429297
Acacia podalyriifolia,-47.017516,-22.798525
Acacia podalyriifolia,-46.824879,-22.486183
Acacia podalyriifolia,-46.708523,-22.969007
Acacia podalyriifolia,-46.533521,-23.671928
Acacia podalyriifolia,-42.992044,-22.385304
Acacia podalyriifolia,-42.992818,-22.381597
Acacia podalyriifolia,-49.425,-25.69167
Acacia podalyriifolia,-47.458386,-23.496346
Acacia podalyriifolia,-46.79269,-23.532797
Acacia podalyriifolia,-48.856815,-23.970033
Acacia podalyriifolia,-47.011062,-22.903439
Acacia podalyriifolia,-45.459167,-21.557778
Acacia podalyriifolia,-46.765581,-22.705696
Acacia podalyriifolia,-47.861944,-22.608889
Acacia podalyriifolia,-46.980679,-22.991588
Acacia podalyriifolia,-46.980679,-22.991588
Acacia podalyriifolia,-47.081335,-23.497548
Acacia podalyriifolia,-46.183772,-23.508542
Acacia podalyriifolia,-46.183778,-23.508517
Acacia podalyriifolia,-46.183778,-23.508517
Acacia podalyriifolia,-46.183778,-23.508517
Acacia podalyriifolia,-46.609722,-23.58085
Acacia podalyriifolia,-46.609844,-23.580712
Acacia podalyriifolia,-47.446494,-22.599318
Acacia podalyriifolia,-46.609768,-23.580835
Acacia podalyriifolia,-41.133333,-20.333333
Acacia podalyriifolia,-47.93,-15.780278
Acacia podalyriifolia,-47.9375,-15.8125
Acacia podalyriifolia,-47.82875,-15.860528
Acacia podalyriifolia,-49.2418,-25.44278
Acacia podalyriifolia,-51.071806,-28.978861
Acacia podalyriifolia,-49.942222,-27.334444
Acacia podalyriifolia,-49.942222,-27.334444
Acacia podalyriifolia,-49.942222,-27.334444
Acacia podalyriifolia,-52.315,-24.108611
Acacia podalyriifolia,-49.455167,-25.713
Acacia podalyriifolia,-52.314917,-24.108494
Acacia podalyriifolia,-52.314917,-25.05
Acacia podalyriifolia,-52.314722,-24.108333
Acacia podalyriifolia,-49.079167,-26.905556
Acacia podalyriifolia,-49.079167,-26.905556
Acacia podalyriifolia,-49.2523,-25.4139
Acacia podalyriifolia,-43.97,-19.87
Acacia podalyriifolia,-49.0663903,-26.9233033
Acacia podalyriifolia,-47.887778,-15.793889
Acacia podalyriifolia,-47.9298727,-15.7834208
Acacia podalyriifolia,-47.9298727,-15.7834208
Acacia podalyriifolia,-49.273056,-25.427778
Acacia podalyriifolia,-51.1799547,-29.1722202
Acacia podalyriifolia,-46.6361,-23.5475
Acacia podalyriifolia,-49.237972,-25.503944
Acacia podalyriifolia,-40.833333,-14.85
Acacia podalyriifolia,-40.416667,-13.433333
Acacia podalyriifolia,-46.6430004,-23.6365791
Acacia podalyriifolia,-46.8437997,-23.6086775
Acacia podalyriifolia,-51.178068,-30.051692
Acacia podalyriifolia,-51.181667,-29.028889
Acacia podalyriifolia,-51.118389,-30.046583
Acacia podalyriifolia,-51.178068,-30.051692
Acacia podalyriifolia,-46.9029251,-23.5316627
Acacia podalyriifolia,-46.621883,-23.654505
Acacia podalyriifolia,-51.118389,-30.046583
Acacia podalyriifolia,-51.118389,-30.046583
Acacia podalyriifolia,-51.118389,-30.046583
Acacia podalyriifolia,-51.118389,-30.046583
Acacia podalyriifolia,-47.9375,-15.8125
Acacia podalyriifolia,-46.621883,-23.654505
Acacia podalyriifolia,-47.0608,-22.9056
Acacia podalyriifolia,-47.9298727,-15.7834208
Acacia podalyriifolia,-47.9298727,-15.7834208
Acacia podalyriifolia,-47.88217,-15.79423
Acacia podalyriifolia,-39.1,-12.666667
Acacia podalyriifolia,-51.2307648,-30.0370295
Acacia podalyriifolia,-39.1019,-12.67
Acacia podalyriifolia,-51.23,-30.03306
Acacia podalyriifolia,-47.077171,-22.870251
Acacia podalyriifolia,-46.618358,-23.646109
Acacia podalyriifolia,-47.05,-23.9
Acacia podalyriifolia,-43.937778,-19.920833
Acacia podalyriifolia,-47.0608,-22.9056
Acacia podalyriifolia,-46.6304064,-23.5441636
Acacia podalyriifolia,-46.63611,-23.5475
Acacia podalyriifolia,-46.63,-23.54
