scientific_name,decimalLongitude,decimalLatitude
Acestrorhynchus pantaneiro,-52.353162,-27.259741000000002
Acestrorhynchus pantaneiro,-51.207817,-30.017942
Acestrorhynchus pantaneiro,-56.557706,-21.266624
Acestrorhynchus pantaneiro,-55.826182,-20.460187
Acestrorhynchus pantaneiro,-55.106581,-17.671397
Acestrorhynchus pantaneiro,-56.655556,-29.424722
Acestrorhynchus pantaneiro,-56.4125,-20.476667
Acestrorhynchus pantaneiro,-56.754165,-29.410556
Acestrorhynchus pantaneiro,-54.306028,-28.407687
Acestrorhynchus pantaneiro,-55.628611,-19.507778
Acestrorhynchus pantaneiro,-54.488333,-18.179167
Acestrorhynchus pantaneiro,-51.394987,-30.690644
Acestrorhynchus pantaneiro,-58.507028,-3.086639
Acestrorhynchus pantaneiro,-53.017778,-27.1025
Acestrorhynchus pantaneiro,-56.666111,-29.425
Acestrorhynchus pantaneiro,-55.009872,-28.142482
Acestrorhynchus pantaneiro,-56.164167,-28.570833
Acestrorhynchus pantaneiro,-57.018056,-19.576667
Acestrorhynchus pantaneiro,-57.018056,-19.576667
Acestrorhynchus pantaneiro,-57.019169,-19.576891
Acestrorhynchus pantaneiro,-57.035833,-19.605833
Acestrorhynchus pantaneiro,-57.035833,-19.605833
Acestrorhynchus pantaneiro,-51.887139,-27.518111
Acestrorhynchus pantaneiro,-51.889389,-27.522389
Acestrorhynchus pantaneiro,-51.878833,-27.518806
Acestrorhynchus pantaneiro,-54.999444,-20.431389
Acestrorhynchus pantaneiro,-57.874203,-16.642236
Acestrorhynchus pantaneiro,-57.040694,-19.526222
Acestrorhynchus pantaneiro,-57.033472,-19.634667
Acestrorhynchus pantaneiro,-57.033333,-19.634417
Acestrorhynchus pantaneiro,-57.037139,-19.579611
Acestrorhynchus pantaneiro,-57.037139,-19.579611
Acestrorhynchus pantaneiro,-57.040694,-19.526222
Acestrorhynchus pantaneiro,-57.033472,-19.634667
Acestrorhynchus pantaneiro,-57.033333,-19.634417
Acestrorhynchus pantaneiro,-55.057156,-28.128492
Acestrorhynchus pantaneiro,-55.371047,-14.835122
Acestrorhynchus pantaneiro,-55.671408,-15.146553
Acestrorhynchus pantaneiro,-64.555,-6.510111
Acestrorhynchus pantaneiro,-64.561778,-6.593528
Acestrorhynchus pantaneiro,-61.484917,-4.843417
Acestrorhynchus pantaneiro,-51.471944,-27.605889
Acestrorhynchus pantaneiro,-51.471944,-27.605889
Acestrorhynchus pantaneiro,-51.471944,-27.605889
Acestrorhynchus pantaneiro,-51.471944,-27.605889
Acestrorhynchus pantaneiro,-58.9125,-3.396111
Acestrorhynchus pantaneiro,-57.394722,-19.518056
Acestrorhynchus pantaneiro,-54.747222,-29.508611
Acestrorhynchus pantaneiro,-55.649692,-14.815856
Acestrorhynchus pantaneiro,-55.774808,-14.875267
Acestrorhynchus pantaneiro,-55.497017,-15.055953
Acestrorhynchus pantaneiro,-53.9019,-23.5752
Acestrorhynchus pantaneiro,-65.268333,-10.866111
Acestrorhynchus pantaneiro,-56.163103,-19.582515
Acestrorhynchus pantaneiro,-65.3175,-10.012778
Acestrorhynchus pantaneiro,-62.333611,-6.710556
Acestrorhynchus pantaneiro,-62.950278,-7.754444
Acestrorhynchus pantaneiro,-57.039639,-19.541417
Acestrorhynchus pantaneiro,-57.039639,-19.541417
Acestrorhynchus pantaneiro,-59.381111,-4.153611
