scientific_name,decimalLongitude,decimalLatitude
Adenanthera pavonina,-35.207978,-5.786403
Adenanthera pavonina,-39.424611,-7.238083
Adenanthera pavonina,13,-13.009167
Adenanthera pavonina,-42.857778,-6.248333
Adenanthera pavonina,-51.315071,-30.035521
Adenanthera pavonina,-36.249044,-10.107908
Adenanthera pavonina,-44.306111,-2.555472
Adenanthera pavonina,-39.576944,-16.349167
Adenanthera pavonina,-56.422222,-15.654167
Adenanthera pavonina,-54.247778,-24.62
Adenanthera pavonina,-48.906855,-16.959393
Adenanthera pavonina,-47.877077,-15.774838
Adenanthera pavonina,-47.858611,-15.729722
Adenanthera pavonina,-39.127778,-16.465833
Adenanthera pavonina,-43.435692,-22.603522
Adenanthera pavonina,-35.216389,-5.826111
Adenanthera pavonina,-35.216389,-5.826111
Adenanthera pavonina,-34.881111,-8.054167
Adenanthera pavonina,-47.954763,-15.756566
Adenanthera pavonina,-47.954757,-15.756587
Adenanthera pavonina,-47.883794,-15.760271
Adenanthera pavonina,-35.222222,-5.840278
Adenanthera pavonina,-35.222222,-5.840278
Adenanthera pavonina,-40.53874,-20.581759
Adenanthera pavonina,-48.435,-1.4375
Adenanthera pavonina,-57.679861,-16.58
Adenanthera pavonina,-39.990278000000004,-15.358889
Adenanthera pavonina,-39.0715,-16.4948
Adenanthera pavonina,-35.408333,-7.635556
Adenanthera pavonina,-35.408333,-7.635556
Adenanthera pavonina,-43.518333,-15.676111
Adenanthera pavonina,-44.282889,-2.539083
Adenanthera pavonina,-35.200833,-5.8425
Adenanthera pavonina,-35.200833,-5.8425
Adenanthera pavonina,-44.3105,-2.550194
Adenanthera pavonina,-53.172389,-22.718889
Adenanthera pavonina,-56.079056,-9.884833
Adenanthera pavonina,-38.552778000000004,-3.748333
Adenanthera pavonina,-38.552739,-3.748272
Adenanthera pavonina,-55.740861,-9.910194
Adenanthera pavonina,-55.737944,-10.776611
Adenanthera pavonina,-46.907778,-17.986944
Adenanthera pavonina,-34.881111,-8.054167
Adenanthera pavonina,-40.283333,-9.283333
Adenanthera pavonina,-40.283333,-9.283333
Adenanthera pavonina,-40.283333,-9.283333
Adenanthera pavonina,-46.907778,-17.986944
Adenanthera pavonina,-46.907778,-17.986944
Adenanthera pavonina,-43.609722,-18.235555
Adenanthera pavonina,-43.609722,-18.235555
Adenanthera pavonina,-56.641045,-20.552439
Adenanthera pavonina,-57.553972,-16.550944
Adenanthera pavonina,-43.2075,-22.902778
Adenanthera pavonina,-47.060833,-22.905833
Adenanthera pavonina,-48.446389,-1.433611
Adenanthera pavonina,-48.446389,-1.433611
Adenanthera pavonina,-41.866667,-13.533333
Adenanthera pavonina,-36.254536,-10.094428
Adenanthera pavonina,-52.32,-24.113611
Adenanthera pavonina,-52.32,-24.113556
Adenanthera pavonina,-52.32,-25.091111
Adenanthera pavonina,-52.32,-24.113333
Adenanthera pavonina,-49.486389,-19.535556
Adenanthera pavonina,-49.4869868,-19.5393888
Adenanthera pavonina,-49.465,-18.9689
Adenanthera pavonina,-47.9,-15.933333
Adenanthera pavonina,-47.9,-15.933333
Adenanthera pavonina,-47.0608,-22.9056
Adenanthera pavonina,-51.118389,-30.046583
Adenanthera pavonina,-48.263611,-2.255
Adenanthera pavonina,-54.646389,-20.442778
Adenanthera pavonina,-35.352778,-6.329167
Adenanthera pavonina,-35.352778,-6.329167
Adenanthera pavonina,-38.228056,-6.759444
Adenanthera pavonina,-40.6,-19.936111
Adenanthera pavonina,-40.6,-19.936111
Adenanthera pavonina,-47.633333,-22.7
Adenanthera pavonina,-47.633333,-22.7
Adenanthera pavonina,-47.929722,-15.779722
Adenanthera pavonina,-54.6,-20.5
Adenanthera pavonina,-47.0608,-22.9056
Adenanthera pavonina,-39.15,-16.866667
Adenanthera pavonina,-54.6,-20.5
Adenanthera pavonina,-40.6,-19.936111
Adenanthera pavonina,-40.6,-19.936111
Adenanthera pavonina,-40.6,-19.936111
Adenanthera pavonina,-39.25,-14.25
Adenanthera pavonina,-39.25,-14.25
Adenanthera pavonina,-57.65,-19.016667
Adenanthera pavonina,-57.65,-19.016667
Adenanthera pavonina,-39.25,-14.25
Adenanthera pavonina,-39.231389,-14.755556
Adenanthera pavonina,-39.2313,-14.7555
Adenanthera pavonina,-39.25,-14.25
Adenanthera pavonina,-39.133333,-16.383333
Adenanthera pavonina,-47.929722,-15.779722
Adenanthera pavonina,-45.938086,-3.166032
Adenanthera pavonina,-45.938086,-3.166032
Adenanthera pavonina,-39.13,-16.38
Adenanthera pavonina,-39.133333,-16.383333
Adenanthera pavonina,-40.6,-19.936111
Adenanthera pavonina,-40.6,-19.936111
Adenanthera pavonina,-47.929722,-15.779722
Adenanthera pavonina,-39.25,-14.25
Adenanthera pavonina,-39.25,-14.25
Adenanthera pavonina,-38.966667,-12.966667
Adenanthera pavonina,-38.966667,-12.25
Adenanthera pavonina,-34.881111,-8.054167
Adenanthera pavonina,-39.23,-14.75
Adenanthera pavonina,-39.233333,-14.75
Adenanthera pavonina,-47.929722,-15.779722
Adenanthera pavonina,-39.25,-14.25
Adenanthera pavonina,-39.25,-14.25
Adenanthera pavonina,-47.887778,-15.793889
Adenanthera pavonina,-47.9375,-15.8125
Adenanthera pavonina,-47.533333,-22.383333
Adenanthera pavonina,-47.0608,-22.9056
Adenanthera pavonina,-49,-22
Adenanthera pavonina,-56.1,-15.598889
