scientific_name,decimalLongitude,decimalLatitude
Aequidens plagiozonatus,-55.1127,-22.275014
Aequidens plagiozonatus,-57.053028,-19.433667
Aequidens plagiozonatus,-57.053028,-19.433667
Aequidens plagiozonatus,-57.053028,-19.433667
Aequidens plagiozonatus,-57.053028,-19.433667
Aequidens plagiozonatus,-57.053028,-19.433667
Aequidens plagiozonatus,-57.053028,-19.433667
Aequidens plagiozonatus,-57.018333,-19.577222
Aequidens plagiozonatus,-57.018333,-19.577222
Aequidens plagiozonatus,-57.018333,-19.577222
Aequidens plagiozonatus,-57.018333,-19.577222
Aequidens plagiozonatus,-57.018333,-19.577222
Aequidens plagiozonatus,-57.018333,-19.577222
Aequidens plagiozonatus,-53.096128,-22.559525
Aequidens plagiozonatus,-53.096128,-22.559525
Aequidens plagiozonatus,-57.187222,-19.260833
Aequidens plagiozonatus,-56.166944,-17.431944
Aequidens plagiozonatus,-55.628611,-19.507778
Aequidens plagiozonatus,-54.053333,-21.085
Aequidens plagiozonatus,-53.528055,-24.350555
Aequidens plagiozonatus,-54.046944,-24.126388
Aequidens plagiozonatus,-53.785,-24.201944
Aequidens plagiozonatus,-57.019722,-19.577778
Aequidens plagiozonatus,-54.18833,-17.60583
Aequidens plagiozonatus,-54.753333,-17.613056
Aequidens plagiozonatus,-54.237278,-18.714889
Aequidens plagiozonatus,-54.707972,-18.828306
Aequidens plagiozonatus,-55.207611,-16.134083
Aequidens plagiozonatus,-53.433361,-18.43825
Aequidens plagiozonatus,-54.128583,-17.691944
Aequidens plagiozonatus,-52.140361,-20.341889
Aequidens plagiozonatus,-52.008056,-21.197972
Aequidens plagiozonatus,-52.39875,-21.880278
Aequidens plagiozonatus,-50.127833,-21.989778
Aequidens plagiozonatus,-50.5025,-20.211944
Aequidens plagiozonatus,-54.376111,-21.105833
Aequidens plagiozonatus,-53.328055,-24.278888
Aequidens plagiozonatus,-53.46673,-24.205172
Aequidens plagiozonatus,-56.48641,-21.135399
Aequidens plagiozonatus,-56.514848,-21.113343
Aequidens plagiozonatus,-56.616223,-21.024362
Aequidens plagiozonatus,-56.597153,-21.310519
Aequidens plagiozonatus,-53.458333,-22.235278
Aequidens plagiozonatus,-54.753611,-20.5375
Aequidens plagiozonatus,-56.4456,-21.1804
Aequidens plagiozonatus,-56.4718,-21.438
Aequidens plagiozonatus,-54.778333,-20.045556
Aequidens plagiozonatus,-60.111922,-12.816008
Aequidens plagiozonatus,-53.266667,-22.75
Aequidens plagiozonatus,-53.204444,-22.673333
Aequidens plagiozonatus,-56.605278,-20.490556
Aequidens plagiozonatus,-55.2425,-20.279167
Aequidens plagiozonatus,-57.861944,-21.685
Aequidens plagiozonatus,-57.865278000000004,-21.687778
Aequidens plagiozonatus,-52.624944,-20.405778
Aequidens plagiozonatus,-57.018972,-19.576306
Aequidens plagiozonatus,-57.018972,-19.576306
Aequidens plagiozonatus,-54.834444,-18.423611
Aequidens plagiozonatus,-56.337222,-16.364722
Aequidens plagiozonatus,-56.309167,-16.356389
Aequidens plagiozonatus,-54.648333,-18.483889
Aequidens plagiozonatus,-55.923222,-16.453889
Aequidens plagiozonatus,-53.417221,-15.345
Aequidens plagiozonatus,-58.255556,-9.859167
