Species,decimalLongitude,decimalLatitude
Agave americana,-51.933555,-28.71508
Agave americana,-43.971536,-19.851508
Agave americana,-49.808983,-25.416979
Agave americana,-46.664467,-23.596638
Agave americana,-46.555263,-23.642094
Agave americana,-42.022426,-22.879096
Agave americana,-43.502957,-20.386125
Agave americana,-49.647161,-22.228849
Agave americana,-42.475974,-22.936947
Agave americana,-42.479744,-22.93608
Agave americana,-46.590328,-24.077069
Agave americana,-47.304687,-22.598852
Agave americana,-42.48813,-22.935045
Agave americana,-43.225278,-22.97
Agave americana,-47.987055,-15.840193
Agave americana,-47.468611,-23.237222
Agave americana,-42.494788,-22.935943
Agave americana,-46.68845,-23.550661
Agave americana,-44.282889,-2.539083
Agave americana,-43.966667,-19.866667
Agave americana,-34.881111,-8.054167
