Species,decimalLongitude,decimalLatitude
Ageneiosus inermis,-50.204409,-5.607139
Ageneiosus inermis,-53.600278,-22.856667
Ageneiosus inermis,-54.284722,-24.279722
Ageneiosus inermis,-58.894174,-11.252177
Ageneiosus inermis,-47.573,-5.468
Ageneiosus inermis,-50.936223,-14.208421
Ageneiosus inermis,-54.549444,-25.446944
Ageneiosus inermis,-59.959876,-3.215658
Ageneiosus inermis,-53.552778000000004,-22.826111
Ageneiosus inermis,-51.783869,-21.601414
Ageneiosus inermis,-51.853028,-21.255778
Ageneiosus inermis,-49.599292,-3.984271
Ageneiosus inermis,-50.664444,-5.046667
Ageneiosus inermis,-49.794722,-6.334444
Ageneiosus inermis,-51.058889,-4.213889
Ageneiosus inermis,-50.566111,-4.956389
Ageneiosus inermis,-60.047117,-3.267663
Ageneiosus inermis,-58.507028,-3.086639
Ageneiosus inermis,-54.785472,-16.537642
Ageneiosus inermis,-54.668719,-17.90285
Ageneiosus inermis,-56.3775,-6.276667
Ageneiosus inermis,-70.79331,-4.18496
Ageneiosus inermis,-57.018639,-19.577167
Ageneiosus inermis,-57.018639,-19.577167
Ageneiosus inermis,-70.77947,-4.17657
Ageneiosus inermis,-50.582778,-6.331944
Ageneiosus inermis,-54.357778,-24.827778
Ageneiosus inermis,-50.582778,-6.331944
Ageneiosus inermis,-63.111389,-10.207778
Ageneiosus inermis,-63.233611,-10.234444
Ageneiosus inermis,-55.577944,-2.631556
Ageneiosus inermis,-55.039806,-2.186083
Ageneiosus inermis,-54.85775,-2.191472
Ageneiosus inermis,-67.0548,-0.25541
Ageneiosus inermis,-45.430978,-3.653989
Ageneiosus inermis,-45.430978,-3.653989
Ageneiosus inermis,-59.10095,-3.98859
Ageneiosus inermis,-59.905556,-3.153333
Ageneiosus inermis,-55.605833,-2.7025
Ageneiosus inermis,-55.600278,-2.678889
Ageneiosus inermis,-51.989333,-2.865444
Ageneiosus inermis,-51.989333,-2.865444
Ageneiosus inermis,-51.837722,-3.596222
Ageneiosus inermis,-51.837778,-3.596111
Ageneiosus inermis,-62.374639,-8.664556
Ageneiosus inermis,-69.14,-1.723333
Ageneiosus inermis,-55.98756,-4.28339
Ageneiosus inermis,-62.906113,-0.415556
Ageneiosus inermis,-55.99,-4.28
Ageneiosus inermis,-62.91,-0.42
Ageneiosus inermis,-51.717472,-3.408028
Ageneiosus inermis,-45.253417,-5.502917
Ageneiosus inermis,-45.253417,-5.502917
Ageneiosus inermis,-45.253417,-5.502917
Ageneiosus inermis,-57.671111,-5.095556
Ageneiosus inermis,-56.960833,-5.321667
Ageneiosus inermis,-56.600556,-4.672222
Ageneiosus inermis,-58.5,-7.7
Ageneiosus inermis,-60.82936,1.43216
Ageneiosus inermis,-51.689442,-21.053608
Ageneiosus inermis,-51.689442,-21.053608
Ageneiosus inermis,-46.594167,-1.745556
