Species,decimalLongitude,decimalLatitude
Aleurites moluccanus,-40.276398,-10.593299
Aleurites moluccanus,-38.433333,-12.783333
Aleurites moluccanus,-48.469613,-27.576514
Aleurites moluccanus,-48.850924,-28.433517
Aleurites moluccanus,-40.498212,-10.822443
Aleurites moluccanus,-53.611389,-25.478056
Aleurites moluccanus,-53.611111,-25.478056
Aleurites moluccanus,-53.364167,-25.284167
Aleurites moluccanus,-48.927797,-16.322245
Aleurites moluccanus,-48.637778,-27.001389
Aleurites moluccanus,-48.463611,-27.566111
Aleurites moluccanus,-48.502,-26.229
Aleurites moluccanus,-41.483333,-12.633333
Aleurites moluccanus,-41.483333,-12.633333
Aleurites moluccanus,-37.083056,-10.503333
Aleurites moluccanus,-37.141667,-10.842778
Aleurites moluccanus,-37.071667,-10.911111
Aleurites moluccanus,-47.85,-21.166667
Aleurites moluccanus,-42.268056,-13.827778
Aleurites moluccanus,-42.268056,-13.827778
Aleurites moluccanus,-48.779722,-27.180278
Aleurites moluccanus,-47.855,-21.169444
Aleurites moluccanus,-46.633333,-23.6
Aleurites moluccanus,-35.743333,-9.633611
Aleurites moluccanus,-36.242825,-10.060078
Aleurites moluccanus,-47.349722,-23.121389
Aleurites moluccanus,-47.349722,-23.121389
Aleurites moluccanus,-47.205591,-22.671759
Aleurites moluccanus,-47.8,-21.166667
Aleurites moluccanus,-35.739722,-9.614722
Aleurites moluccanus,-36.243942,-10.029592
Aleurites moluccanus,-35.836944,-9.477778
Aleurites moluccanus,-36.402569,-9.805217
Aleurites moluccanus,-47.8,-21.166667
Aleurites moluccanus,-47.902944,-15.826028
Aleurites moluccanus,-39.7,-13.5
Aleurites moluccanus,-39.7,-13.5
Aleurites moluccanus,-39.7,-13.5
Aleurites moluccanus,-44.929444,-23.349444
Aleurites moluccanus,-47.6492,-22.7253
Aleurites moluccanus,-49.007222,-28.464444
Aleurites moluccanus,-47.0608,-22.9056
Aleurites moluccanus,-47.0608,-22.9056
Aleurites moluccanus,-52.8731,-10.8339
Aleurites moluccanus,-40.416667,-13.433333
Aleurites moluccanus,-40.416667,-13.433333
Aleurites moluccanus,-47.929444,-15.779722
Aleurites moluccanus,-47.9298727,-15.7834208
Aleurites moluccanus,-47.911833,-15.916833
Aleurites moluccanus,-47.929444,-15.779722
Aleurites moluccanus,-47.9298727,-15.7834208
Aleurites moluccanus,-51.214437,-30.034991
Aleurites moluccanus,-39,-11.65
Aleurites moluccanus,-39,-11.65
Aleurites moluccanus,-39.53,-14.64
Aleurites moluccanus,-39.53,-14.64
Aleurites moluccanus,-34.863056,-7.115
Aleurites moluccanus,-39.551111,-14.640833
Aleurites moluccanus,-48.66862,-26.854898
Aleurites moluccanus,-47.077171,-22.870251
Aleurites moluccanus,-52.8731,-10.8339
Aleurites moluccanus,-47.0608,-22.9056
Aleurites moluccanus,-47.0608,-22.9056
Aleurites moluccanus,-47.0608,-22.9056
Aleurites moluccanus,-52.8731,-10.8339
Aleurites moluccanus,-47.077171,-22.870251
Aleurites moluccanus,-38.083333,-8.4
Aleurites moluccanus,-42.9125,-22.48222
Aleurites moluccanus,-42.9125,-22.48222
