scientific_name,decimalLongitude,decimalLatitude
Amphibalanus amphitrite,-40.319752,-20.318391
Amphibalanus amphitrite,-43.189176,-22.722175
Amphibalanus amphitrite,-35.141481,-8.884156
Amphibalanus amphitrite,-37.357215,-4.694062
Amphibalanus amphitrite,-42.026649,-22.886901
Amphibalanus amphitrite,-47.370133,-0.697333
Amphibalanus amphitrite,-38.478649,-3.811753
Amphibalanus amphitrite,-39.370317,-17.886663
Amphibalanus amphitrite,-38.634069,-13.001833
Amphibalanus amphitrite,-45.347443,-23.779061
Amphibalanus amphitrite,-43.663066,-22.987595
Amphibalanus amphitrite,-43.065945,-22.687402
Amphibalanus amphitrite,-43.033433,-22.693162
Amphibalanus amphitrite,-42.162706,-22.907454
Amphibalanus amphitrite,-42.826418,-22.962113
Amphibalanus amphitrite,-42.162706,-22.907454
Amphibalanus amphitrite,-43.863188,-22.903354
Amphibalanus amphitrite,-42.162706,-22.907454
Amphibalanus amphitrite,-42.162706,-22.907454
Amphibalanus amphitrite,-42.162706,-22.907454
Amphibalanus amphitrite,-41.990579,-22.597789
Amphibalanus amphitrite,-50.95,-31.1
Amphibalanus amphitrite,-43.209583,-22.903533
