scientific_name,decimalLongitude,decimalLatitude
Amynthas corticis,-52.147106,-29.755827
Amynthas corticis,-52.144966,-29.757671
Amynthas corticis,-50.29277,-26.21192
Amynthas corticis,-50.29355,-26.21176
Amynthas corticis,-50.3,-26.23945
Amynthas corticis,-50.29317,-26.21194
Amynthas corticis,-50.30023,-26.23959
Amynthas corticis,-50.30079,-26.23975
Amynthas corticis,-50.29294,-26.21188
Amynthas corticis,-50.30399,-26.218139999999998
Amynthas corticis,-50.30584,-26.21007
Amynthas corticis,-50.29774,-26.23793
Amynthas corticis,-50.29817,-26.23794
Amynthas corticis,-50.29801,-26.23796
Amynthas corticis,-50.29774,-26.23793
Amynthas corticis,-50.29291,-26.23353
Amynthas corticis,-50.2926,-26.23381
Amynthas corticis,-50.29224,-26.23406
Amynthas corticis,-50.30023,-26.23959
Amynthas corticis,-50.30366,-26.21907
Amynthas corticis,-50.29817,-26.23794
Amynthas corticis,-50.30349,-26.21873
Amynthas corticis,-50.29355,-26.21176
Amynthas corticis,-50.29294,-26.21188
Amynthas corticis,-50.29277,-26.21192
Amynthas corticis,-50.3,-26.23945
Amynthas corticis,-50.29801,-26.23796
Amynthas corticis,-48.36507,-24.305
Amynthas corticis,-48.36507,-24.305
Amynthas corticis,-50.6,-28.8
Amynthas corticis,-53.1833,-28.2833
Amynthas corticis,-48.49827,-23.92888
Amynthas corticis,-50.58553,-25.39481
Amynthas corticis,-50.57596,-25.37441
Amynthas corticis,-48.51635,-23.87919
Amynthas corticis,-50.58354,-25.36088
Amynthas corticis,-50.58361,-25.36131
Amynthas corticis,-49.91721,-24.57648
Amynthas corticis,-49.92114,-24.57383
Amynthas corticis,-49.92067,-24.5738
Amynthas corticis,-50.58384,-25.36437
Amynthas corticis,-49.91712,-24.57679
Amynthas corticis,-49.91392,-24.57817
Amynthas corticis,-49.91373,-24.57779
Amynthas corticis,-49.92596,-24.57519
Amynthas corticis,-50.58392,-25.36466
Amynthas corticis,-48.51641,-23.87947
Amynthas corticis,-49.92586,-24.57447
Amynthas corticis,-50.58367,-25.36106
Amynthas corticis,-50.58368,-25.36161
Amynthas corticis,-49.91701,-24.57667
Amynthas corticis,-50.57646,-25.37431
Amynthas corticis,-50.58525,-25.39475
Amynthas corticis,-49.9172,-24.57668
Amynthas corticis,-49.9171,-24.57668
Amynthas corticis,-49.92083,-24.57385
Amynthas corticis,-49.92761,-24.57382
Amynthas corticis,-48.51624,-23.87886
Amynthas corticis,-49.92767,-24.57358
Amynthas corticis,-49.91721,-24.57648
Amynthas corticis,-50.58398,-25.36414
Amynthas corticis,-48.51648,-23.87962
Amynthas corticis,-48.50342,-23.92374
Amynthas corticis,-48.49829,-23.92904
Amynthas corticis,-48.50343,-23.92351
Amynthas corticis,-48.50168,-23.93026
Amynthas corticis,-48.501220000000004,-23.94597
Amynthas corticis,-48.50163,-23.93079
Amynthas corticis,-48.49805,-23.92875
Amynthas corticis,-49.92809,-24.57381
Amynthas corticis,-50.58394,-25.36336
Amynthas corticis,-49.91721,-24.57648
Amynthas corticis,-49.9172,-24.57668
Amynthas corticis,-50.58354,-25.36088
Amynthas corticis,-49.9139,-24.57833
Amynthas corticis,-50.57333,-25.35078
Amynthas corticis,-49.91384,-24.57795
Amynthas corticis,-50.58367,-25.36359
Amynthas corticis,-49.91392,-24.57817
Amynthas corticis,-50.58367,-25.36106
Amynthas corticis,-49.92083,-24.57385
Amynthas corticis,-49.91712,-24.57679
Amynthas corticis,-49.91375,-24.57797
Amynthas corticis,-49.91617,-24.57602
Amynthas corticis,-50.58368,-25.36161
Amynthas corticis,-49.91701,-24.57667
Amynthas corticis,-49.9171,-24.57668
Amynthas corticis,-50.58398,-25.36414
Amynthas corticis,-50.57596,-25.37441
Amynthas corticis,-50.58384,-25.36437
Amynthas corticis,-50.5741,-25.35041
Amynthas corticis,-49.921,-24.57459
Amynthas corticis,-49.92072,-24.57411
Amynthas corticis,-48.51641,-23.87947
Amynthas corticis,-48.501220000000004,-23.94597
Amynthas corticis,-48.51648,-23.87962
Amynthas corticis,-48.50168,-23.93026
Amynthas corticis,-48.49829,-23.92904
Amynthas corticis,-49.92767,-24.57358
Amynthas corticis,-48.49827,-23.92888
Amynthas corticis,-48.51624,-23.87886
Amynthas corticis,-49.92761,-24.57382
Amynthas corticis,-48.49823,-23.92859
Amynthas corticis,-49.92776,-24.57368
Amynthas corticis,-48.49794,-23.92838
Amynthas corticis,-48.50677,-23.87943
Amynthas corticis,-48.51635,-23.87919
Amynthas corticis,-48.50336,-23.92406
Amynthas corticis,-48.50818,-23.88241
Amynthas corticis,-48.50162,-23.93059
Amynthas corticis,-48.50164,-23.93111
