scientific_name,decimalLongitude,decimalLatitude
Amynthas gracilis,-49.1593,-25.321276
Amynthas gracilis,-49.157818,-25.32001
Amynthas gracilis,-49.157818,-25.32001
Amynthas gracilis,-49.1593,-25.321276
Amynthas gracilis,-51.20898,-23.89658
Amynthas gracilis,-47.845872,-15.795387
Amynthas gracilis,-48.94106,-23.58784
Amynthas gracilis,-52.340702,-28.194471
Amynthas gracilis,-51.45273,-23.325335
Amynthas gracilis,-51.45071,-23.32181
Amynthas gracilis,-49.26913,-25.377
Amynthas gracilis,-49.26913,-25.377
Amynthas gracilis,-54.1069,-31.3308
Amynthas gracilis,-57.0878,-29.755
Amynthas gracilis,-50.1333,-29.9667
Amynthas gracilis,-48.51641,-23.87947
Amynthas gracilis,-50.2926,-26.23381
Amynthas gracilis,-48.50166,-23.92996
Amynthas gracilis,-48.48912,-23.95501
Amynthas gracilis,-48.50163,-23.93079
Amynthas gracilis,-49.91721,-24.57648
Amynthas gracilis,-50.30357,-26.21896
Amynthas gracilis,-49.91712,-24.57679
Amynthas gracilis,-50.29199,-26.23334
Amynthas gracilis,-50.58368,-25.36161
Amynthas gracilis,-48.50164,-23.93111
Amynthas gracilis,-48.49794,-23.92838
Amynthas gracilis,-50.29156,-26.23328
Amynthas gracilis,-48.49827,-23.92888
Amynthas gracilis,-48.50328,-23.92407
Amynthas gracilis,-49.9172,-24.57668
Amynthas gracilis,-48.50343,-23.92351
Amynthas gracilis,-48.49805,-23.92875
Amynthas gracilis,-50.30366,-26.21907
Amynthas gracilis,-50.58392,-25.36466
Amynthas gracilis,-54.355206,-11.524631
Amynthas gracilis,-54.355206,-11.524631
Amynthas gracilis,-54.355206,-11.524631
Amynthas gracilis,-54.355206,-11.524631
Amynthas gracilis,-54.355206,-11.524631
