scientific_name,decimalLongitude,decimalLatitude
Ancistrus multispinis,-49.378611,-28.4525
Ancistrus multispinis,-49.388611,-28.460278
Ancistrus multispinis,-51.768056,-27.641389
Ancistrus multispinis,-43.049529,-22.558096
Ancistrus multispinis,-49.876111,-29.072778
Ancistrus multispinis,-48.846439,-27.323714
Ancistrus multispinis,-50.149047,-27.021955
Ancistrus multispinis,-49.145833,-26.322222
Ancistrus multispinis,-44.881972,-23.299361
Ancistrus multispinis,-44.881972,-23.299361
Ancistrus multispinis,-45.455278,-22.785556
Ancistrus multispinis,-49.599667,-28.672194
Ancistrus multispinis,-49.542417,-28.572389
Ancistrus multispinis,-49.543028,-28.567994
Ancistrus multispinis,-49.395861,-28.50075
Ancistrus multispinis,-49.502222,-28.580278
Ancistrus multispinis,-49.990278000000004,-29.214444
Ancistrus multispinis,-49.916667,-29.399167
Ancistrus multispinis,-49.974722,-29.238611
Ancistrus multispinis,-49.970833,-29.180556
Ancistrus multispinis,-49.673611,-28.979167
Ancistrus multispinis,-49.762778,-28.999444
Ancistrus multispinis,-49.5125,-28.645278
Ancistrus multispinis,-49.687778,-28.916111
Ancistrus multispinis,-49.558611,-28.660556
Ancistrus multispinis,-49.753611,-28.883889
Ancistrus multispinis,-49.658056,-28.749444
Ancistrus multispinis,-45.512611,-23.108528
Ancistrus multispinis,-45.512611,-23.108528
Ancistrus multispinis,-48.12949,-24.9913
Ancistrus multispinis,-43.883333,-22.833333
Ancistrus multispinis,-48.12949,-24.9913
Ancistrus multispinis,-48.753561,-27.422997
Ancistrus multispinis,-43.435692,-22.603522
Ancistrus multispinis,-54.882194,-28.139472
Ancistrus multispinis,-48.921667,-26.196667
Ancistrus multispinis,-48.97,-26.19
Ancistrus multispinis,-48.930556,-26.206111
Ancistrus multispinis,-53.632722,-29.318444
Ancistrus multispinis,-47.024167,-24.178056
Ancistrus multispinis,-44.841944,-22.563111
Ancistrus multispinis,-48.772056,-25.755333
Ancistrus multispinis,-48.507083,-25.198417
Ancistrus multispinis,-48.56775,-25.226444
Ancistrus multispinis,-48.893722,-25.415083
Ancistrus multispinis,-48.86425,-25.380944
Ancistrus multispinis,-43.04,-22.53
Ancistrus multispinis,-43.03861,-22.53417
Ancistrus multispinis,-47.858833,-24.180306
Ancistrus multispinis,-47.8585,-24.180361
Ancistrus multispinis,-46.488632,-23.911263
Ancistrus multispinis,-49.985556,-28.580167
Ancistrus multispinis,-49.985556,-28.580167
Ancistrus multispinis,-49.8045,-28.83775
Ancistrus multispinis,-49.8045,-28.83775
Ancistrus multispinis,-49.484583,-24.929733
Ancistrus multispinis,-50.389917,-25.610361
Ancistrus multispinis,-50.389917,-25.610361
Ancistrus multispinis,-42.3175,-20.460833
Ancistrus multispinis,-43.066389,-22.542778
Ancistrus multispinis,-48.831944,-25.365
Ancistrus multispinis,-43.446944,-22.583056
Ancistrus multispinis,-43.265833,-22.600278
Ancistrus multispinis,-43.090556,-22.591111
Ancistrus multispinis,-50.208889,-29.652889
Ancistrus multispinis,-48.668333,-24.5625
Ancistrus multispinis,-48.828611,-25.965556
Ancistrus multispinis,-49.461667,-28.471944
Ancistrus multispinis,-48.952778,-26.175278
Ancistrus multispinis,-43.131667,-22.594444
Ancistrus multispinis,-43.090833,-22.591389
Ancistrus multispinis,-47.228611,-24.235
Ancistrus multispinis,-48.671389,-24.558889
Ancistrus multispinis,-50.166667,-23.75
Ancistrus multispinis,-42.635278,-22.439722
Ancistrus multispinis,-42.603333,-22.588611
Ancistrus multispinis,-48.215833,-25.1
Ancistrus multispinis,-48.299167,-25.1825
Ancistrus multispinis,-42.771667,-22.448889
Ancistrus multispinis,-42.738611,-22.421111
Ancistrus multispinis,-49.124168,-26.557222
Ancistrus multispinis,-49.126667,-26.606388
Ancistrus multispinis,-43.316111,-22.58
Ancistrus multispinis,-43.418333,-22.572778
Ancistrus multispinis,-43.568889,-22.609167
Ancistrus multispinis,-43.363889,-22.575
Ancistrus multispinis,-47.8575,-24.179722
Ancistrus multispinis,-48.873333,-24.603333
Ancistrus multispinis,-48.994167,-24.686111
Ancistrus multispinis,-48.068611,-24.756389
Ancistrus multispinis,-48.175833,-24.784722
Ancistrus multispinis,-42.35,-21.016667
Ancistrus multispinis,-43.498333,-22.835
Ancistrus multispinis,-48.906667,-26.144722
Ancistrus multispinis,-48.905278,-26.143056
Ancistrus multispinis,-48.852222,-26.016944
Ancistrus multispinis,-49.973888,-29.174166
Ancistrus multispinis,-43.415278,-22.6
Ancistrus multispinis,-48.840832,-25.411112
Ancistrus multispinis,-47.336111,-24.376389
Ancistrus multispinis,-47.3525,-24.386389
Ancistrus multispinis,-47.3525,-24.386389
Ancistrus multispinis,-47.336111,-24.376389
Ancistrus multispinis,-47.338056,-24.376944
Ancistrus multispinis,-48.973889,-26.168611
Ancistrus multispinis,-48.92889,-26.191944
Ancistrus multispinis,-41.366389,-21.064167
Ancistrus multispinis,-41.366665,-21.066668
Ancistrus multispinis,-48.229722,-24.804444
Ancistrus multispinis,-48.229722,-24.804444
Ancistrus multispinis,-48.225556,-24.800556
Ancistrus multispinis,-48.229722,-24.804444
Ancistrus multispinis,-48.225556,-24.800556
Ancistrus multispinis,-48.229722,-24.804444
Ancistrus multispinis,-48.229722,-24.804444
Ancistrus multispinis,-48.299999,-25.216667
Ancistrus multispinis,-48.299999,-25.216667
Ancistrus multispinis,-49.183613,-28.277222
Ancistrus multispinis,-48.299999,-25.216667
Ancistrus multispinis,-48.984444,-24.667778
Ancistrus multispinis,-47.232778,-24.235278
Ancistrus multispinis,-47.232778,-24.235278
Ancistrus multispinis,-47.232778,-24.235278
Ancistrus multispinis,-50.244167,-29.507222
Ancistrus multispinis,-50.186944,-29.456111
Ancistrus multispinis,-50.188333,-29.4425
Ancistrus multispinis,-50.205833,-29.535556
Ancistrus multispinis,-48.483611,-24.485833
Ancistrus multispinis,-48.589167,-24.4975
Ancistrus multispinis,-48.601667,-24.553889
Ancistrus multispinis,-48.551389,-24.798611
Ancistrus multispinis,-48.551389,-24.798611
Ancistrus multispinis,-48.49,-24.756111
Ancistrus multispinis,-47.8575,-24.174167
Ancistrus multispinis,-48.0525,-24.237222
Ancistrus multispinis,-48.666668,-24.549999
Ancistrus multispinis,-48.353611,-25.151944
Ancistrus multispinis,-48.616667,-24.583333
Ancistrus multispinis,-43.039167,-22.536111
