Species,decimalLongitude,decimalLatitude
Andropogon gayanus,-47.840735,-15.700215
Andropogon gayanus,-39.070214,-7.761734
Andropogon gayanus,-49.355,-8.031111
Andropogon gayanus,-38.758925,-6.876173
Andropogon gayanus,-38.773806,-6.818078
Andropogon gayanus,-38.604101,-7.031936
Andropogon gayanus,-38.801212,-6.839505
Andropogon gayanus,-38.824443,-7.561397
Andropogon gayanus,-38.564346,-7.036679
Andropogon gayanus,-47.85579,-15.713816
Andropogon gayanus,-47.941667,-15.943889
Andropogon gayanus,-47.869444,-15.7725
Andropogon gayanus,-39.076889,-7.802583
Andropogon gayanus,-38.603272,-7.14535
Andropogon gayanus,-47.904722,-15.746944
Andropogon gayanus,-47.904722,-15.746944
Andropogon gayanus,-47.904722,-15.746944
Andropogon gayanus,-47.904722,-15.746944
Andropogon gayanus,-38.657769,-6.974431
Andropogon gayanus,-38.604108,-7.031939
Andropogon gayanus,-54.581944,-20.457222
Andropogon gayanus,-38.721941,-6.862363
Andropogon gayanus,-38.801212,-6.839505
Andropogon gayanus,-38.84226,-6.833403
Andropogon gayanus,-38.879902,-6.815601
Andropogon gayanus,-38.879902,-6.815601
Andropogon gayanus,-47.893803,-15.71877
Andropogon gayanus,-47.906944,-15.762222
Andropogon gayanus,-47.906944,-15.762222
Andropogon gayanus,-47.906944,-15.762222
Andropogon gayanus,-47.906944,-15.762222
Andropogon gayanus,-47.906944,-15.762222
Andropogon gayanus,-47.924713,-15.732492
Andropogon gayanus,-47.860109,-15.678175
Andropogon gayanus,-46.322222,-14.123611
Andropogon gayanus,-49.016944,-15.106111
Andropogon gayanus,-49.14,-12.96
Andropogon gayanus,-48.96,-12.96
Andropogon gayanus,-50.04,-14.04
Andropogon gayanus,-50.58,-13.68
Andropogon gayanus,-49.86,-13.14
Andropogon gayanus,-49.016944,-15.106111
Andropogon gayanus,-49.14,-12.96
Andropogon gayanus,-48.96,-12.96
Andropogon gayanus,-50.04,-14.04
Andropogon gayanus,-50.58,-13.68
Andropogon gayanus,-49.86,-13.14
Andropogon gayanus,-47.52,-16.38
Andropogon gayanus,-56.7,-15.66
Andropogon gayanus,-53.1,-15.12
Andropogon gayanus,-55.62,-15.12
Andropogon gayanus,-54,-15.66
Andropogon gayanus,-53.64,-14.76
Andropogon gayanus,-53.1,-15.12
Andropogon gayanus,-47.52,-16.38
Andropogon gayanus,-52.38,-16.02
Andropogon gayanus,-52.38,-16.02
Andropogon gayanus,-47.859373,-15.729682
Andropogon gayanus,-48.333333,-10.333333
Andropogon gayanus,-48.333333,-10.666667
Andropogon gayanus,-47.812222,-15.836667
Andropogon gayanus,-47.796667,-15.816667
Andropogon gayanus,-49.446667,-8.180833
Andropogon gayanus,-48.6,-9.703333
Andropogon gayanus,-47.88,-12.24
Andropogon gayanus,-47.16,-12.24
Andropogon gayanus,-47.88,-12.24
Andropogon gayanus,-47.16,-12.24
Andropogon gayanus,-45.36,-5.22
Andropogon gayanus,-44.819722,-11.88
Andropogon gayanus,-45,-12.42
Andropogon gayanus,-44.993333,-12.1575
Andropogon gayanus,-44.28,-12.06
Andropogon gayanus,-49.463889,-8.068333
Andropogon gayanus,-53.515556,-18.175
Andropogon gayanus,-53.306944,-18.234167
Andropogon gayanus,-53.681389,-18.127222
Andropogon gayanus,-48.149722,-15.742222
Andropogon gayanus,-48.149722,-15.742222
