scientific_name,decimalLongitude,decimalLatitude
Aphyocharax anisitsi,-52.194606,-30.146139
Aphyocharax anisitsi,-55.826182,-20.460187
Aphyocharax anisitsi,-56.810427,-29.469973
Aphyocharax anisitsi,-57.053028,-19.433667
Aphyocharax anisitsi,-57.053028,-19.433667
Aphyocharax anisitsi,-57.053028,-19.433667
Aphyocharax anisitsi,-57.053028,-19.433667
Aphyocharax anisitsi,-57.053028,-19.433667
Aphyocharax anisitsi,-57.053028,-19.433667
Aphyocharax anisitsi,-57.018333,-19.577222
Aphyocharax anisitsi,-57.018333,-19.577222
Aphyocharax anisitsi,-57.018333,-19.577222
Aphyocharax anisitsi,-55.939417,-17.994194
Aphyocharax anisitsi,-55.991222,-18.08175
Aphyocharax anisitsi,-57.187222,-19.260833
Aphyocharax anisitsi,-56.7914,-29.535275
Aphyocharax anisitsi,-56.7914,-29.535275
Aphyocharax anisitsi,-51.790953,-21.596653
Aphyocharax anisitsi,-51.790953,-21.596653
Aphyocharax anisitsi,-56.655556,-29.424722
Aphyocharax anisitsi,-51.631611,-22.660278
Aphyocharax anisitsi,-54.5275,-25.459167
Aphyocharax anisitsi,-57.018333,-19.576667
Aphyocharax anisitsi,-56.754165,-29.410556
Aphyocharax anisitsi,-55.628611,-19.507778
Aphyocharax anisitsi,-51.755187,-28.962889
Aphyocharax anisitsi,-56.975,-19.607778
Aphyocharax anisitsi,-57.019722,-19.577778
Aphyocharax anisitsi,-54.218611,-24.887222
Aphyocharax anisitsi,-57.03167,-19.68389
Aphyocharax anisitsi,-51.489917,-21.236889
Aphyocharax anisitsi,-52.285528,-21.759917
Aphyocharax anisitsi,-54.376111,-21.105833
Aphyocharax anisitsi,-56.0914,-29.7206
Aphyocharax anisitsi,-53.093984,-22.666311
Aphyocharax anisitsi,-56.3861,-21.0218
Aphyocharax anisitsi,-57.019167,-19.577222
Aphyocharax anisitsi,-57.021111,-19.573889
Aphyocharax anisitsi,-57.019444,-19.577222
Aphyocharax anisitsi,-57.040447,-19.533075
Aphyocharax anisitsi,-57.036008,-19.605872
Aphyocharax anisitsi,-57.040694,-19.526222
Aphyocharax anisitsi,-57.039253,-19.552681
Aphyocharax anisitsi,-57.036008,-19.605872
Aphyocharax anisitsi,-57.040447,-19.533075
Aphyocharax anisitsi,-57.036008,-19.605872
Aphyocharax anisitsi,-57.040694,-19.526222
Aphyocharax anisitsi,-57.039253,-19.552681
Aphyocharax anisitsi,-57.036008,-19.605872
Aphyocharax anisitsi,-57.014167,-19.575278
Aphyocharax anisitsi,-57.019722,-19.577778
Aphyocharax anisitsi,-57.021111,-19.575278
Aphyocharax anisitsi,-57.018889,-19.5775
Aphyocharax anisitsi,-56.3109,-21.0371
Aphyocharax anisitsi,-56.3029,-21.0485
Aphyocharax anisitsi,-53.508889,-22.356111
Aphyocharax anisitsi,-56.3029,-21.0485
Aphyocharax anisitsi,-53.166667,-20.083333
Aphyocharax anisitsi,-51.942258,-23.403278
Aphyocharax anisitsi,-57.019169,-19.576891
Aphyocharax anisitsi,-57.012778,-19.576111
Aphyocharax anisitsi,-57.017778,-19.576389
Aphyocharax anisitsi,-57.014722,-19.575556
Aphyocharax anisitsi,-57.040556,-19.525833
Aphyocharax anisitsi,-57.021028,-19.571583
Aphyocharax anisitsi,-57.035833,-19.605833
Aphyocharax anisitsi,-57.017778,-19.576389
Aphyocharax anisitsi,-57.014722,-19.575556
Aphyocharax anisitsi,-57.040556,-19.525833
Aphyocharax anisitsi,-57.021028,-19.571583
Aphyocharax anisitsi,-57.035833,-19.605833
Aphyocharax anisitsi,-53.8639,-23.3412
Aphyocharax anisitsi,-57.037139,-19.579611
Aphyocharax anisitsi,-57.042333,-19.501778
Aphyocharax anisitsi,-57.040875,-19.525678
Aphyocharax anisitsi,-57.040694,-19.526222
Aphyocharax anisitsi,-57.033472,-19.634667
Aphyocharax anisitsi,-57.033333,-19.634417
Aphyocharax anisitsi,-57.0145,-19.575639
Aphyocharax anisitsi,-57.03725,-19.579583
Aphyocharax anisitsi,-57.030083,-19.643694
Aphyocharax anisitsi,-57.018056,-19.576667
Aphyocharax anisitsi,-57.037139,-19.579611
Aphyocharax anisitsi,-57.042333,-19.501778
Aphyocharax anisitsi,-57.040875,-19.525678
Aphyocharax anisitsi,-57.040694,-19.526222
Aphyocharax anisitsi,-57.033472,-19.634667
Aphyocharax anisitsi,-57.033333,-19.634417
Aphyocharax anisitsi,-57.0145,-19.575639
Aphyocharax anisitsi,-57.03725,-19.579583
Aphyocharax anisitsi,-57.030083,-19.643694
Aphyocharax anisitsi,-57.018056,-19.576667
Aphyocharax anisitsi,-47.819167,-21.612222
Aphyocharax anisitsi,-53.290278,-22.723056
Aphyocharax anisitsi,-53.3425,-22.741389
Aphyocharax anisitsi,-53.346111,-22.750833
Aphyocharax anisitsi,-53.345,-22.753056
Aphyocharax anisitsi,-57.039639,-19.541417
Aphyocharax anisitsi,-57.040667,-19.525528
Aphyocharax anisitsi,-57.045278,-19.456667
Aphyocharax anisitsi,-57.039639,-19.541417
Aphyocharax anisitsi,-57.040667,-19.525528
Aphyocharax anisitsi,-57.045278,-19.456667
Aphyocharax anisitsi,-53.3307,-22.7573
Aphyocharax anisitsi,-53.6991,-23.2998
Aphyocharax anisitsi,-53.1506,-22.6747
Aphyocharax anisitsi,-53.0827,-22.6515
Aphyocharax anisitsi,-55.805278,-16.155833
Aphyocharax anisitsi,-55.805278,-16.155833
Aphyocharax anisitsi,-53.332222,-22.774167
Aphyocharax anisitsi,-53.268889,-22.756667
Aphyocharax anisitsi,-57.366667,-19.433333
Aphyocharax anisitsi,-53.290278,-22.723056
Aphyocharax anisitsi,-53.290278,-22.723056
Aphyocharax anisitsi,-52.543889,-23.265833
Aphyocharax anisitsi,-57.012778,-19.576111
Aphyocharax anisitsi,-53.9019,-23.5752
Aphyocharax anisitsi,-56.356111,-16.365833
Aphyocharax anisitsi,-56.337778,-16.325
Aphyocharax anisitsi,-56.337222,-16.364722
Aphyocharax anisitsi,-56.361944,-16.365278
Aphyocharax anisitsi,-56.356111,-16.338611
Aphyocharax anisitsi,-54.591667,-25.555833
