scientific_name,decimalLongitude,decimalLatitude
Aphyocharax dentatus,-54.118417,-21.738278
Aphyocharax dentatus,-56.388333,-20.263056
Aphyocharax dentatus,-55.955278,-20.159167
Aphyocharax dentatus,-57.018333,-19.577222
Aphyocharax dentatus,-57.018333,-19.577222
Aphyocharax dentatus,-57.018333,-19.577222
Aphyocharax dentatus,-57.018333,-19.577222
Aphyocharax dentatus,-57.018333,-19.577222
Aphyocharax dentatus,-57.018333,-19.577222
Aphyocharax dentatus,-56.720556,-17.307778
Aphyocharax dentatus,-56.6025,-17.238889
Aphyocharax dentatus,-57.038056,-19.576389
Aphyocharax dentatus,-56.706111,-17.281389
Aphyocharax dentatus,-51.878664,-22.425114
Aphyocharax dentatus,-54.743772,-18.558897
Aphyocharax dentatus,-47.367361,-21.92675
Aphyocharax dentatus,-47.367361,-21.92675
Aphyocharax dentatus,-57.6125,-21.35639
Aphyocharax dentatus,-57.040556,-19.525833
Aphyocharax dentatus,-57.040556,-19.525833
Aphyocharax dentatus,-57.018056,-19.576667
Aphyocharax dentatus,-51.131403,-23.026519
Aphyocharax dentatus,-51.631611,-22.660278
Aphyocharax dentatus,-56.38917,-20.25972
Aphyocharax dentatus,-54.973856,-16.458489
Aphyocharax dentatus,-51.641167,-21.165333
Aphyocharax dentatus,-51.641167,-21.165333
Aphyocharax dentatus,-51.502694,-21.231528
Aphyocharax dentatus,-54.973856,-16.458489
Aphyocharax dentatus,-57.545,-21.496389
Aphyocharax dentatus,-50.664444,-5.046667
Aphyocharax dentatus,-54.190833,-18.580833
Aphyocharax dentatus,-54.185278,-19.345556
Aphyocharax dentatus,-54.069111,-22.238694
Aphyocharax dentatus,-54.069111,-22.238694
Aphyocharax dentatus,-57.018056,-19.576667
Aphyocharax dentatus,-57.018889,-19.5775
Aphyocharax dentatus,-52.950556,-20.390833
Aphyocharax dentatus,-47.821389,-21.611944
Aphyocharax dentatus,-56.027222,-21.658278
Aphyocharax dentatus,-54.778333,-20.045556
Aphyocharax dentatus,-54.210833,-23.391389
Aphyocharax dentatus,-54.74,-18.526667
Aphyocharax dentatus,-54.423333,-21.639167
Aphyocharax dentatus,-48.3663463,-22.7574122
Aphyocharax dentatus,-53.344722,-22.752778
Aphyocharax dentatus,-53.333333,-22.731944
Aphyocharax dentatus,-53.346111,-22.750833
Aphyocharax dentatus,-53.345,-22.753056
Aphyocharax dentatus,-50.056111,-18.723333
Aphyocharax dentatus,-56.368028,-15.184389
Aphyocharax dentatus,-56.368028,-15.184389
Aphyocharax dentatus,-54.2911,-23.9872
Aphyocharax dentatus,-54.0518,-23.6606
Aphyocharax dentatus,-53.8856,-23.3606
Aphyocharax dentatus,-53.8856,-23.3606
Aphyocharax dentatus,-54.1662,-23.9257
Aphyocharax dentatus,-53.7234,-23.2432
Aphyocharax dentatus,-53.9448,-23.6499
Aphyocharax dentatus,-53.9448,-23.6499
Aphyocharax dentatus,-54.0635,-23.6705
Aphyocharax dentatus,-51.011361,-23.285417
Aphyocharax dentatus,-51.011361,-23.285417
Aphyocharax dentatus,-48.153056,-22.622222
Aphyocharax dentatus,-53.358889,-22.798889
Aphyocharax dentatus,-53.268889,-22.756667
Aphyocharax dentatus,-57.366667,-19.433333
Aphyocharax dentatus,-53.253056,-22.747222
Aphyocharax dentatus,-57.303056,-19.405833
Aphyocharax dentatus,-57.386111,-19.446389
Aphyocharax dentatus,-47.102222,-5.309167
Aphyocharax dentatus,-46.349722,-4.445
Aphyocharax dentatus,-52.872222,-22.601944
Aphyocharax dentatus,-48.817778,-6.879444
Aphyocharax dentatus,-49.969167,-6.235833
Aphyocharax dentatus,-49.969167,-6.235833
Aphyocharax dentatus,-53.290278,-22.723056
Aphyocharax dentatus,-53.290278,-22.723056
Aphyocharax dentatus,-51.579722,-22.92
Aphyocharax dentatus,-51.579722,-22.92
Aphyocharax dentatus,-51.579722,-22.92
Aphyocharax dentatus,-51.579722,-22.92
Aphyocharax dentatus,-47.819167,-21.612222
Aphyocharax dentatus,-53.9019,-23.5752
Aphyocharax dentatus,-54.0232,-23.9332
Aphyocharax dentatus,-47.819167,-21.612222
Aphyocharax dentatus,-47.824722,-21.612222
Aphyocharax dentatus,-53.332778,-22.730833
Aphyocharax dentatus,-53.342778,-22.751111
Aphyocharax dentatus,-53.332778,-22.730833
Aphyocharax dentatus,-53.3425,-22.741111
Aphyocharax dentatus,-53.3425,-22.741389
Aphyocharax dentatus,-53.343611,-22.750278
Aphyocharax dentatus,-53.3425,-22.74
Aphyocharax dentatus,-53.342778,-22.751111
Aphyocharax dentatus,-47.368611,-21.925833
Aphyocharax dentatus,-47.528889,-5.578889
Aphyocharax dentatus,-50.019167,-5.975
Aphyocharax dentatus,-50.019167,-5.975
Aphyocharax dentatus,-46.775278,-5.013889
Aphyocharax dentatus,-46.775278,-5.013889
Aphyocharax dentatus,-46.577222,-4.325278
Aphyocharax dentatus,-46.279722,-4.775833
Aphyocharax dentatus,-46.485,-4.460833
Aphyocharax dentatus,-46.453056,-5.034167
Aphyocharax dentatus,-46.350556,-4.283889
Aphyocharax dentatus,-46.350556,-4.283889
Aphyocharax dentatus,-47.651944,-4.681944
Aphyocharax dentatus,-46.577222,-4.325278
Aphyocharax dentatus,-46.485,-4.460833
Aphyocharax dentatus,-46.453056,-5.034167
Aphyocharax dentatus,-47.651944,-4.681944
Aphyocharax dentatus,-46.279722,-4.775833
Aphyocharax dentatus,-46.349722,-4.445
Aphyocharax dentatus,-46.349722,-4.445
Aphyocharax dentatus,-46.125556,-4.739167
Aphyocharax dentatus,-46.125556,-4.739167
Aphyocharax dentatus,-47.102222,-5.309167
Aphyocharax dentatus,-46.420556,-3.950556
Aphyocharax dentatus,-46.854167,-4.566667
Aphyocharax dentatus,-46.420556,-3.950556
Aphyocharax dentatus,-47.102222,-5.309167
Aphyocharax dentatus,-46.246111,-4.039444
Aphyocharax dentatus,-54.678889,-21.526825
Aphyocharax dentatus,-57.018056,-19.576667
Aphyocharax dentatus,-57.018056,-19.576667
Aphyocharax dentatus,-54.745556,-18.503889
Aphyocharax dentatus,-54.745556,-18.503889
Aphyocharax dentatus,-50.997111,-23.094222
Aphyocharax dentatus,-50.997111,-23.094222
Aphyocharax dentatus,-53.496389,-22.774722
Aphyocharax dentatus,-53.253056,-22.747222
Aphyocharax dentatus,-50.631667,-13.431667
Aphyocharax dentatus,-50.631667,-13.431667
Aphyocharax dentatus,-57.881611,-21.686111
Aphyocharax dentatus,-52.605611,-20.393278
Aphyocharax dentatus,-53.693916,-22.047861
Aphyocharax dentatus,-53.784054,-22.233305
Aphyocharax dentatus,-53.784054,-22.233305
Aphyocharax dentatus,-53.78,-22.23
Aphyocharax dentatus,-53.78,-22.23
Aphyocharax dentatus,-53.69,-22.05
Aphyocharax dentatus,-57.018972,-19.576306
Aphyocharax dentatus,-57.018972,-19.576306
Aphyocharax dentatus,-54.536942,-25.594269
Aphyocharax dentatus,-54.536942,-25.594269
Aphyocharax dentatus,-54.536942,-25.594269
Aphyocharax dentatus,-54.536942,-25.594269
Aphyocharax dentatus,-50.44775,-23.031639
Aphyocharax dentatus,-50.44775,-23.031639
Aphyocharax dentatus,-53.253056,-22.747222
Aphyocharax dentatus,-50.997111,-23.094222
Aphyocharax dentatus,-50.997111,-23.094222
Aphyocharax dentatus,-54.007028,-22.639972
Aphyocharax dentatus,-53.860833,-22.672778
Aphyocharax dentatus,-57.891667,-21.674444
Aphyocharax dentatus,-53.541389,-22.799167
Aphyocharax dentatus,-49.262778,-5.367778
Aphyocharax dentatus,-49.262778,-5.367778
Aphyocharax dentatus,-53.943333,-23.650278
Aphyocharax dentatus,-53.5525,-22.825833
Aphyocharax dentatus,-53.216667,-22.683333
Aphyocharax dentatus,-53.268611,-22.756667
Aphyocharax dentatus,-52.513611,-19.549167
Aphyocharax dentatus,-52.52,-19.531944
Aphyocharax dentatus,-57.011667,-19.576944
Aphyocharax dentatus,-54.348333,-23.838056
Aphyocharax dentatus,-54.591667,-25.555833
Aphyocharax dentatus,-52.513611,-19.549167
