Species,decimalLongitude,decimalLatitude
Apistogramma commbrae,-56.81053,-29.469855
Apistogramma commbrae,-56.810539,-29.469896
Apistogramma commbrae,-57.018333,-19.577222
Apistogramma commbrae,-57.018333,-19.577222
Apistogramma commbrae,-57.018333,-19.577222
Apistogramma commbrae,-51.790953,-21.596653
Apistogramma commbrae,-55.826182,-20.460187
Apistogramma commbrae,-57.187222,-19.260833
Apistogramma commbrae,-52.194833,-21.850278
Apistogramma commbrae,-56.7914,-29.535275
Apistogramma commbrae,-55.992397,-28.674617
Apistogramma commbrae,-54.341111,-24.844444
Apistogramma commbrae,-53.891364,-27.16169
Apistogramma commbrae,-55.628611,-19.507778
Apistogramma commbrae,-55.612222,-19.504167
Apistogramma commbrae,-56.975,-19.607778
Apistogramma commbrae,-57.498136,-19.021735
Apistogramma commbrae,-57.715,-21.696944
Apistogramma commbrae,-57.03167,-19.68389
Apistogramma commbrae,-51.796556,-21.134131
Apistogramma commbrae,-51.765806,-21.115389
Apistogramma commbrae,-52.285528,-21.759917
Apistogramma commbrae,-52.39875,-21.880278
Apistogramma commbrae,-49.898889,-22.135444
Apistogramma commbrae,-49.676111,-21.921889
Apistogramma commbrae,-57.019167,-19.577222
Apistogramma commbrae,-57.014167,-19.575278
Apistogramma commbrae,-57.021111,-19.573889
Apistogramma commbrae,-57.036008,-19.605872
Apistogramma commbrae,-57.040694,-19.526222
Apistogramma commbrae,-57.039253,-19.552681
Apistogramma commbrae,-57.036008,-19.605872
Apistogramma commbrae,-57.040694,-19.526222
Apistogramma commbrae,-57.039253,-19.552681
Apistogramma commbrae,-57.019722,-19.577778
Apistogramma commbrae,-57.035833,-19.605833
Apistogramma commbrae,-57.014722,-19.575556
Apistogramma commbrae,-57.040556,-19.525833
Apistogramma commbrae,-57.035833,-19.605833
Apistogramma commbrae,-57.771166,-16.241585
Apistogramma commbrae,-53.8639,-23.3412
Apistogramma commbrae,-57.037139,-19.579611
Apistogramma commbrae,-57.033333,-19.634417
Apistogramma commbrae,-57.0145,-19.575639
Apistogramma commbrae,-57.03725,-19.579583
Apistogramma commbrae,-57.037139,-19.579611
Apistogramma commbrae,-57.033333,-19.634417
Apistogramma commbrae,-57.0145,-19.575639
Apistogramma commbrae,-57.03725,-19.579583
Apistogramma commbrae,-53.332778,-22.730833
Apistogramma commbrae,-53.345,-22.753056
Apistogramma commbrae,-53.332778,-22.730833
Apistogramma commbrae,-53.3024,-22.7518
Apistogramma commbrae,-53.358889,-22.798889
Apistogramma commbrae,-53.268889,-22.756667
Apistogramma commbrae,-54.249167,-24.385556
Apistogramma commbrae,-53.9019,-23.5752
Apistogramma commbrae,-53.332778,-22.730833
Apistogramma commbrae,-53.3425,-22.741111
Apistogramma commbrae,-53.346111,-22.750833
Apistogramma commbrae,-53.3425,-22.74
Apistogramma commbrae,-53.343611,-22.750278
Apistogramma commbrae,-53.400833,-22.931389
Apistogramma commbrae,-53.315,-22.844444
Apistogramma commbrae,-53.460556,-22.753611
Apistogramma commbrae,-53.5525,-22.9175
Apistogramma commbrae,-53.552222,-22.9675
Apistogramma commbrae,-53.3425,-22.74
Apistogramma commbrae,-53.346111,-22.750833
Apistogramma commbrae,-53.268889,-22.756667
Apistogramma commbrae,-57.0145,-19.575639
Apistogramma commbrae,-57.0145,-19.575639
Apistogramma commbrae,-54.591667,-25.555833
Apistogramma commbrae,-56.99,-19.583333
Apistogramma commbrae,-57.4702,-19.0344
Apistogramma commbrae,-57.050833,-19.536111
Apistogramma commbrae,-53.293889,-22.756667
Apistogramma commbrae,-53.293889,-22.756667
Apistogramma commbrae,-54.249167,-24.385556
Apistogramma commbrae,-57.018972,-19.576306
Apistogramma commbrae,-57.018972,-19.576306
Apistogramma commbrae,-53.235278,-22.744722
Apistogramma commbrae,-53.253056,-22.747222
Apistogramma commbrae,-53.257778,-22.765556
Apistogramma commbrae,-56.337222,-16.356667
Apistogramma commbrae,-56.338611,-16.346944
Apistogramma commbrae,-56.338611,-16.346944
Apistogramma commbrae,-56.337222,-16.356667
Apistogramma commbrae,-53.216667,-22.683333
Apistogramma commbrae,-53.316667,-22.716667
Apistogramma commbrae,-56.337222,-16.356667
Apistogramma commbrae,-59.318611,-16.3475
Apistogramma commbrae,-53.266667,-22.75
Apistogramma commbrae,-57.0145,-19.575639
Apistogramma commbrae,-57.0145,-19.575639
Apistogramma commbrae,-54.591667,-25.555833
Apistogramma commbrae,-53.332222,-22.774167
Apistogramma commbrae,-53.266667,-22.75
Apistogramma commbrae,-57.018972,-19.576306
Apistogramma commbrae,-57.018972,-19.576306
Apistogramma commbrae,-56.644722,-16.349722
Apistogramma commbrae,-57.040667,-19.525528
Apistogramma commbrae,-57.040667,-19.525528
Apistogramma commbrae,-57.033333,-19.633333
Apistogramma commbrae,-57.033333,-19.633333
Apistogramma commbrae,-57.040556,-19.526111
Apistogramma commbrae,-57.033333,-19.633333
Apistogramma commbrae,-57.033333,-19.633333
Apistogramma commbrae,-57.040556,-19.526111
