Species,decimalLongitude,decimalLatitude
Arapaima gigas,-48.750762,-17.771928
Arapaima gigas,-59.785367,-3.0742950000000002
Arapaima gigas,-47.439487,-5.488745
Arapaima gigas,-59.974296,-3.013893
Arapaima gigas,-67.867287,-9.958145
Arapaima gigas,-67.867303,-9.958125
Arapaima gigas,-67.86949,-9.956043
Arapaima gigas,-67.867355,-9.958127
Arapaima gigas,-54.866343,-2.530836
Arapaima gigas,-59.80939,-3.695727
Arapaima gigas,-67.867065,-9.958166
Arapaima gigas,-65.52921,-9.782747
Arapaima gigas,-47.219841,-7.431448
Arapaima gigas,-64.762313,-2.4549280000000002
Arapaima gigas,-54.883072,-2.537647
Arapaima gigas,-60.021731,-3.119027
Arapaima gigas,-60.021731,-3.119027
Arapaima gigas,-49.264794,-16.686891
Arapaima gigas,-56.629999,-13.540243
Arapaima gigas,-64.995505,-2.838205
Arapaima gigas,-64.383845,-12.109486
Arapaima gigas,-60.002063,-3.221698
Arapaima gigas,-48.262075,-15.116464
Arapaima gigas,-69.940978,-4.269862
Arapaima gigas,-63.034621,-9.903957
Arapaima gigas,-57.01998,-12.414509
Arapaima gigas,-56.687838,-13.418121
Arapaima gigas,-56.631432,-13.534361
Arapaima gigas,-56.631432,-13.534361
Arapaima gigas,-70.028051,-4.373685
Arapaima gigas,-60.451028,-3.718694
Arapaima gigas,-64.82475,-2.916139
Arapaima gigas,-62.126389,-3.886028
Arapaima gigas,-60.026619,-2.036272
Arapaima gigas,-67.86382,-9.954971
Arapaima gigas,-55.75,-11.706
Arapaima gigas,-55.75,-11.706
Arapaima gigas,-67.5816,-10.0394
Arapaima gigas,-49.939367,-11.087472
Arapaima gigas,-48.7507,-17.7745
Arapaima gigas,-50.965583,-11.083722
Arapaima gigas,-50.943683,-11.627261
Arapaima gigas,-60.02628,-2.050608
Arapaima gigas,-66.035,-3.369444
Arapaima gigas,-64.926111,-9.611111
Arapaima gigas,-59.934145,-3.228802
Arapaima gigas,-51.704444,-15.351667
Arapaima gigas,-64.714167,-9.310278
Arapaima gigas,-61.106667,-5.620556
Arapaima gigas,-65.223889,-11.610556
Arapaima gigas,-57.604444,-4.365833
Arapaima gigas,-60.016666,-3.1
Arapaima gigas,-67.828103,-5.882394
Arapaima gigas,-60.0167,-3.1
Arapaima gigas,-52.884444,-22.601944
Arapaima gigas,-50.506111,-13.157778
Arapaima gigas,-51.712778,-15.388889
Arapaima gigas,-48.549999,-11.016666
Arapaima gigas,-59.676389,-3.141944
Arapaima gigas,-60.01667,-3.13333
Arapaima gigas,-60.01667,-3.13333
Arapaima gigas,-60.023056,-3.145278
Arapaima gigas,-60.75,-2.7
Arapaima gigas,-60.283333,-3.416667
Arapaima gigas,-55.833333,-1.866667
Arapaima gigas,-64,-0.5
Arapaima gigas,-46.511667,-1.291667
Arapaima gigas,-54.691062,-2.427117
Arapaima gigas,-56.75833,-2.64167
Arapaima gigas,-51.89,-3.09
Arapaima gigas,-61.50833,-3.10833
Arapaima gigas,-68.93,-3.58
Arapaima gigas,-54.355206,-11.524631
Arapaima gigas,-60.02,-3.1
Arapaima gigas,-53.2,-10.333333
Arapaima gigas,-53.2,-10.333333
Arapaima gigas,-61.63281,-4.67409
Arapaima gigas,-52.06042,-11.92719
Arapaima gigas,-60.95,-3.266667
Arapaima gigas,-62.066667,-4.483333
Arapaima gigas,-68.95,-4.166667
