scientific_name,decimalLongitude,decimalLatitude
Archontophoenix cunninghamiana,-48.634263,-28.07903
Archontophoenix cunninghamiana,-46.718203,-23.566838
Archontophoenix cunninghamiana,-49.283417,-26.825708
Archontophoenix cunninghamiana,-49.282857,-26.823246
Archontophoenix cunninghamiana,-48.9232,-27.0937
Archontophoenix cunninghamiana,-46.410553,-23.540572
Archontophoenix cunninghamiana,-49.089639,-27.195903
Archontophoenix cunninghamiana,-49.099937,-27.206962
Archontophoenix cunninghamiana,-53.733705,-29.71092
Archontophoenix cunninghamiana,-46.902434,-23.636747
Archontophoenix cunninghamiana,-46.72995,-23.583329
Archontophoenix cunninghamiana,-45.42862,-23.594938
Archontophoenix cunninghamiana,-49.049009,-26.929272
Archontophoenix cunninghamiana,-49.078705,-26.904495
Archontophoenix cunninghamiana,-49.072239,-26.929572
Archontophoenix cunninghamiana,-49.080194,-26.906402
Archontophoenix cunninghamiana,-48.88211,-27.076159
Archontophoenix cunninghamiana,-47.880961,-21.980011
Archontophoenix cunninghamiana,-46.535673,-23.648072
Archontophoenix cunninghamiana,-48.958575,-26.930196
Archontophoenix cunninghamiana,-49.619292,-27.212036
Archontophoenix cunninghamiana,-46.718048,-23.56723
Archontophoenix cunninghamiana,-46.620867,-23.647765
Archontophoenix cunninghamiana,-44.714612,-23.215833
Archontophoenix cunninghamiana,-46.720332,-23.565109
Archontophoenix cunninghamiana,-46.620046,-23.649433
Archontophoenix cunninghamiana,-46.652345,-23.502136
Archontophoenix cunninghamiana,-46.620161,-23.638798
Archontophoenix cunninghamiana,-46.620289,-23.639059
Archontophoenix cunninghamiana,-46.724354,-23.566169
Archontophoenix cunninghamiana,-40.836083,-20.129639
Archontophoenix cunninghamiana,-46.72258,-23.564347
Archontophoenix cunninghamiana,-46.717999,-23.566278
Archontophoenix cunninghamiana,-40.061667,-19.136944
Archontophoenix cunninghamiana,-40.061667,-19.136944
Archontophoenix cunninghamiana,-40.061667,-19.136944
Archontophoenix cunninghamiana,-40.061667,-19.136944
Archontophoenix cunninghamiana,-40.061639,-19.136833
Archontophoenix cunninghamiana,-43.177914,-22.511332
Archontophoenix cunninghamiana,-49.049176,-26.928393
Archontophoenix cunninghamiana,-47.855,-21.169444
Archontophoenix cunninghamiana,-52.325,-24.103611
Archontophoenix cunninghamiana,-52.325,-24.103611
Archontophoenix cunninghamiana,-52.325,-24.103611
Archontophoenix cunninghamiana,-52.325,-24.103611
Archontophoenix cunninghamiana,-52.325056,-24.103639
Archontophoenix cunninghamiana,-52.193055,-24.061389
Archontophoenix cunninghamiana,-46.716667,-23.55
Archontophoenix cunninghamiana,-46.716667,-23.55
Archontophoenix cunninghamiana,-46.7572021,-23.5900777
Archontophoenix cunninghamiana,-43.966667,-19.866667
Archontophoenix cunninghamiana,-47.627222,-22.709166
Archontophoenix cunninghamiana,-48.627222,-22.709167
Archontophoenix cunninghamiana,-46.7725,-23.663056
Archontophoenix cunninghamiana,-46.7742004,-23.6629779
Archontophoenix cunninghamiana,-47.0608,-22.9056
Archontophoenix cunninghamiana,-51.214437,-30.034991
Archontophoenix cunninghamiana,-51.214437,-30.034991
Archontophoenix cunninghamiana,-47.0608,-22.9056
Archontophoenix cunninghamiana,-46.7289998,-23.5660767
