scientific_name,decimalLongitude,decimalLatitude
Ardisia crenata,-49.283419,-26.825714
Ardisia crenata,-49.282857,-26.823246
Ardisia crenata,-49.507882,-28.488362
Ardisia crenata,-49.278921,-26.794102
Ardisia crenata,-46.729929,-23.583427
Ardisia crenata,-46.754347,-23.853094
Ardisia crenata,-46.731595,-23.565497
Ardisia crenata,-49.049009,-26.929272
Ardisia crenata,-46.409615,-23.444026
Ardisia crenata,-46.717131,-23.56609
Ardisia crenata,-49.212874,-26.761603
Ardisia crenata,-49.211906,-26.762356
Ardisia crenata,-47.544178,-22.411682
Ardisia crenata,-46.730943,-23.566141
Ardisia crenata,-48.880961,-27.075306
Ardisia crenata,-48.876168,-27.065804
Ardisia crenata,-43.180862,-22.510365
Ardisia crenata,-49.152401,-25.695115
Ardisia crenata,-49.455,-28.596389
Ardisia crenata,-49.455,-28.596389
Ardisia crenata,-46.69448,-23.601895
Ardisia crenata,-49.376111,-26.785278
Ardisia crenata,-49.376111,-26.785278
Ardisia crenata,-49.1146,-25.4531
Ardisia crenata,-49.2285,-25.4059
Ardisia crenata,-49.211944,-26.762778
Ardisia crenata,-49.211944,-26.762778
Ardisia crenata,-49.044761,-26.929963
Ardisia crenata,-48.938611,-26.122222
Ardisia crenata,-49.409167,-28.709167
Ardisia crenata,-49.409167,-28.709167
Ardisia crenata,-49.409167,-28.709167
Ardisia crenata,-49.409167,-28.709167
Ardisia crenata,-49.409167,-28.709167
Ardisia crenata,-49.409167,-28.709167
Ardisia crenata,-43.915972,-19.891611
Ardisia crenata,-46.716667,-22.55
Ardisia crenata,-46.716667,-22.55
Ardisia crenata,-47.0608,-22.9056
