scientific_name,decimalLongitude,decimalLatitude
Aristida adscensionis,-37.347931,-6.784303
Aristida adscensionis,-57.772778,-21.551389
Aristida adscensionis,-40.693763,-9.336891
Aristida adscensionis,-39.42,-8.64
Aristida adscensionis,-41.4,-5.4
Aristida adscensionis,-41.94,-5.22
Aristida adscensionis,-36.3,-10.08
Aristida adscensionis,-45.600556,-9.985833
Aristida adscensionis,-39.8623,-9.8767
Aristida adscensionis,-42.281111,-13.828611
Aristida adscensionis,-39.478611,-11.298889
Aristida adscensionis,-42.281111,-13.828611
Aristida adscensionis,-38.641389,-8.229444
Aristida adscensionis,-43.379722,-19.847778
Aristida adscensionis,-37.619444,-8.405833
Aristida adscensionis,-37.2025,-8.405556
Aristida adscensionis,-41.470556,-12.458333
Aristida adscensionis,-41.470556,-12.458333
Aristida adscensionis,-37.403333,-7.021667
Aristida adscensionis,-37.910556,-8.465
Aristida adscensionis,-37.915556,-8.452778
Aristida adscensionis,-51.84,-17.1
Aristida adscensionis,-46.62,-14.399722
Aristida adscensionis,-51.839995,-17.099997
Aristida adscensionis,-46.62,-14.399722
Aristida adscensionis,-47.796944,-15.820556
Aristida adscensionis,-47.813889,-15.846667
Aristida adscensionis,-47.795278,-15.817778
Aristida adscensionis,-37.056389,-10.885556
Aristida adscensionis,-37.315,-10.758056
Aristida adscensionis,-48.416667,-10.416667
Aristida adscensionis,-48.416667,-10.8
Aristida adscensionis,-48.416667,-10.8
Aristida adscensionis,-37.351667,-10.773611
Aristida adscensionis,-46.507778,-10.575
Aristida adscensionis,-46.507889,-10.575083
Aristida adscensionis,-36.823333,-7.888889
Aristida adscensionis,-47.955,-15.975278
Aristida adscensionis,-47.955,-15.975278
Aristida adscensionis,-47.955,-15.975278
Aristida adscensionis,-47.955,-15.975278
Aristida adscensionis,-47.955,-15.975278
Aristida adscensionis,-39.103063,-8.08848
Aristida adscensionis,-40.471138,-9.420694
Aristida adscensionis,-39.1128,-6.750752
Aristida adscensionis,-41.468056,-10.359722
Aristida adscensionis,-37.237166,-8.514611
Aristida adscensionis,-37.252041,-8.533083
Aristida adscensionis,-37.244888,-8.530416
Aristida adscensionis,-38.394722,-6.551111
Aristida adscensionis,-37.279555,-8.039166
Aristida adscensionis,-43.482222,-9.220833
Aristida adscensionis,-39.076138,-7.812694
Aristida adscensionis,-40.548163,-9.328741
Aristida adscensionis,-40.548805,-9.326194
Aristida adscensionis,-43.482222,-9.220833
Aristida adscensionis,-39.695833,-9.694167
Aristida adscensionis,-39.52,-9.531389
Aristida adscensionis,-39.671111,-9.135
Aristida adscensionis,-39.695833,-9.210833
Aristida adscensionis,-39.52,-9.314722
Aristida adscensionis,-40.548611,-9.326111
Aristida adscensionis,-39.319805,-8.212277
Aristida adscensionis,-39.319805,-8.212277
Aristida adscensionis,-40.548163,-9.328741
Aristida adscensionis,-41.509167,-12.730833
Aristida adscensionis,-41.509167,-12.730833
Aristida adscensionis,-41.558889,-12.562222
Aristida adscensionis,-41.558889,-12.528889
Aristida adscensionis,-41.558889,-12.562222
Aristida adscensionis,-41.558889,-12.528889
Aristida adscensionis,-40.554208,-9.329961
Aristida adscensionis,-40.55363,-9.329772
Aristida adscensionis,-40.551344,-9.327861
Aristida adscensionis,-57.779167,-21.683056
Aristida adscensionis,-40.55025,-9.316916
Aristida adscensionis,-41.21475,-9.270327
Aristida adscensionis,-40.301389,-9.314722
Aristida adscensionis,-40.301389,-9.848056
Aristida adscensionis,-37.829916,-8.36325
Aristida adscensionis,-37.228944,-7.875027
Aristida adscensionis,-57.778611,-21.682778
Aristida adscensionis,-57.650278,-21.711667
Aristida adscensionis,-41.558889,-12.528889
Aristida adscensionis,-38.896944,-8.870833
Aristida adscensionis,-38.896944,-8.870833
Aristida adscensionis,-42.301389,-10.001111
Aristida adscensionis,-42.504167,-10.003333
Aristida adscensionis,-41.558889,-12.562222
Aristida adscensionis,-41.558889,-12.562222
Aristida adscensionis,-41.558889,-12.528889
Aristida adscensionis,-41.558889,-12.528889
Aristida adscensionis,-37.688333,-5.6025
Aristida adscensionis,-41.904444,-11.209722
Aristida adscensionis,-37.688333,-5.6025
Aristida adscensionis,-41.904444,-11.209722
Aristida adscensionis,-41.904444,-11.209722
Aristida adscensionis,-57.8975,-21.7175
Aristida adscensionis,-38.716667,-8.05
Aristida adscensionis,-40.526166,-9.447888
Aristida adscensionis,-40.526166,-9.447888
Aristida adscensionis,-34.978633,-6.493619
Aristida adscensionis,-35.002778,-7.8375
Aristida adscensionis,-35.002778,-7.8375
Aristida adscensionis,-37.256389,-6.573333
Aristida adscensionis,-37.438889,-6.706389
Aristida adscensionis,-37.266389,-6.575833
Aristida adscensionis,-37.173611,-6.335556
Aristida adscensionis,-37.173611,-6.335556
Aristida adscensionis,-37.193333,-5.120833
Aristida adscensionis,-37.193333,-5.120833
Aristida adscensionis,-37.325556,-5.201667
Aristida adscensionis,-37.280833,-6.266667
Aristida adscensionis,-37.25,-6.25
Aristida adscensionis,-37.326111,-5.2025
Aristida adscensionis,-37.325833,-5.2025
Aristida adscensionis,-37.325833,-5.202222
Aristida adscensionis,-37.344444,-5.191944
Aristida adscensionis,-37.344444,-5.191944
Aristida adscensionis,-36.388056,-5.521667
Aristida adscensionis,-38.721389,-9.569167
Aristida adscensionis,-37.25,-6.566667
Aristida adscensionis,-37.280833,-6.566667
