Species,decimalLongitude,decimalLatitude
Artocarpus altilis,-40.146694,-19.986502
Artocarpus altilis,-38.434355,-12.928915
Artocarpus altilis,-35.534659,-9.449421
Artocarpus altilis,-38.763007,-12.395373
Artocarpus altilis,-43.351104,-22.994209
Artocarpus altilis,-43.351219,-22.99435
Artocarpus altilis,-43.066126,-22.542406
Artocarpus altilis,-60.140634,-3.072475
Artocarpus altilis,-39.956027,-18.303598
Artocarpus altilis,-60.171007,-3.068021
Artocarpus altilis,-34.94913,-8.051114
Artocarpus altilis,-40.367713,-20.017114
Artocarpus altilis,-40.076068,-19.323081
Artocarpus altilis,-38.433333,-12.783333
Artocarpus altilis,-34.875501,-7.113717
Artocarpus altilis,-35.72243,-9.60466
Artocarpus altilis,-36.433606,-8.901493
Artocarpus altilis,-38.943866,-4.260015
Artocarpus altilis,-67.868745,-9.945734
Artocarpus altilis,-36.584297,-10.290208
Artocarpus altilis,-67.856121,-9.960026
Artocarpus altilis,-38.990928,-14.275113
Artocarpus altilis,-39.107067,-12.905095
Artocarpus altilis,-35.252624,-9.081782
Artocarpus altilis,-44.72732,-23.217845
Artocarpus altilis,-44.6396,-23.244045
Artocarpus altilis,-61.701667,-11.928611
Artocarpus altilis,-61.701667,-11.928611
Artocarpus altilis,-42.039926,-20.722392
Artocarpus altilis,-47.90995,-15.81305
Artocarpus altilis,-45.315103,-23.576696
Artocarpus altilis,-43.841264,-16.6824
Artocarpus altilis,-44.028707,-19.866137
Artocarpus altilis,-43.42872,-19.185422
Artocarpus altilis,-40.395985,-20.28695
Artocarpus altilis,-43.33154,-22.57237
Artocarpus altilis,-45.556707,-23.78953
Artocarpus altilis,-60.003563,-3.087042
Artocarpus altilis,-45.368611,-23.813056
Artocarpus altilis,-47.000417,-24.322063
Artocarpus altilis,-43.497823,-22.975604
Artocarpus altilis,-43.497823,-22.975604
Artocarpus altilis,-49.581347,-15.15312
Artocarpus altilis,-44.693685,-23.229083
Artocarpus altilis,-67.809819,-9.974025
Artocarpus altilis,-43.66346,-22.945841
Artocarpus altilis,-45.368416,-23.813324
Artocarpus altilis,-60.044436,-3.10085
Artocarpus altilis,-40.406666,-19.933243
Artocarpus altilis,-39.742645,-18.537606
Artocarpus altilis,-41.931798,-21.541386
Artocarpus altilis,-43.417069,-22.590644
Artocarpus altilis,-41.538051,-20.339626
Artocarpus altilis,-42.516988,-21.452767
Artocarpus altilis,-42.516879,-21.452926
Artocarpus altilis,-38.365657,-12.360961
Artocarpus altilis,-38.361248,-12.888598
Artocarpus altilis,-35.095757,-8.690732
Artocarpus altilis,-45.435415,-23.679457
Artocarpus altilis,-39.044861,-16.316074
Artocarpus altilis,-38.525037,-3.754211
Artocarpus altilis,-39.372573,-17.890134
Artocarpus altilis,-41.369624,-13.006217
Artocarpus altilis,-43.568093,-22.801747
Artocarpus altilis,-34.874414,-7.113923
Artocarpus altilis,-41.9899,-22.580478
Artocarpus altilis,-44.32242,-23.152087
Artocarpus altilis,-44.255015,-23.00082
Artocarpus altilis,-42.358915,-22.899688
Artocarpus altilis,-47.000555,-24.32175
Artocarpus altilis,-47.000336,-24.320563
Artocarpus altilis,-40.324828,-19.269286
Artocarpus altilis,-35.084802,-8.700224
Artocarpus altilis,-45.420653,-23.626527
Artocarpus altilis,-42.643383,-22.88739
Artocarpus altilis,-44.38535,-22.968946
Artocarpus altilis,-45.420653,-23.626527
Artocarpus altilis,-43.714027,-22.618523
Artocarpus altilis,-42.506373,-19.407848
Artocarpus altilis,-43.714027,-22.618523
Artocarpus altilis,-43.223426,-22.964276
Artocarpus altilis,-39.188532,-12.919368
Artocarpus altilis,-43.851227,-22.89909
Artocarpus altilis,-40.302409,-20.136199
Artocarpus altilis,-43.69667,-22.429728
Artocarpus altilis,-47.607422,-15.677512
Artocarpus altilis,-50.841143,-15.935387
Artocarpus altilis,-49.265833,-16.712032
Artocarpus altilis,-56.12745,-15.631428
Artocarpus altilis,-47.803932,-15.650955
Artocarpus altilis,-48.009168,-15.862966
Artocarpus altilis,-45.433741,-23.682047
Artocarpus altilis,-45.433741,-23.682047
Artocarpus altilis,-43.182922,-22.645361
Artocarpus altilis,-47.879444,-15.802222
Artocarpus altilis,-40.854468,-14.879737
Artocarpus altilis,-42.827708,-22.936509
Artocarpus altilis,-47.91015,-15.813012
Artocarpus altilis,-38.921033,-4.218223
Artocarpus altilis,-35.085616,-8.699614
Artocarpus altilis,-35.823438,-9.701208
Artocarpus altilis,-35.823438,-9.701208
Artocarpus altilis,-38.361261,-12.888917
Artocarpus altilis,-35.229883,-9.030987
Artocarpus altilis,-45.365702,-23.812073
Artocarpus altilis,-44.517942,-22.442334
Artocarpus altilis,-42.083126,-22.826219
Artocarpus altilis,-40.864739,-21.075891
Artocarpus altilis,-35.485188,-8.322975
Artocarpus altilis,-45.419722,-23.6275
Artocarpus altilis,-43.354741,-22.93774
Artocarpus altilis,-42.954381,-22.798496
Artocarpus altilis,-59.979081,-3.073475
Artocarpus altilis,-59.982525,-3.074229
Artocarpus altilis,-41.023354,-20.989557
Artocarpus altilis,-41.023354,-20.989557
Artocarpus altilis,-49.534829,-18.337594
Artocarpus altilis,-41.023354,-20.989557
Artocarpus altilis,-38.395686,-12.958166
Artocarpus altilis,-41.851793,-13.65055
Artocarpus altilis,-59.99541,-3.091996
