Species,decimalLongitude,decimalLatitude
Asparagus aethiopicus,-48.410792,-27.405697
Asparagus aethiopicus,-43.292253,-22.901662
Asparagus aethiopicus,-43.879902,-19.996046
Asparagus aethiopicus,-49.2676,-26.829187
Asparagus aethiopicus,-48.604872,-27.006583
Asparagus aethiopicus,-48.636376,-26.96788
Asparagus aethiopicus,-47.894744,-22.013031
Asparagus aethiopicus,-48.627353,-26.935203
Asparagus aethiopicus,-43.409895,-21.781929
Asparagus aethiopicus,-48.510538,-27.599555
Asparagus aethiopicus,-48.526943,-26.204765
Asparagus aethiopicus,-51.187572,-29.113207
Asparagus aethiopicus,-49.082159,-26.9254
Asparagus aethiopicus,-48.637713,-26.867183
Asparagus aethiopicus,-46.615682,-23.647405
Asparagus aethiopicus,-48.642971,-26.897973
Asparagus aethiopicus,-48.719621,-28.340773
Asparagus aethiopicus,-48.534824,-27.797557
Asparagus aethiopicus,-48.53071,-27.770223
Asparagus aethiopicus,-48.530539,-27.769924
Asparagus aethiopicus,-48.434156,-27.602871
Asparagus aethiopicus,-47.0608,-22.9056
