scientific_name,decimalLongitude,decimalLatitude
Asparagus densiflorus,-52.076875,-28.652737
Asparagus densiflorus,-38.973611,-12.275
Asparagus densiflorus,-38.945556,-12.264167
Asparagus densiflorus,-38.918056,-12.253611
Asparagus densiflorus,-38.928611,-12.232778
Asparagus densiflorus,-38.929722,-12.236389
Asparagus densiflorus,-50.927416,-29.420911
Asparagus densiflorus,-48.138379,-21.759646
Asparagus densiflorus,-51.370278,-23.328056
Asparagus densiflorus,-38.966667,-12.266667
Asparagus densiflorus,-37.178017,-10.443103
Asparagus densiflorus,-43.186667,-22.514444
Asparagus densiflorus,-36.855833,-10.737778
Asparagus densiflorus,-36.855833,-10.737778
Asparagus densiflorus,-49.196805,-25.639862
Asparagus densiflorus,-49.118083,-25.383917
Asparagus densiflorus,-37.344167,-5.191944
Asparagus densiflorus,-37.344167,-5.1875
Asparagus densiflorus,-37.344167,-5.1875
Asparagus densiflorus,-37.344167,-5.1875
Asparagus densiflorus,-37.344167,-5.1875
Asparagus densiflorus,-37.344167,-5.1875
Asparagus densiflorus,-37.344167,-5.1875
