scientific_name,decimalLongitude,decimalLatitude
Asparagus setaceus,-48.410247,-22.961562
Asparagus setaceus,-51.855903,-29.066272
Asparagus setaceus,-53.786207,-29.779024
Asparagus setaceus,-49.225728,-25.421369
Asparagus setaceus,-52.418387,-31.800044
Asparagus setaceus,-52.420038,-31.800182
Asparagus setaceus,-49.237031,-25.4481
Asparagus setaceus,-46.635819,-23.564708
Asparagus setaceus,-46.638464,-23.459111
Asparagus setaceus,-46.638778,-23.456291
Asparagus setaceus,-46.628551,-23.574686
Asparagus setaceus,-47.85751,-21.162334
Asparagus setaceus,-50.869009,-29.733078
Asparagus setaceus,-37.245311,-8.587178
Asparagus setaceus,-38.928056,-12.233333
Asparagus setaceus,-51.094367,-29.95193
Asparagus setaceus,-46.882466,-23.585662
Asparagus setaceus,-46.882466,-23.585662
Asparagus setaceus,-47.527024,-22.244114
Asparagus setaceus,-47.109638,-22.949942
Asparagus setaceus,-51.996668,-29.458287
Asparagus setaceus,-53.689334,-29.606465
Asparagus setaceus,-52.257629,-31.764296
Asparagus setaceus,-49.307871,-28.869076
Asparagus setaceus,-51.05986,-29.983434
Asparagus setaceus,-36.490548,-8.893297
Asparagus setaceus,-52.420657,-31.800932
Asparagus setaceus,-52.265257,-31.766952
Asparagus setaceus,-43.383369,-21.764808
Asparagus setaceus,-47.826325,-21.128569
Asparagus setaceus,-38.966667,-12.266667
Asparagus setaceus,-48.684937,-28.153164
Asparagus setaceus,-48.670322,-28.139402
Asparagus setaceus,-48.440127,-25.642387
Asparagus setaceus,-48.663422,-28.12435
Asparagus setaceus,-51.467873,-25.386037
Asparagus setaceus,-51.978329,-31.366114
Asparagus setaceus,-53.884826,-23.869098
Asparagus setaceus,-51.471495,-25.391915
Asparagus setaceus,-51.220833,-30.107222
Asparagus setaceus,-49.062658,-26.915249
Asparagus setaceus,-52.338588,-31.760489
Asparagus setaceus,-51.143478,-29.764691
Asparagus setaceus,-49.288861,-25.418969
Asparagus setaceus,-53.502396,-26.351454
Asparagus setaceus,-50.517922,-29.82734
Asparagus setaceus,-51.16874,-30.187057
Asparagus setaceus,-52.22781,-31.744869
Asparagus setaceus,-51.131124,-23.319532
Asparagus setaceus,-52.920819,-30.01868
Asparagus setaceus,-52.920819,-30.01868
Asparagus setaceus,-50.790086,-22.809241
Asparagus setaceus,-50.790091,-22.809239
Asparagus setaceus,-54.268621,-28.29585
Asparagus setaceus,-51.512131,-31.059833
Asparagus setaceus,-49.516944,-27.063611
Asparagus setaceus,-49.516944,-27.063611
Asparagus setaceus,-51.958732,-23.43382
Asparagus setaceus,-51.923418,-31.884708
Asparagus setaceus,-48.459336,-27.572683
Asparagus setaceus,-48.854879,-27.241726
Asparagus setaceus,-51.177659,-30.052371
Asparagus setaceus,-52.418239,-31.80035
Asparagus setaceus,-49.227668,-28.826606
Asparagus setaceus,-49.227862,-28.826559
Asparagus setaceus,-51.223912,-30.045123
Asparagus setaceus,-53.093295,-28.629088
Asparagus setaceus,-48.517988,-27.733741
Asparagus setaceus,-51.052248,-30.048719
Asparagus setaceus,-48.861369,-25.389319
Asparagus setaceus,-48.858135,-27.272493
Asparagus setaceus,-51.314448,-29.388113
Asparagus setaceus,-51.160163,-29.617966
Asparagus setaceus,-43.581873,-22.928975
Asparagus setaceus,-52.166952,-32.101167
Asparagus setaceus,-51.191262,-30.009289
Asparagus setaceus,-49.246265,-26.437249
Asparagus setaceus,-49.288997,-25.411828
Asparagus setaceus,-51.041228,-29.881641
Asparagus setaceus,-51.152392,-29.912842
Asparagus setaceus,-52.420262,-31.800537
Asparagus setaceus,-49.287689,-25.529079
Asparagus setaceus,-49.30004,-25.428495
Asparagus setaceus,-51.410244,-26.906016
Asparagus setaceus,-49.161741,-25.512545
Asparagus setaceus,-51.984736,-31.369433
Asparagus setaceus,-51.984736,-31.369433
Asparagus setaceus,-49.238998,-25.356294
Asparagus setaceus,-51.004722,-30.336667
Asparagus setaceus,-48.508113,-27.739388
Asparagus setaceus,-51.104625,-29.754055
Asparagus setaceus,-50.971979,-30.093121
Asparagus setaceus,-51.18342,-30.027259
Asparagus setaceus,-49.328692,-25.403848
Asparagus setaceus,-49.260748,-25.354063
Asparagus setaceus,-51.171524,-29.948801
Asparagus setaceus,-50.861283,-30.165763
Asparagus setaceus,-49.115888,-26.491263
Asparagus setaceus,-50.972268,-30.093515
Asparagus setaceus,-51.140289,-30.175844
Asparagus setaceus,-51.05257,-30.165853
Asparagus setaceus,-51.018333,-30.065556
Asparagus setaceus,-54.325982,-30.338988
Asparagus setaceus,-51.998119,-29.458725
Asparagus setaceus,-51.320961,-30.113098
Asparagus setaceus,-52.675735,-31.392915
Asparagus setaceus,-50.930142,-30.157814
Asparagus setaceus,-52.508798,-31.590234
Asparagus setaceus,-50.209924,-25.062713
Asparagus setaceus,-51.020403,-30.339464
Asparagus setaceus,-54.535264,-25.565014
Asparagus setaceus,-39.057685,-16.403249
Asparagus setaceus,-53.593699,-28.650535
Asparagus setaceus,-49.990411,-24.809125
Asparagus setaceus,-51.202788,-30.102537
Asparagus setaceus,-49.492398,-25.87517
Asparagus setaceus,-49.238482,-25.470746
Asparagus setaceus,-51.282041,-23.280639999999998
Asparagus setaceus,-51.091196,-29.950588
Asparagus setaceus,-50.829957,-30.123982
Asparagus setaceus,-50.134013,-29.850823
Asparagus setaceus,-51.996389,-29.457778
Asparagus setaceus,-51.222141,-30.093738
Asparagus setaceus,-49.166374,-25.498966
Asparagus setaceus,-50.254215,-29.890313
Asparagus setaceus,-51.109534,-29.674113
Asparagus setaceus,-51.130614,-23.321657
Asparagus setaceus,-54.321667,-30.340278
Asparagus setaceus,-51.314384,-30.105654
Asparagus setaceus,-51.17976,-30.174607
Asparagus setaceus,-51.207404,-30.035224
Asparagus setaceus,-52.383103,-28.230723
Asparagus setaceus,-54.405267,-25.43252
Asparagus setaceus,-53.614364,-28.623867
Asparagus setaceus,-52.058604,-29.451369
Asparagus setaceus,-52.250633,-32.038377
Asparagus setaceus,-46.732143,-23.565559
Asparagus setaceus,-35.715,-6.970833
Asparagus setaceus,-52.250633,-32.038377
Asparagus setaceus,-51.168355,-29.914005
Asparagus setaceus,-49.380556,-26.250833
Asparagus setaceus,-49.380556,-26.250833
Asparagus setaceus,-49.380556,-26.250833
Asparagus setaceus,-49.380556,-26.250833
Asparagus setaceus,-51.137989,-30.072417
Asparagus setaceus,-52.322498,-31.727222
Asparagus setaceus,-51.122222,-30.190278
Asparagus setaceus,-49.238889,-25.442222
Asparagus setaceus,-49.238889,-25.442222
Asparagus setaceus,-52.256006,-32.041916
Asparagus setaceus,-47.8775,-15.947222
Asparagus setaceus,-47.878333,-15.947778
Asparagus setaceus,-47.8775,-15.947222
Asparagus setaceus,-47.8775,-15.947222
Asparagus setaceus,-47.8775,-15.947222
Asparagus setaceus,-52.256006,-32.041916
Asparagus setaceus,-49.3259,-25.4008
Asparagus setaceus,-52.656944,-29.859444
Asparagus setaceus,-50.185278,-29.869722
Asparagus setaceus,-50.185278,-29.869722
Asparagus setaceus,-50.185278,-29.869722
Asparagus setaceus,-50.185278,-29.869722
Asparagus setaceus,-50.185139,-29.869775
Asparagus setaceus,-40.599316,-19.93577
Asparagus setaceus,-52.421111,-28.276389000000002
Asparagus setaceus,-48.665278,-28.023056
Asparagus setaceus,-48.665278,-28.023056
Asparagus setaceus,-48.680833,-28.104722
Asparagus setaceus,-48.680833,-28.104722
Asparagus setaceus,-49.2285,-25.4059
Asparagus setaceus,-43.691412,-20.523639
Asparagus setaceus,-43.302778000000004,-20.230833
Asparagus setaceus,-49.503333,-27.000278
Asparagus setaceus,-49.503333,-27.000278
Asparagus setaceus,-49.229917,-25.388806
Asparagus setaceus,-47.8,-21.166667
Asparagus setaceus,-52.196111,-31.723611
Asparagus setaceus,-53.052917,-24.504556
Asparagus setaceus,-53.052917,-24.504556
Asparagus setaceus,-53.052917,-24.504556
Asparagus setaceus,-53.052917,-24.504556
Asparagus setaceus,-51.0175,-30.068611
Asparagus setaceus,-49.118083,-25.383917
Asparagus setaceus,-47.533333,-22.383333
Asparagus setaceus,-51.237222,-30.019139
Asparagus setaceus,-49.071944,-26.921389
Asparagus setaceus,-49.071944,-26.921389
Asparagus setaceus,-46.716667,-23.55
Asparagus setaceus,-49.472778,-28.748056
Asparagus setaceus,-49.472778,-28.748055
Asparagus setaceus,-51.1476568,-29.764527
Asparagus setaceus,-51.146944,-29.760556
Asparagus setaceus,-43.256944,-22.918611
Asparagus setaceus,-49.37,-28.678056
Asparagus setaceus,-49.37,-28.678056
Asparagus setaceus,-52.448611,-31.7675
Asparagus setaceus,-52.448611,-31.7675
Asparagus setaceus,-47.0608,-22.9056
Asparagus setaceus,-48.066389,-15.813611
Asparagus setaceus,-39.1,-12.666667
Asparagus setaceus,-46.932778,-22.836944
Asparagus setaceus,-47.0608,-22.9056
Asparagus setaceus,-51.183611,-29.918056
Asparagus setaceus,-51.146944,-29.760556
Asparagus setaceus,-43.474209,-22.92708
