Species,decimalLongitude,decimalLatitude
Astronotus crassipinnis,-48.444658,-22.887323
Astronotus crassipinnis,-56.93831,-17.122822
Astronotus crassipinnis,-53.000094,-22.483217
Astronotus crassipinnis,-53.000094,-22.483217
Astronotus crassipinnis,-53.003956,-22.527081
Astronotus crassipinnis,-53.552778000000004,-22.826111
Astronotus crassipinnis,-53.290556,-22.723056
Astronotus crassipinnis,-52.194833,-21.850278
Astronotus crassipinnis,-51.631611,-22.660278
Astronotus crassipinnis,-55.216667,-19.75
Astronotus crassipinnis,-55.628611,-19.507778
Astronotus crassipinnis,-59.928333,-3.156111
Astronotus crassipinnis,-53.316667,-22.716666
Astronotus crassipinnis,-54.357778,-24.827778
Astronotus crassipinnis,-65.027789,-11.995644
Astronotus crassipinnis,-56.598048,-20.098477
Astronotus crassipinnis,-56.2351,-19.956454
Astronotus crassipinnis,-54.351472,-24.808611
Astronotus crassipinnis,-52.158289,-22.593475
Astronotus crassipinnis,-52.158289,-22.593475
Astronotus crassipinnis,-39.917056,-14.462278
Astronotus crassipinnis,-39.624389,-14.276889
Astronotus crassipinnis,-39.624389,-14.276889
Astronotus crassipinnis,-39.624389,-14.276889
Astronotus crassipinnis,-60.022944,-3.235694
Astronotus crassipinnis,-55.596944,-1.945278
Astronotus crassipinnis,-53.290556,-22.723056
Astronotus crassipinnis,-57.035833,-19.605833
Astronotus crassipinnis,-57.035833,-19.605833
Astronotus crassipinnis,-57.035833,-19.605833
Astronotus crassipinnis,-57.035833,-19.605833
Astronotus crassipinnis,-56.742429,-17.327795
Astronotus crassipinnis,-54.89069,-2.063642
Astronotus crassipinnis,-54.58187,-2.051205
Astronotus crassipinnis,-54.58929,-2.420537
Astronotus crassipinnis,-48.00351,-2.11228
Astronotus crassipinnis,-57.037542,-19.575151
Astronotus crassipinnis,-59.477389,-2.743917
Astronotus crassipinnis,-65.268056,-10.866389
Astronotus crassipinnis,-53.355278,-24.955833
Astronotus crassipinnis,-39.164194,-14.799139
Astronotus crassipinnis,-48.659167,-25.319167
Astronotus crassipinnis,-63.623889,-8.541944
Astronotus crassipinnis,-64.622222,-9.191944
Astronotus crassipinnis,-65.011389,-11.896111
Astronotus crassipinnis,-53.290278,-22.723056
Astronotus crassipinnis,-60.203139,-3.334889
Astronotus crassipinnis,-53.69,-22.05
Astronotus crassipinnis,-57.018972,-19.576306
Astronotus crassipinnis,-57.018972,-19.576306
Astronotus crassipinnis,-53.275833,-22.710278
Astronotus crassipinnis,-56.773056,-2.230833
Astronotus crassipinnis,-56.228083,-16.543417
Astronotus crassipinnis,-54.55,-25.433333
Astronotus crassipinnis,-63.152222,-4.080833
Astronotus crassipinnis,-53.271192,-22.294953
Astronotus crassipinnis,-56.715138,-16.595868
Astronotus crassipinnis,-57.040778,-19.512417
Astronotus crassipinnis,-57.040778,-19.512417
Astronotus crassipinnis,-53.35,-22.79
Astronotus crassipinnis,-53.35,-22.79
Astronotus crassipinnis,-53.35,-22.79
Astronotus crassipinnis,-53.35,-22.79
Astronotus crassipinnis,-53.35,-22.79
Astronotus crassipinnis,-53.35,-22.79
Astronotus crassipinnis,-54.25,-24.833333
Astronotus crassipinnis,-53.348333,-22.763056
Astronotus crassipinnis,-53.413889,-15.581667
Astronotus crassipinnis,-64.576111,-11.491389
Astronotus crassipinnis,-54.333333,-24.416667
Astronotus crassipinnis,-66.154722,-2.473889
Astronotus crassipinnis,-69.338611,-3.958889
Astronotus crassipinnis,-57.0145,-19.575639
Astronotus crassipinnis,-57.0145,-19.575639
Astronotus crassipinnis,-59.912222,-3.159444
Astronotus crassipinnis,-42.888056,-10.706667
Astronotus crassipinnis,-54.25,-24.05
Astronotus crassipinnis,-53.283333,-22.766667
Astronotus crassipinnis,-56.858056,-16.747222
Astronotus crassipinnis,-56.858056,-16.747222
Astronotus crassipinnis,-64.991386,-3.780278
Astronotus crassipinnis,-64.983333,-3.683333
Astronotus crassipinnis,-52.933333,-24.716667
Astronotus crassipinnis,-54.733334,-1.933333
Astronotus crassipinnis,-50.583333,-13.233333
Astronotus crassipinnis,-50.583333,-13.233333
Astronotus crassipinnis,-57.331944,-19.412778
Astronotus crassipinnis,-57.700001,-16.049999
Astronotus crassipinnis,-57.033333,-19.25
Astronotus crassipinnis,-50.066666,-29.5
Astronotus crassipinnis,-56.622778,-16.256944
Astronotus crassipinnis,-56.622778,-16.256944
Astronotus crassipinnis,-56.616667,-16.233333
Astronotus crassipinnis,-56.366667,-20.233333
Astronotus crassipinnis,-55.95,-16.183333
Astronotus crassipinnis,-54.733333,-2.433333
Astronotus crassipinnis,-49.133333,-0.683333
Astronotus crassipinnis,-57.1,-19.733333
Astronotus crassipinnis,-54.591667,-25.555833
Astronotus crassipinnis,-53.266667,-22.75
Astronotus crassipinnis,-55.833056,-16.325
Astronotus crassipinnis,-54.70434,-2.41757
