Species,decimalLongitude,decimalLatitude
Astyanax lacustris,-48.633618,-27.240063
Astyanax lacustris,-53.520013,-25.762403
Astyanax lacustris,-50.120116,-26.737309
Astyanax lacustris,-56.81068,-29.470087
Astyanax lacustris,-41.243278,-21.975192
Astyanax lacustris,-53.388333,-26.892222
Astyanax lacustris,-47.99247,-22.853859
Astyanax lacustris,-41.513944,-20.365472
Astyanax lacustris,-41.472778,-20.466944
Astyanax lacustris,-51.181845,-23.321652
Astyanax lacustris,-51.466495,-25.443925
Astyanax lacustris,-48.665472,-27.023239
Astyanax lacustris,-39.777806,-18.731056
Astyanax lacustris,-52.748889,-25.988611
Astyanax lacustris,-53.865556,-24.110278
Astyanax lacustris,-51.86385,-27.282902
Astyanax lacustris,-52.637479,-23.296476
Astyanax lacustris,-41.285093,-21.826522
Astyanax lacustris,-50.06813,-27.201068
Astyanax lacustris,-40.585028,-20.081389
Astyanax lacustris,-52.674366,-24.495722
Astyanax lacustris,-53.415111,-26.483047
Astyanax lacustris,-48.7125,-27.458333
Astyanax lacustris,-51.802222,-26.861944
Astyanax lacustris,-50.77047,-22.484301
Astyanax lacustris,-50.76675,-22.506005
Astyanax lacustris,-50.767615,-22.506168
Astyanax lacustris,-50.444407,-21.682009
Astyanax lacustris,-50.42555,-21.700213
Astyanax lacustris,-50.77738,-22.40642
Astyanax lacustris,-53.251944,-22.761111
Astyanax lacustris,-48.382844,-20.535859
Astyanax lacustris,-41.015833,-20.760556
Astyanax lacustris,-40.333056,-20.398611
Astyanax lacustris,-40.325278,-20.399167
Astyanax lacustris,-40.716944,-19.681667
Astyanax lacustris,-40.766111,-19.689167
Astyanax lacustris,-40.767778,-19.699167
Astyanax lacustris,-56.550245,-21.26035
Astyanax lacustris,-40.208056,-20.060556
Astyanax lacustris,-40.205,-20.073611
Astyanax lacustris,-40.203889,-20.081389
Astyanax lacustris,-53.600278,-22.856667
Astyanax lacustris,-54.549444,-25.446944
Astyanax lacustris,-56.615068,-20.085995
Astyanax lacustris,-41.017556,-20.870361
Astyanax lacustris,-41.038389,-20.867111
Astyanax lacustris,-41.082139,-20.858694
Astyanax lacustris,-51.459169,-22.574221
Astyanax lacustris,-54.02883,-24.420147
Astyanax lacustris,-41.479778,-20.455167
Astyanax lacustris,-41.489111,-20.456583
Astyanax lacustris,-53.448828,-21.528747
Astyanax lacustris,-48.490835,-21.287594
Astyanax lacustris,-48.168843,-21.217897
Astyanax lacustris,-48.712704,-23.342618
Astyanax lacustris,-40.752667,-19.678944
Astyanax lacustris,-40.767889,-19.699111
Astyanax lacustris,-40.767889,-19.699111
Astyanax lacustris,-40.716861,-19.681583
Astyanax lacustris,-40.325278,-20.399222
Astyanax lacustris,-40.321139,-20.40225
Astyanax lacustris,-51.393661,-26.465081
Astyanax lacustris,-51.393661,-26.465081
Astyanax lacustris,-41.017556,-20.870361
Astyanax lacustris,-41.038389,-20.867111
Astyanax lacustris,-41.517,-20.40325
Astyanax lacustris,-55.105256,-22.254411
Astyanax lacustris,-55.140497,-22.259875
Astyanax lacustris,-55.1127,-22.275014
Astyanax lacustris,-55.978278,-18.123778
Astyanax lacustris,-55.939417,-17.994194
Astyanax lacustris,-55.923833,-17.959528
Astyanax lacustris,-55.902275,-18.028178
Astyanax lacustris,-55.881083,-18.003667
Astyanax lacustris,-56.006306,-18.041472
Astyanax lacustris,-57.053611,-19.433611
Astyanax lacustris,-53.257248,-22.765556
Astyanax lacustris,-56.807861,-29.46648
Astyanax lacustris,-56.81057,-29.469942
Astyanax lacustris,-49.293291,-20.930129
Astyanax lacustris,-45.437222,-23.725556
Astyanax lacustris,-55.955278,-20.159167
Astyanax lacustris,-47.126944,-17.778333
Astyanax lacustris,-57.65038,-16.08507
Astyanax lacustris,-52.294867000000004,-23.916375
Astyanax lacustris,-57.053028,-19.433667
Astyanax lacustris,-57.053028,-19.433667
Astyanax lacustris,-57.053028,-19.433667
Astyanax lacustris,-57.018333,-19.577222
Astyanax lacustris,-57.018333,-19.577222
Astyanax lacustris,-57.018333,-19.577222
Astyanax lacustris,-57.018333,-19.577222
Astyanax lacustris,-57.018333,-19.577222
Astyanax lacustris,-57.018333,-19.577222
Astyanax lacustris,-50.2643,-21.802147
Astyanax lacustris,-50.15146,-21.789259
Astyanax lacustris,-50.172487,-21.695426
Astyanax lacustris,-47.20693,-21.326618
Astyanax lacustris,-50.557222,-22.504444
Astyanax lacustris,-51.456372,-23.357206
Astyanax lacustris,-51.456372,-23.357206
Astyanax lacustris,-51.456372,-23.357206
Astyanax lacustris,-51.456372,-23.357206
Astyanax lacustris,-51.424383,-23.486136
Astyanax lacustris,-51.424383,-23.486136
Astyanax lacustris,-51.424383,-23.486136
Astyanax lacustris,-51.424383,-23.486136
Astyanax lacustris,-48.352727,-21.397804
Astyanax lacustris,-54.061869,-25.142581
Astyanax lacustris,-54.183744,-25.255014
Astyanax lacustris,-54.098314,-25.1304
Astyanax lacustris,-46.837222,-21.571944
Astyanax lacustris,-46.837222,-21.571944
Astyanax lacustris,-46.837222,-21.571944
Astyanax lacustris,-46.837222,-21.571944
Astyanax lacustris,-46.837222,-21.571944
Astyanax lacustris,-46.837222,-21.571944
Astyanax lacustris,-51.420378,-23.313589
Astyanax lacustris,-51.420378,-23.313589
Astyanax lacustris,-51.420378,-23.313589
Astyanax lacustris,-51.424383,-23.319469
Astyanax lacustris,-51.424383,-23.319469
Astyanax lacustris,-51.424383,-23.319469
Astyanax lacustris,-51.456372,-23.357206
Astyanax lacustris,-51.456372,-23.357206
Astyanax lacustris,-51.456372,-23.357206
Astyanax lacustris,-56.810776,-29.470034
Astyanax lacustris,-50.15146,-21.789259
Astyanax lacustris,-50.061331,-21.704339
Astyanax lacustris,-51.706111,-19.114167
Astyanax lacustris,-49.027715,-21.082967
Astyanax lacustris,-49.024618,-21.095237
Astyanax lacustris,-47.4982694,-21.65326
Astyanax lacustris,-49.9306689,-22.9141315
Astyanax lacustris,-49.9306689,-22.9141315
Astyanax lacustris,-53.271727,-19.978366
Astyanax lacustris,-53.271727,-19.978366
Astyanax lacustris,-54.897475,-22.256519
Astyanax lacustris,-54.863153,-22.237194
Astyanax lacustris,-54.865728,-22.280494
Astyanax lacustris,-56.388333,-20.263056
Astyanax lacustris,-55.826182,-20.460187
Astyanax lacustris,-49.601028,-29.145194
Astyanax lacustris,-44.430673,-18.752956
Astyanax lacustris,-55.939417,-17.994194
Astyanax lacustris,-55.902275,-18.028178
Astyanax lacustris,-56.006306,-18.041472
Astyanax lacustris,-56.040639,-18.061611
