scientific_name,decimalLongitude,decimalLatitude
Asystasia gangetica,-41.024669,-21.688912
Asystasia gangetica,-41.024636,-21.688897
Asystasia gangetica,-41.024718,-21.688942
Asystasia gangetica,-41.024719,-21.68894
Asystasia gangetica,-34.950179,-8.014084
Asystasia gangetica,-47.85875,-15.729527
Asystasia gangetica,-44.226483,-2.650947
Asystasia gangetica,-44.54715,-14.178948
Asystasia gangetica,-41.286111,-21.761389
Asystasia gangetica,-57.71603,-3.383437
Asystasia gangetica,-35.715781,-6.967578
Asystasia gangetica,-39.286203,-6.36913
Asystasia gangetica,-38.9525,-12.268333
Asystasia gangetica,-70.351132,-8.166298
Asystasia gangetica,-49.289378,-16.621905
Asystasia gangetica,-46.723192,-23.633022
Asystasia gangetica,-47.476575,-4.945439
Asystasia gangetica,-43.131378,-4.885913
Asystasia gangetica,-38.634106,-3.985645
Asystasia gangetica,-38.634106,-3.985645
Asystasia gangetica,-38.634106,-3.985645
Asystasia gangetica,-39.494052,-6.532164
Asystasia gangetica,-42.0685,-21.649387
Asystasia gangetica,-40.071863,-19.150802
Asystasia gangetica,-67.749923,-10.125236
Asystasia gangetica,-40.070982,-19.150897
Asystasia gangetica,-40.135589,-6.655988
Asystasia gangetica,-44.455574,-3.342184
Asystasia gangetica,-40.070801,-19.150785
Asystasia gangetica,-40.406525,-2.853897
Asystasia gangetica,-44.291744,-3.069019
Asystasia gangetica,-38.643294,-3.825793
Asystasia gangetica,-60.692626,2.832681
Asystasia gangetica,-67.743242,-9.950192
Asystasia gangetica,-51.842454,-21.873561
Asystasia gangetica,-51.842454,-21.873561
Asystasia gangetica,-46.664951,-23.593443
Asystasia gangetica,-40.071494,-19.151226
Asystasia gangetica,-41.280279,-21.7551
Asystasia gangetica,-41.280279,-21.7551
Asystasia gangetica,-35.640947,-5.120482
Asystasia gangetica,-38.780015,-3.588943
Asystasia gangetica,-42.87033,-20.759047
Asystasia gangetica,-40.071344,-19.151103
Asystasia gangetica,-40.272361,-20.253789
Asystasia gangetica,-38.633333,-3.983333
Asystasia gangetica,-44.226642,-2.65122
Asystasia gangetica,-44.777028,-3.456596
Asystasia gangetica,-49.08685,-22.274852
Asystasia gangetica,-43.224512,-22.97077
Asystasia gangetica,-43.244398,-22.880236
Asystasia gangetica,-40.067271,-19.202108
Asystasia gangetica,-49.323987,-16.720258
Asystasia gangetica,-67.835013,-9.981486
Asystasia gangetica,-36.22601,-9.129516
Asystasia gangetica,-35.165012,-7.923776
Asystasia gangetica,-46.531875,-22.97713
Asystasia gangetica,-35.208309,-5.744627
Asystasia gangetica,-43.340682,-4.883355
Asystasia gangetica,-48.753576,-17.772255
Asystasia gangetica,-48.885521,-15.840058
Asystasia gangetica,-46.666709,-23.602270999999998
Asystasia gangetica,-51.386741,-20.915563
Asystasia gangetica,-43.409109,-22.789821
Asystasia gangetica,-46.723126,-23.632947
Asystasia gangetica,-43.054985,-22.828654
Asystasia gangetica,-46.415521,-23.917402
Asystasia gangetica,-47.418108,-22.739582
Asystasia gangetica,-47.022368,-22.823168
Asystasia gangetica,-47.056647,-22.632737
Asystasia gangetica,-43.349850000000004,-22.988012
Asystasia gangetica,-48.917425,-23.091653
Asystasia gangetica,-48.917552,-23.091671
Asystasia gangetica,-47.313786,-22.779321
Asystasia gangetica,-46.900711,-23.172752
Asystasia gangetica,-47.429528,-22.754332
Asystasia gangetica,-46.844409,-23.027366
Asystasia gangetica,-57.242517,0.267385
Asystasia gangetica,-47.314743,-22.777984
Asystasia gangetica,-47.314011,-22.779009
Asystasia gangetica,-43.482998,-22.989935
Asystasia gangetica,-49.133365,-22.412045
Asystasia gangetica,-43.989757,-19.921726
Asystasia gangetica,-49.428405,-16.639029
Asystasia gangetica,-48.876166,-18.250642
Asystasia gangetica,-59.424917,-1.935605
Asystasia gangetica,-70.351108,-8.166178
Asystasia gangetica,-43.224631,-22.970842
Asystasia gangetica,-43.467998,-23.00964
Asystasia gangetica,-40.526678,-19.085318
Asystasia gangetica,-49.940073,-22.224825
Asystasia gangetica,-49.100746,-16.760718
Asystasia gangetica,-43.563126,-22.717814
