Species,decimalLongitude,decimalLatitude
Azadirachta indica,-49.23568,-16.705855
Azadirachta indica,-37.73143,-7.90413
Azadirachta indica,-40.702778,-13.402222
Azadirachta indica,-34.944553,-8.017711
Azadirachta indica,-34.94458,-8.017711
Azadirachta indica,-47.297876,-5.445362
Azadirachta indica,-37.061278,-10.936472
Azadirachta indica,-42.673409,-5.362157
Azadirachta indica,-35.003999,-8.509648
Azadirachta indica,-42.84,-14.04
Azadirachta indica,-39.294375,-6.392379
Azadirachta indica,-39.286087,-6.369167
Azadirachta indica,-38.470474,-3.83105
Azadirachta indica,-39.228104,-6.46583
Azadirachta indica,-37.855912,-7.93508
Azadirachta indica,-37.322105,-5.205155
Azadirachta indica,-42.659722,-12.419722
Azadirachta indica,-40.880402,-2.874593
Azadirachta indica,-35.234828,-5.828832
Azadirachta indica,-44.210417,-2.574139
Azadirachta indica,-51.169481,-0.04309
Azadirachta indica,-40.07001,-13.8734
Azadirachta indica,-38.857152,-7.050573
Azadirachta indica,-38.966667,-12.966667
Azadirachta indica,-49.20022,-16.616195
Azadirachta indica,-39.50915,-7.522439
Azadirachta indica,-39.952755,-4.0805
Azadirachta indica,-35.726037,-9.609068
Azadirachta indica,-36.3,-9.54
Azadirachta indica,-38.433333,-12.783333
Azadirachta indica,-56.071389,-15.6735
Azadirachta indica,-42.758435,-5.098129
Azadirachta indica,-37.327637,-5.203522
Azadirachta indica,-39.302615,-6.377651
Azadirachta indica,-38.552472,-3.786722
Azadirachta indica,-37.326102,-5.202426
Azadirachta indica,-37.324386,-5.204655
Azadirachta indica,-42.867222,-6.255556
Azadirachta indica,-37.327422,-5.20343
Azadirachta indica,-50.37027,-16.521042
Azadirachta indica,-39.311389,-7.237222
Azadirachta indica,-44.798781,-16.207993
Azadirachta indica,-37.049625,-10.934624
Azadirachta indica,-40.093364,-19.193553
Azadirachta indica,-41.535278,-7.522222
Azadirachta indica,-41.535278,-7.522222
Azadirachta indica,-37.328007,-5.202791
Azadirachta indica,-37.70364,-4.526051
Azadirachta indica,-36.226906,-10.032183
Azadirachta indica,-39.415,-7.238889
Azadirachta indica,-38.365005,-10.026058
Azadirachta indica,-35.227778,-7.51
Azadirachta indica,-35.227778,-7.51
Azadirachta indica,-37.320205,-5.206776
Azadirachta indica,-54.738923,-16.647367
Azadirachta indica,-39.965387,-19.076205
Azadirachta indica,-49.419167,-17.258889
Azadirachta indica,-41.043055,-6.907778
Azadirachta indica,-49.419167,-17.258889
Azadirachta indica,-40.368889,-7.076944
Azadirachta indica,-39.30707,-6.359937
Azadirachta indica,-47.88797,-15.744552
Azadirachta indica,-38.959157,-6.681811
Azadirachta indica,-38.960173,-6.681994
Azadirachta indica,-54.723787,-2.418725
Azadirachta indica,-38.88817,-6.678421
Azadirachta indica,-40.665444,-7.238639
Azadirachta indica,-38.888124,-6.678433
Azadirachta indica,-38.888151,-6.678385
Azadirachta indica,-38.959226,-6.679911
Azadirachta indica,-52.574356,-23.680989
Azadirachta indica,-40.611556,-9.458806
Azadirachta indica,-56.419444,-15.658056
Azadirachta indica,-40.192835,-10.446786
Azadirachta indica,-36.566656,-9.531614
Azadirachta indica,-47.077171,-22.87025
Azadirachta indica,-35.206944,-5.840278
Azadirachta indica,-35.206944,-5.840278
Azadirachta indica,-50.389722,-23.774167
Azadirachta indica,-49.255,-16.68
Azadirachta indica,-38.387627,-12.951052
Azadirachta indica,-42.785427,-5.087648
Azadirachta indica,-39.338667,-7.372111
Azadirachta indica,-40.424222,-9.357166
Azadirachta indica,-38.792778,-7.535278
Azadirachta indica,-38.792693,-7.535203
Azadirachta indica,-48.542778,-10.2575
Azadirachta indica,-43.072222,-8.151944
Azadirachta indica,-59.981622,-3.081115
Azadirachta indica,-35.36,-7.843056
Azadirachta indica,-48.926183,-16.324042
Azadirachta indica,-45.0475,-23.1
Azadirachta indica,-42,-4.927222
Azadirachta indica,-34.949167,-8.0175
Azadirachta indica,-44.941917,-2.485417
Azadirachta indica,-51.95,-23.416667
Azadirachta indica,-38.752222,-3.621667
Azadirachta indica,-38.752222,-3.621667
Azadirachta indica,-51.939444,-23.404167
Azadirachta indica,-39.427056,-7.241056
Azadirachta indica,-44.5725,-8.275
Azadirachta indica,-36.7396,-9.6701
Azadirachta indica,-40.988333,-5.193611
Azadirachta indica,-40.988222,-5.193722
Azadirachta indica,-37.98001,-7.020015
Azadirachta indica,-42.844167,-6.395278
Azadirachta indica,-38.281556,-3.970528
Azadirachta indica,-43.133333,-11.816667
Azadirachta indica,-38.551667,-3.785833
Azadirachta indica,-45,-10.44
Azadirachta indica,-38.551717,-3.785844
Azadirachta indica,-43.133333,-11.816667
Azadirachta indica,-48.25,-2.701944
Azadirachta indica,-48.25,-2.701944
Azadirachta indica,-43.133333,-11.816667
Azadirachta indica,-50.670556,-20.233889
Azadirachta indica,-36.1,-8.833889
Azadirachta indica,-42.384444,-2.967222
Azadirachta indica,-43.199722,-12.24
