Species,decimalLongitude,decimalLatitude
Bambusa vulgaris,-51.695843000000004,-22.560315
Bambusa vulgaris,-40.121208,-18.988596
Bambusa vulgaris,-47.856494,-15.672611
Bambusa vulgaris,-49.27366,-16.680272
Bambusa vulgaris,-58.434993,-3.127817
Bambusa vulgaris,-46.486106,-23.80882
Bambusa vulgaris,-46.572902,-23.527336
Bambusa vulgaris,-46.638778,-23.456291
Bambusa vulgaris,-37.162217,-8.412752
Bambusa vulgaris,-60.69492,2.83273
Bambusa vulgaris,-37.050489,-10.912837
Bambusa vulgaris,-43.225105,-22.968906
Bambusa vulgaris,-49.237015,-25.447643
Bambusa vulgaris,-44.174872,-23.132069
Bambusa vulgaris,-39.551111,-7.300833
Bambusa vulgaris,-38.433333,-12.783333
Bambusa vulgaris,-42.307483,-22.326527
Bambusa vulgaris,-47.856451,-15.672594
Bambusa vulgaris,-48.977688,-25.387633
Bambusa vulgaris,-38.948694,-4.245801
Bambusa vulgaris,-48.749167,-1.711389
Bambusa vulgaris,-44.186626,-23.127876
Bambusa vulgaris,-47.856467,-15.67267
Bambusa vulgaris,-43.438268,-22.586237
Bambusa vulgaris,-48.965878,-28.52395
Bambusa vulgaris,-48.408872,-22.962251
Bambusa vulgaris,-36.02521,-8.359165
Bambusa vulgaris,-44.170414,-23.151683
Bambusa vulgaris,-48.0226,-15.834794
Bambusa vulgaris,-48.023113,-15.834186
Bambusa vulgaris,-43.438268,-22.586237
Bambusa vulgaris,-59.988152,-3.09716
Bambusa vulgaris,-46.669665,-23.530583
Bambusa vulgaris,-51.21342,-30.03474
Bambusa vulgaris,-54.614399,-20.504929
Bambusa vulgaris,-54.576157,-20.454504
Bambusa vulgaris,-47.856117,-15.763265
Bambusa vulgaris,-67.824898,-9.975377
Bambusa vulgaris,-47.932488,-15.860167
Bambusa vulgaris,-54.44559,-25.681733
Bambusa vulgaris,-35.36,-5.888889
Bambusa vulgaris,-35.36,-5.888889
Bambusa vulgaris,-35.36,-5.888889
Bambusa vulgaris,-43.041944,-22.896389
Bambusa vulgaris,-47.938333,-15.945
Bambusa vulgaris,-39.045556,-15.299167
Bambusa vulgaris,-38.15,-12.15
Bambusa vulgaris,-38.15,-12.033333
Bambusa vulgaris,-39.5,-12.333333
Bambusa vulgaris,-48.542222,-27.685
Bambusa vulgaris,-40.602778,-19.924167
Bambusa vulgaris,-40.6,-19.936111
Bambusa vulgaris,-39.780278,-17.999444
Bambusa vulgaris,-43.039444,-22.923611
Bambusa vulgaris,-34.977103,-6.502464
Bambusa vulgaris,-46.3744,-23.3886
Bambusa vulgaris,-46.3749,-23.3879
Bambusa vulgaris,-34.977222,-6.5025
Bambusa vulgaris,-34.9772,-6.5025
Bambusa vulgaris,-34.977103,-6.502461
Bambusa vulgaris,-46.628472,-23.6405
Bambusa vulgaris,-47.550556,-15.43
Bambusa vulgaris,-47.550556,-15.43
Bambusa vulgaris,-47.918056,-15.716667
Bambusa vulgaris,-42.953889,-21.43
Bambusa vulgaris,-42.953889,-21.43
Bambusa vulgaris,-34.863056,-7.115
Bambusa vulgaris,-35.2325,-7.096389
Bambusa vulgaris,-46.658889,-13.149167
Bambusa vulgaris,-47.887778,-15.793889
Bambusa vulgaris,-52.554444,-17.566111
Bambusa vulgaris,-47.8,-21.166667
Bambusa vulgaris,-49.354722,-18.0125
Bambusa vulgaris,-49.283333,-18.333333
Bambusa vulgaris,-49.283333,-18.333333
Bambusa vulgaris,-47.077171,-22.870251
Bambusa vulgaris,-47.865556,-15.950556
Bambusa vulgaris,-44.209853,-21.122199
Bambusa vulgaris,-47.877778,-15.947222
Bambusa vulgaris,-43.98545,-18.6094
Bambusa vulgaris,-39.1,-12.666667
Bambusa vulgaris,-39.1,-12.666667
Bambusa vulgaris,-43.733889,-18.442778
Bambusa vulgaris,-49.066389,-26.92
Bambusa vulgaris,-49.066389,-26.92
Bambusa vulgaris,-47.0608,-22.9056
Bambusa vulgaris,-47.0608,-22.9056
Bambusa vulgaris,-47.6492,-22.7253
Bambusa vulgaris,-47.077171,-22.870251
Bambusa vulgaris,-47.0608,-22.9056
Bambusa vulgaris,-51.325,-30.1139
