Species,decimalLongitude,decimalLatitude
Begonia ulmifolia,-41.803056,-17.481111
Begonia ulmifolia,-41.803056,-17.481111
Begonia ulmifolia,-38.052867,-11.437864
Begonia ulmifolia,-37.628611,-10.863611
Begonia ulmifolia,-39.750833,-13.602222
Begonia ulmifolia,-39.750833,-13.602222
Begonia ulmifolia,-43.5,-20.33
Begonia ulmifolia,-40.69,-20.0975
Begonia ulmifolia,-40.689964,-20.0975
Begonia ulmifolia,-39.750833,-13.602222
Begonia ulmifolia,-39.750833,-13.602222
Begonia ulmifolia,-39.750833,-13.602222
Begonia ulmifolia,-39.750833,-13.602222
Begonia ulmifolia,-39.083611,-12.088056
Begonia ulmifolia,-39.083611,-12.254722
Begonia ulmifolia,-39.750833,-13.602222
Begonia ulmifolia,-39.750833,-13.602222
Begonia ulmifolia,-40.835556,-19.651389000000002
Begonia ulmifolia,-40.835556,-19.651389000000002
Begonia ulmifolia,-40.587778,-19.940556
Begonia ulmifolia,-40.587778,-19.940556
Begonia ulmifolia,-41.673611,-19.401389000000002
Begonia ulmifolia,-40.905556,-11.559167
Begonia ulmifolia,-40.905556,-11.559167
Begonia ulmifolia,-40.905556,-11.559167
Begonia ulmifolia,-39.044444,-12.038333
Begonia ulmifolia,-39.044444,-12.221667
Begonia ulmifolia,-38.234167,-11.051389
Begonia ulmifolia,-38.057222,-11.442778
Begonia ulmifolia,-38.234056,-11.051472
Begonia ulmifolia,-38.057278,-11.442639
Begonia ulmifolia,-43.38,-20.18
Begonia ulmifolia,-35.8625,-84.375
Begonia ulmifolia,-35.8625,-8.856389
Begonia ulmifolia,-35.8625,-8.706389
Begonia ulmifolia,-43.302778000000004,-20.230833
Begonia ulmifolia,-35.8625,-84.375
Begonia ulmifolia,-37.724722,-11.068889
Begonia ulmifolia,-37.724722,-11.068889
Begonia ulmifolia,-41.260944,-17.855972
Begonia ulmifolia,-41.260833,-17.856111
Begonia ulmifolia,-37.39,-10.550278
Begonia ulmifolia,-40.350278,-19.911667
Begonia ulmifolia,-37.65,-10.917222
Begonia ulmifolia,-39.083611,-12.089167
Begonia ulmifolia,-39.083611,-12.255833
Begonia ulmifolia,-40.488056,-11.338333
Begonia ulmifolia,-40.488056,-11.338333
Begonia ulmifolia,-49.239167,-25.440833
Begonia ulmifolia,-39.207778,-13.905278
Begonia ulmifolia,-49.239167,-25.440833
Begonia ulmifolia,-49.239167,-25.441111
Begonia ulmifolia,-39.207778,-13.905278
Begonia ulmifolia,-49.239167,-25.441111
Begonia ulmifolia,-40.571944,-20.084167
Begonia ulmifolia,-40.571944,-20.084167
Begonia ulmifolia,-40.497222,-11.162778
Begonia ulmifolia,-40.497222,-11.162778
Begonia ulmifolia,-41.341111,-17.171111
Begonia ulmifolia,-41.341111,-17.171111
Begonia ulmifolia,-42.148611,-20.983056
Begonia ulmifolia,-40.368889,-18.448056
Begonia ulmifolia,-40.368889,-18.448056
Begonia ulmifolia,-40.593333,-20.095833
Begonia ulmifolia,-40.595833,-20.085833
Begonia ulmifolia,-40.593222,-20.095833
Begonia ulmifolia,-40.595833,-20.085833
Begonia ulmifolia,-36,-8
Begonia ulmifolia,-40.481944,-20.3025
Begonia ulmifolia,-40.481944,-20.3025
Begonia ulmifolia,-40.481944,-20.3025
Begonia ulmifolia,-40.481944,-20.3025
Begonia ulmifolia,-40.481944,-20.3025
Begonia ulmifolia,-40.481944,-20.3025
Begonia ulmifolia,-40.481944,-20.3025
Begonia ulmifolia,-40.481944,-20.3025
Begonia ulmifolia,-40.478333,-20.278889
Begonia ulmifolia,-40.478333,-20.278889
Begonia ulmifolia,-40.478333,-20.278889
Begonia ulmifolia,-40.478333,-20.278889
Begonia ulmifolia,-40.479167,-20.272778
Begonia ulmifolia,-40.503889,-20.232778
Begonia ulmifolia,-40.479167,-20.272778
Begonia ulmifolia,-40.503889,-20.232778
Begonia ulmifolia,-40.495278,-20.035556
Begonia ulmifolia,-40.495278,-20.035556
Begonia ulmifolia,-40.558611,-19.343611
Begonia ulmifolia,-40.558611,-19.343611
Begonia ulmifolia,-36.061111,-7.076944
Begonia ulmifolia,-40.775278,-19.796944
Begonia ulmifolia,-40.775278,-19.796944
Begonia ulmifolia,-40.431667,-20.093889
Begonia ulmifolia,-40.506944,-19.936111
Begonia ulmifolia,-40.431667,-20.093889
Begonia ulmifolia,-40.506944,-19.936111
Begonia ulmifolia,-40.581667,-19.950278
Begonia ulmifolia,-40.536667,-12.545556
Begonia ulmifolia,-40.581667,-19.950278
Begonia ulmifolia,-40.536667,-12.412222
Begonia ulmifolia,-40.536667,-12.412222
Begonia ulmifolia,-42.524167,-18.947222
Begonia ulmifolia,-40.506944,-19.936111
Begonia ulmifolia,-40.506944,-19.936111
Begonia ulmifolia,-40.520278,-12.469722
Begonia ulmifolia,-40.520278,-12.519722
Begonia ulmifolia,-40.520278,-12.469722
Begonia ulmifolia,-41.733611,-17.731944
Begonia ulmifolia,-40.055333,-16.071389
Begonia ulmifolia,-43.203056,-22.441944
Begonia ulmifolia,-40.506944,-19.936111
Begonia ulmifolia,-40.5125,-19.971944
Begonia ulmifolia,-40.506944,-19.936111
Begonia ulmifolia,-40.5125,-19.971944
Begonia ulmifolia,-40.833333,-14.85
Begonia ulmifolia,-40.681389,-19.805556
Begonia ulmifolia,-40.681389,-19.805556
Begonia ulmifolia,-40.833333,-14.85
Begonia ulmifolia,-40.6,-19.936111
Begonia ulmifolia,-40.6,-19.936111
Begonia ulmifolia,-40.565278,-15.784444
Begonia ulmifolia,-40.565278,-19.784444
Begonia ulmifolia,-40.506944,-19.936667
Begonia ulmifolia,-40.506944,-19.936667
Begonia ulmifolia,-40.186389,-14.383056
Begonia ulmifolia,-40.186283,-14.38305
Begonia ulmifolia,-40.183333,-14.366667
Begonia ulmifolia,-40.587222,-19.941111
Begonia ulmifolia,-40.587222,-19.941111
Begonia ulmifolia,-40.466667,-11.265833
