scientific_name,decimalLongitude,decimalLatitude
Brachylaena discolor,-48.416978,-27.522797
Brachylaena discolor,-48.431389,-27.556944
Brachylaena discolor,-48.431389,-27.556944
Brachylaena discolor,-48.429937,-27.557394
Brachylaena discolor,-48.415556,-27.520556
Brachylaena discolor,-48.415556,-27.520556
Brachylaena discolor,-48.415556,-27.520556
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414167,-27.518056
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.416813,-27.522587
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.414167,-27.518056
Brachylaena discolor,-48.414167,-27.518056
Brachylaena discolor,-48.414167,-27.518056
Brachylaena discolor,-48.414167,-27.518056
Brachylaena discolor,-48.414167,-27.518056
Brachylaena discolor,-48.414167,-27.518056
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.414444,-27.518333
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.413889,-27.517778
Brachylaena discolor,-48.413889,-27.517778
