Species,decimalLongitude,decimalLatitude
Bradybaena similaris,-45.893206,-23.173256
Bradybaena similaris,-46.170943,-23.526527
Bradybaena similaris,-46.191203,-23.527808
Bradybaena similaris,-46.190662,-23.527707
Bradybaena similaris,-46.648887,-23.553867
Bradybaena similaris,-47.869904,-15.765156
Bradybaena similaris,-49.175008,-25.359718
Bradybaena similaris,-52.094667,-29.327794
Bradybaena similaris,-47.905774,-22.031527
Bradybaena similaris,-47.753918,-15.864533
Bradybaena similaris,-50.649968,-25.481384
Bradybaena similaris,-47.088959,-22.895582
Bradybaena similaris,-46.620576,-23.335308
Bradybaena similaris,-49.342669,-16.781777
Bradybaena similaris,-47.553772,-22.401127
Bradybaena similaris,-41.45577,-12.783492
Bradybaena similaris,-48.991064,-24.66225
Bradybaena similaris,-44.316723,-22.02336
Bradybaena similaris,-46.62054,-23.335185
Bradybaena similaris,-46.63,-23.34
Bradybaena similaris,-35.704586,-6.968644
Bradybaena similaris,-46.647373,-23.583679
Bradybaena similaris,-46.647373,-23.583679
Bradybaena similaris,-49.282431,-25.405436
Bradybaena similaris,-45.959622,-22.912142
Bradybaena similaris,-46.646867,-23.582702
Bradybaena similaris,-46.647331,-23.582516
Bradybaena similaris,-42.042302,-20.962874
Bradybaena similaris,-46.996912,-23.051228
Bradybaena similaris,-43.940114,-19.956176
Bradybaena similaris,-44.001176,-19.909336
Bradybaena similaris,-47.754759,-21.247806
Bradybaena similaris,-44.005391,-19.804428
Bradybaena similaris,-47.983265,-15.818327
Bradybaena similaris,-50.649968,-25.481384
Bradybaena similaris,-46.453699,-23.537418
Bradybaena similaris,-43.39056,-23.002468
Bradybaena similaris,-46.713081,-23.568403
Bradybaena similaris,-53.716046,-29.705286
Bradybaena similaris,-43.940238,-19.956197
Bradybaena similaris,-44.004151,-19.825065
Bradybaena similaris,-44.004264,-19.824983
Bradybaena similaris,-43.995544,-19.969845
Bradybaena similaris,-46.72954,-23.564512
Bradybaena similaris,-46.736282,-23.520203
Bradybaena similaris,-49.312328,-25.401368
Bradybaena similaris,-47.629629,-22.706657
Bradybaena similaris,-46.637487,-23.664795
Bradybaena similaris,-43.96682,-19.961437
Bradybaena similaris,-40.601598,-19.931522
Bradybaena similaris,-46.649648,-23.558973
Bradybaena similaris,-49.30871,-25.653198
Bradybaena similaris,-46.728303,-23.574116
Bradybaena similaris,-43.928087,-19.848018
Bradybaena similaris,-41.29482,-21.816283
Bradybaena similaris,-49.455753,-18.964117
Bradybaena similaris,-41.284247,-21.832712
Bradybaena similaris,-41.294442,-21.816217
Bradybaena similaris,-46.649979,-23.565128
Bradybaena similaris,-46.649979,-23.565128
Bradybaena similaris,-49.102497,-26.504745
Bradybaena similaris,-41.290395,-21.760753
Bradybaena similaris,-46.504673,-23.664014
Bradybaena similaris,-46.728477,-23.569896
Bradybaena similaris,-47.900761,-15.740667
Bradybaena similaris,-48.322795,-18.969309
Bradybaena similaris,-40.332278,-20.373205
Bradybaena similaris,-48.41504,-27.403024
Bradybaena similaris,-43.941264,-19.913487
Bradybaena similaris,-47.852456,-15.671004
Bradybaena similaris,-40.10641,-19.205978000000002
Bradybaena similaris,-48.072911,-16.029455
Bradybaena similaris,-47.852477,-15.671004
Bradybaena similaris,-51.153852,-30.002916
Bradybaena similaris,-46.644804,-23.581952
Bradybaena similaris,-46.644806,-23.582347
Bradybaena similaris,-40.332278,-20.373205
Bradybaena similaris,-47.932595,-15.618575
Bradybaena similaris,-48.637092,-28.081097
Bradybaena similaris,-51.232528,-30.033502
Bradybaena similaris,-55.7365,-12.539673
Bradybaena similaris,-47.85258,-15.671118
Bradybaena similaris,-41.692958,-21.424116
Bradybaena similaris,-43.391636,-21.788022
Bradybaena similaris,-44.998353,-21.239841
Bradybaena similaris,-48.650073,-26.816027
Bradybaena similaris,-47.853889,-15.71
Bradybaena similaris,-46.706693,-23.653661
Bradybaena similaris,-41.301402,-21.737631
Bradybaena similaris,-50.234626,-26.363103
Bradybaena similaris,-49.269973,-25.437211
Bradybaena similaris,-46.579229,-23.540133
Bradybaena similaris,-46.706693,-23.653661
Bradybaena similaris,-46.706693,-23.653661
Bradybaena similaris,-50.234622,-26.363094
Bradybaena similaris,-46.706693,-23.653663
Bradybaena similaris,-46.721009,-23.563487
Bradybaena similaris,-46.704451,-23.638266
Bradybaena similaris,-46.706693,-23.653661
Bradybaena similaris,-47.563252,-24.704485
Bradybaena similaris,-46.31472,-23.791653
Bradybaena similaris,-40.494581,-20.657789
Bradybaena similaris,-46.34128,-23.855238
Bradybaena similaris,-45.893206,-23.173256
Bradybaena similaris,-49.274305,-25.391422
Bradybaena similaris,-46.919476,-23.602671
Bradybaena similaris,-49.384413,-25.612862
Bradybaena similaris,-46.706693,-23.653661
Bradybaena similaris,-47.858889,-15.729444
Bradybaena similaris,-42.18152,-21.571009
Bradybaena similaris,-46.886492,-23.193009
Bradybaena similaris,-44.525091,-22.443788
Bradybaena similaris,-44.525087,-22.443791
Bradybaena similaris,-51.190705,-29.171067
Bradybaena similaris,-48.030872,-15.867631
Bradybaena similaris,-49.297877,-25.472218
Bradybaena similaris,-40.724542,-20.841397
Bradybaena similaris,-47.00762,-23.949771
Bradybaena similaris,-47.00762,-23.949771
Bradybaena similaris,-44.525035,-22.444051
Bradybaena similaris,-48.650073,-26.816027
Bradybaena similaris,-42.116415,-22.469496
Bradybaena similaris,-53.505418,-28.310924
Bradybaena similaris,-53.505336,-28.310843
Bradybaena similaris,-54.589188,-25.549878
Bradybaena similaris,-49.278921,-26.794102
Bradybaena similaris,-46.738472,-23.436378
Bradybaena similaris,-46.677037,-23.79978
Bradybaena similaris,-46.672514,-23.795439
Bradybaena similaris,-49.198364,-25.456261
Bradybaena similaris,-51.230959,-30.034916
Bradybaena similaris,-51.230301,-30.037218
Bradybaena similaris,-46.677687,-23.799703
Bradybaena similaris,-46.677283,-23.799697
Bradybaena similaris,-47.85385,-15.709754
Bradybaena similaris,-46.734072,-23.465912
Bradybaena similaris,-53.593699,-28.650535
Bradybaena similaris,-46.726452,-23.489409
Bradybaena similaris,-48.650275,-26.825242
Bradybaena similaris,-38.452642,-12.844853
Bradybaena similaris,-49.724564,-27.211014
Bradybaena similaris,-49.580264,-25.467285
Bradybaena similaris,-46.7299,-23.56447
Bradybaena similaris,-53.505272,-28.310752
Bradybaena similaris,-47.862847,-15.736145
Bradybaena similaris,-51.150266,-30.001024
