scientific_name,decimalLongitude,decimalLatitude
Brillantaisia lamium,-44.80315,-23.204262
Brillantaisia lamium,-44.617038,-23.043888
Brillantaisia lamium,-43.230216,-22.963446
Brillantaisia lamium,-46.747135,-24.046179
Brillantaisia lamium,-44.709733,-23.172047
Brillantaisia lamium,-46.363416,-23.856676
Brillantaisia lamium,-42.772781,-22.453521
Brillantaisia lamium,-43.312858,-22.558705
Brillantaisia lamium,-46.732925,-23.814803
Brillantaisia lamium,-43.302208,-22.546508
Brillantaisia lamium,-46.727787,-23.812307
Brillantaisia lamium,-43.972302,-19.874111
Brillantaisia lamium,-43.972246,-19.874188
Brillantaisia lamium,-43.972548,-19.87366
Brillantaisia lamium,-46.301333,-23.776947
Brillantaisia lamium,-43.284662,-22.958255
Brillantaisia lamium,-42.770833,-22.450556
Brillantaisia lamium,-44.542127,-22.418818
Brillantaisia lamium,-42.738347,-22.420175
Brillantaisia lamium,-46.367614,-23.962317
Brillantaisia lamium,-47.487861,-24.324256
Brillantaisia lamium,-47.490056,-24.372786
Brillantaisia lamium,-47.870931,-24.724706
Brillantaisia lamium,-45.177068,-23.512008
Brillantaisia lamium,-44.702003,-23.296562
Brillantaisia lamium,-48.036402,-25.217406
Brillantaisia lamium,-46.504806,-23.976122
Brillantaisia lamium,-47.491044,-24.323444
Brillantaisia lamium,-47.544722,-24.701911
Brillantaisia lamium,-47.893983,-24.701697
Brillantaisia lamium,-47.871147,-24.723956
Brillantaisia lamium,-46.391958,-23.984186
Brillantaisia lamium,-46.391686,-23.984156
Brillantaisia lamium,-46.394111,-23.992322
Brillantaisia lamium,-46.511961,-23.991483
Brillantaisia lamium,-46.511961,-23.991483
Brillantaisia lamium,-46.597136,-24.075489
Brillantaisia lamium,-46.608061,-24.085758
Brillantaisia lamium,-46.608019,-24.085664
Brillantaisia lamium,-46.544353,-24.031144
Brillantaisia lamium,-47.236625,-24.267631
Brillantaisia lamium,-47.236625,-24.267631
Brillantaisia lamium,-46.997144,-24.313597
Brillantaisia lamium,-46.997144,-24.313597
Brillantaisia lamium,-46.997144,-24.313597
