scientific_name,decimalLongitude,decimalLatitude
Brotogeris tirica,-49.437512,-26.81808
Brotogeris tirica,-46.554497,-23.549745
Brotogeris tirica,-46.620304,-23.639059
Brotogeris tirica,-46.716769,-23.567041
Brotogeris tirica,-46.551257,-23.665463
Brotogeris tirica,-42.830186,-22.383414
Brotogeris tirica,-46.628038,-23.591605
Brotogeris tirica,-46.634111,-23.617325
Brotogeris tirica,-46.634521,-23.618089
Brotogeris tirica,-46.636623,-23.592308
Brotogeris tirica,-46.637546,-23.592273
Brotogeris tirica,-46.636473,-23.589481
Brotogeris tirica,-46.625962,-23.639818000000002
Brotogeris tirica,-46.625843,-23.639734
Brotogeris tirica,-46.666813,-23.603468
Brotogeris tirica,-46.761685,-23.542161
Brotogeris tirica,-46.902434,-23.636747
Brotogeris tirica,-46.902434,-23.636747
Brotogeris tirica,-44.704105,-23.17207
Brotogeris tirica,-46.761412,-23.542813
Brotogeris tirica,-46.663965,-23.560042
Brotogeris tirica,-46.659219,-23.58739
Brotogeris tirica,-46.649779,-23.579101
Brotogeris tirica,-46.648372,-23.576808
Brotogeris tirica,-46.649338,-23.577597
Brotogeris tirica,-49.272649,-26.825549
Brotogeris tirica,-47.561876,-24.004135
Brotogeris tirica,-46.727934,-23.559309
Brotogeris tirica,-47.561876,-24.004135
Brotogeris tirica,-49.272649,-26.825549
Brotogeris tirica,-48.917069,-27.098997
Brotogeris tirica,-46.761392,-23.542835
Brotogeris tirica,-47.468002,-21.960006
Brotogeris tirica,-46.658544,-23.588795
Brotogeris tirica,-43.198087,-22.941371
Brotogeris tirica,-46.66152,-23.644897
Brotogeris tirica,-43.222424,-22.966474
Brotogeris tirica,-47.46783,-21.959862
Brotogeris tirica,-46.710189,-23.700707
Brotogeris tirica,-46.728299,-23.561366
Brotogeris tirica,-46.550557,-23.664791
Brotogeris tirica,-46.550896,-23.664793
Brotogeris tirica,-42.496563,-22.310238
Brotogeris tirica,-46.661675,-23.644809
Brotogeris tirica,-41.23737,-21.075372
Brotogeris tirica,-46.347266,-23.48014
Brotogeris tirica,-46.724398,-23.559898
Brotogeris tirica,-46.72349,-23.559472
Brotogeris tirica,-46.723134,-23.559403
Brotogeris tirica,-46.723052,-23.559404
Brotogeris tirica,-46.728088,-23.558781
Brotogeris tirica,-46.728026,-23.558793
Brotogeris tirica,-46.672456,-23.524699
Brotogeris tirica,-47.555125,-24.709047
Brotogeris tirica,-43.221272,-22.964368
Brotogeris tirica,-46.669764,-23.635186
Brotogeris tirica,-46.656897,-23.590013
Brotogeris tirica,-46.669773,-23.635118
Brotogeris tirica,-39.084122,-16.480385
Brotogeris tirica,-46.405028,-23.487688
Brotogeris tirica,-49.18135,-25.375862
Brotogeris tirica,-46.769697,-23.677236
Brotogeris tirica,-46.519418,-23.645588
Brotogeris tirica,-46.519418,-23.645588
Brotogeris tirica,-46.519418,-23.645588
Brotogeris tirica,-46.519418,-23.645588
Brotogeris tirica,-46.72368,-23.559544
Brotogeris tirica,-46.660691,-23.573978
Brotogeris tirica,-49.011383,-26.742545
Brotogeris tirica,-46.737627,-23.520218
Brotogeris tirica,-46.738154,-23.520719
Brotogeris tirica,-46.736814,-23.520378
Brotogeris tirica,-49.232561,-25.360347
Brotogeris tirica,-48.677517,-26.908269
Brotogeris tirica,-46.519418,-23.645588
Brotogeris tirica,-46.493085,-23.687669
Brotogeris tirica,-46.493085,-23.687669
Brotogeris tirica,-46.493085,-23.687669
Brotogeris tirica,-46.493085,-23.687669
Brotogeris tirica,-49.247198,-25.404477
Brotogeris tirica,-43.161515,-22.435211
Brotogeris tirica,-46.626768,-23.639457
Brotogeris tirica,-46.672364,-23.530137
Brotogeris tirica,-46.672317,-23.530224
Brotogeris tirica,-46.590612,-23.575326
Brotogeris tirica,-46.772639,-23.603665
Brotogeris tirica,-46.543981,-23.672359
Brotogeris tirica,-46.543985,-23.672357
Brotogeris tirica,-46.543984,-23.672357
Brotogeris tirica,-46.54398,-23.672355
Brotogeris tirica,-46.543985,-23.672353
Brotogeris tirica,-46.543969,-23.672345
Brotogeris tirica,-46.543977,-23.672351
Brotogeris tirica,-46.543978,-23.672353
Brotogeris tirica,-46.623577,-23.638214
Brotogeris tirica,-46.664003,-23.612153
Brotogeris tirica,-46.737704,-23.559175
Brotogeris tirica,-46.737841,-23.559268
Brotogeris tirica,-46.737803,-23.55922
Brotogeris tirica,-46.734938,-23.55755
Brotogeris tirica,-46.73508,-23.557572
Brotogeris tirica,-46.72386,-23.561107
Brotogeris tirica,-46.724057,-23.561328
Brotogeris tirica,-44.615128,-22.431872
Brotogeris tirica,-42.497062,-22.310076
Brotogeris tirica,-50.004743,-26.978404
Brotogeris tirica,-46.902434,-23.636741
Brotogeris tirica,-46.61339,-23.628635
Brotogeris tirica,-46.728056,-23.571435
Brotogeris tirica,-46.530234,-23.672309
Brotogeris tirica,-46.326793,-23.95374
Brotogeris tirica,-46.413852,-23.477942
Brotogeris tirica,-46.33178,-23.959198
Brotogeris tirica,-46.713991,-23.722309
Brotogeris tirica,-46.531073,-23.671923
Brotogeris tirica,-46.544107,-23.672461
Brotogeris tirica,-43.216724,-22.968735
Brotogeris tirica,-47.561412,-23.998065
Brotogeris tirica,-47.561876,-24.004135
