Species,decimalLongitude,decimalLatitude
Bubulcus ibis,-39.317152,-7.191483
Bubulcus ibis,-46.41382,-23.477902
Bubulcus ibis,-35.750912,-9.623041
Bubulcus ibis,-56.142441,-19.590142
Bubulcus ibis,-44.920641,-20.045934
Bubulcus ibis,-42.684697,-21.880972
Bubulcus ibis,-53.665013,-29.67916
Bubulcus ibis,-53.889882,-29.654003
Bubulcus ibis,-35.751049,-9.622792
Bubulcus ibis,-48.645606,-28.033279
Bubulcus ibis,-36.035771,-9.167064
Bubulcus ibis,-47.019535,-22.905395
Bubulcus ibis,-53.741578,-29.719048
Bubulcus ibis,-35.749541,-9.551759
Bubulcus ibis,-46.633482,-23.459084
Bubulcus ibis,-38.57329,-3.73961
Bubulcus ibis,-43.994665,-19.838853
Bubulcus ibis,-35.221395,-9.012716
Bubulcus ibis,-51.098315,-30.07812
Bubulcus ibis,-40.194861,-19.943349
Bubulcus ibis,-40.259964,-19.930306
Bubulcus ibis,-40.259964,-19.930306
Bubulcus ibis,-49.287555,-26.856778
Bubulcus ibis,-41.9899,-18.990378
Bubulcus ibis,-38.712667,-3.980117
Bubulcus ibis,-38.712682,-3.980218
Bubulcus ibis,-38.712677,-3.980332
Bubulcus ibis,-38.712673,-3.980215
Bubulcus ibis,-38.712677,-3.980173
Bubulcus ibis,-35.749541,-9.551759
Bubulcus ibis,-43.283352,-22.787601
Bubulcus ibis,-53.199287,-27.556265
Bubulcus ibis,-41.878557,-18.816883
Bubulcus ibis,-45.804708,-23.253832
Bubulcus ibis,-51.454957,-22.113887
Bubulcus ibis,-46.000232,-15.982188
Bubulcus ibis,-41.904965,-18.809821
Bubulcus ibis,-43.386245,-20.368926
Bubulcus ibis,-41.891103,-18.809728
Bubulcus ibis,-42.029489,-18.870283
Bubulcus ibis,-35.751124,-9.622875
Bubulcus ibis,-46.073002,-15.983689
Bubulcus ibis,-47.455464,-21.960272
Bubulcus ibis,-36.034613,-9.164759
Bubulcus ibis,-45.450033,-22.407088
Bubulcus ibis,-46.659219,-23.58739
Bubulcus ibis,-49.272649,-26.825549
Bubulcus ibis,-41.878398,-18.810539
Bubulcus ibis,-42.383356,-19.075883
Bubulcus ibis,-48.95447,-28.456439
Bubulcus ibis,-45.452107,-22.408807
Bubulcus ibis,-42.772684,-22.452292
Bubulcus ibis,-46.714983,-23.721858
Bubulcus ibis,-39.294838,-6.352107
Bubulcus ibis,-35.751422,-9.625617
Bubulcus ibis,-35.246827,-7.32854
Bubulcus ibis,-45.443135,-22.410489
Bubulcus ibis,-35.749541,-9.551759
Bubulcus ibis,-43.945072,-19.808753
Bubulcus ibis,-47.42524,-21.996831
Bubulcus ibis,-44.921278,-20.04836
Bubulcus ibis,-36.03475,-9.165116
Bubulcus ibis,-44.973259,-21.230186
Bubulcus ibis,-38.573405,-3.742537
Bubulcus ibis,-49.185511,-26.672817
Bubulcus ibis,-49.255246,-26.765695
Bubulcus ibis,-54.496697,-25.483133
Bubulcus ibis,-50.854445,-28.926874
Bubulcus ibis,-47.019678,-22.905509
Bubulcus ibis,-47.019557,-22.905432
Bubulcus ibis,-47.019696,-22.905493
Bubulcus ibis,-47.019685,-22.905483
Bubulcus ibis,-52.030004,-27.205953
Bubulcus ibis,-42.080599,-9.635109
Bubulcus ibis,-47.019701,-22.905413
Bubulcus ibis,-41.95719,-18.855833
Bubulcus ibis,-45.431588,-23.65677
Bubulcus ibis,-41.875146,-18.83961
Bubulcus ibis,-34.877217,-7.114047
Bubulcus ibis,-35.740251,-9.546687
Bubulcus ibis,-41.915206,-18.851706
Bubulcus ibis,-42.773333,-22.449478
Bubulcus ibis,-42.77325,-22.448884
Bubulcus ibis,-41.906359,-18.83915
Bubulcus ibis,-47.920654999999996,-19.794022
Bubulcus ibis,-35.740251,-9.546687
Bubulcus ibis,-51.508179,-29.184342
Bubulcus ibis,-42.772697,-22.449364
Bubulcus ibis,-37.253187,-8.578332
Bubulcus ibis,-46.332708,-20.674647
Bubulcus ibis,-41.875146,-18.83961
Bubulcus ibis,-36.043365,-9.158139
Bubulcus ibis,-42.773059,-22.449238
Bubulcus ibis,-42.773694,-22.449299
Bubulcus ibis,-46.286389,-22.960643
Bubulcus ibis,-51.918129,-29.41168
Bubulcus ibis,-51.918129,-29.41168
Bubulcus ibis,-44.241097,-2.644542
Bubulcus ibis,-41.875146,-18.83961
Bubulcus ibis,-44.010912,-19.199512
Bubulcus ibis,-41.95719,-18.855833
Bubulcus ibis,-41.906359,-18.83915
Bubulcus ibis,-41.906359,-18.83915
Bubulcus ibis,-35.877788,-7.225539
Bubulcus ibis,-41.95719,-18.855833
Bubulcus ibis,-41.95719,-18.855833
Bubulcus ibis,-45.854453,-22.659317
Bubulcus ibis,-39.324141,-6.352513
Bubulcus ibis,-41.906359,-18.83915
Bubulcus ibis,-41.906359,-18.83915
Bubulcus ibis,-41.906359,-18.83915
Bubulcus ibis,-41.906359,-18.83915
Bubulcus ibis,-39.321117,-6.354167
Bubulcus ibis,-41.928329,-18.845842
Bubulcus ibis,-35.740251,-9.546687
Bubulcus ibis,-41.906359,-18.83915
Bubulcus ibis,-41.906359,-18.83915
Bubulcus ibis,-41.875146,-18.83961
Bubulcus ibis,-41.875146,-18.83961
Bubulcus ibis,-41.902974,-18.843878
Bubulcus ibis,-41.902974,-18.843878
Bubulcus ibis,-41.902974,-18.843878
Bubulcus ibis,-46.635356,-23.458936
Bubulcus ibis,-39.05423,-3.418993
Bubulcus ibis,-46.703965,-23.677711
