Species,decimalLongitude,decimalLatitude
Callithrix jacchus,-39.313016,-7.224204
Callithrix jacchus,-35.762529,-9.61285
Callithrix jacchus,-38.197455,-9.392487
Callithrix jacchus,-34.946924,-8.01006
Callithrix jacchus,-35.208309,-5.744627
Callithrix jacchus,-35.857929,-7.003331
Callithrix jacchus,-44.79704,-23.180318
Callithrix jacchus,-35.262341,-9.099726
Callithrix jacchus,-35.924407,-8.975664
Callithrix jacchus,-35.776088,-9.554186
Callithrix jacchus,-36.553222,-6.271161
Callithrix jacchus,-35.760301,-9.613264
Callithrix jacchus,-35.760301,-9.613264
Callithrix jacchus,-37.365429,-5.173782
Callithrix jacchus,-35.907637,-9.837339
Callithrix jacchus,-48.203875,-15.701976
Callithrix jacchus,-38.499096,-3.753443
Callithrix jacchus,-35.771422,-9.551458
Callithrix jacchus,-34.949254,-8.050214
Callithrix jacchus,-34.949254,-8.050214
Callithrix jacchus,-34.949333,-8.050244
Callithrix jacchus,-35.760587,-9.611211
Callithrix jacchus,-38.236558,-12.835264
Callithrix jacchus,-37.137619,-10.70839
Callithrix jacchus,-38.888278,-6.678726
Callithrix jacchus,-46.427922,-23.751547
Callithrix jacchus,-37.751746,-9.618257
Callithrix jacchus,-35.290052,-6.420175
Callithrix jacchus,-44.720042,-23.216883
Callithrix jacchus,-35.777063,-9.557274
Callithrix jacchus,-42.791308,-5.058592
Callithrix jacchus,-46.760928,-23.544127
Callithrix jacchus,-37.284468,-11.085169
Callithrix jacchus,-42.672757,-9.109828
Callithrix jacchus,-37.275877,-11.026406
Callithrix jacchus,-35.776509,-9.5575
Callithrix jacchus,-47.710912,-23.535283
Callithrix jacchus,-42.804586,-5.062395
Callithrix jacchus,-42.770957,-22.45374
Callithrix jacchus,-35.005717,-8.506628
Callithrix jacchus,-35.181585,-8.724503
Callithrix jacchus,-43.22365,-22.969055
Callithrix jacchus,-46.676514,-23.651909
Callithrix jacchus,-35.769797,-9.55313
Callithrix jacchus,-35.775451,-9.555033
Callithrix jacchus,-46.717724,-23.56094
Callithrix jacchus,-44.139123,-23.161776
