Species,decimalLongitude,decimalLatitude
Callithrix penicillata,-47.861839,-15.735398
Callithrix penicillata,-47.88424,-15.728925
Callithrix penicillata,-47.861538,-15.73672
Callithrix penicillata,-47.489303,-14.143783
Callithrix penicillata,-43.40744,-21.740586
Callithrix penicillata,-44.250325,-23.19297
Callithrix penicillata,-46.617091,-23.639116
Callithrix penicillata,-47.871056,-20.579447
Callithrix penicillata,-47.978665,-15.83688
Callithrix penicillata,-43.344584,-22.980463
Callithrix penicillata,-43.16139,-22.434951
Callithrix penicillata,-44.934257,-20.169215
Callithrix penicillata,-48.397822,-27.470388
Callithrix penicillata,-47.8117,-15.798267
Callithrix penicillata,-47.882358,-15.789855
Callithrix penicillata,-44.067437,-19.935119
Callithrix penicillata,-47.922585,-15.837314
Callithrix penicillata,-46.661407,-23.584954
Callithrix penicillata,-46.661409,-23.584939
Callithrix penicillata,-47.88049,-21.976684
Callithrix penicillata,-47.88079,-21.976565
Callithrix penicillata,-47.880668,-21.976686
Callithrix penicillata,-43.175208,-22.508622
Callithrix penicillata,-48.510402,-27.717556
Callithrix penicillata,-48.510128,-27.59582
Callithrix penicillata,-48.510071,-27.595742
Callithrix penicillata,-48.510071,-27.595742
Callithrix penicillata,-47.864714,-15.737629
Callithrix penicillata,-47.862063,-15.736427
Callithrix penicillata,-47.862063,-15.736427
Callithrix penicillata,-47.862063,-15.736427
Callithrix penicillata,-47.862063,-15.736427
Callithrix penicillata,-46.722068,-23.565929
Callithrix penicillata,-46.667393,-23.650151
Callithrix penicillata,-46.760946,-23.543977
Callithrix penicillata,-46.761088,-23.543949
Callithrix penicillata,-41.933123,-18.866589
Callithrix penicillata,-47.210929,-23.457783
Callithrix penicillata,-41.392642,-12.559883
Callithrix penicillata,-46.618232,-23.639655
Callithrix penicillata,-43.948972,-20.057122
Callithrix penicillata,-47.101886,-22.863083
Callithrix penicillata,-42.880028,-20.75614
Callithrix penicillata,-43.222241,-22.963821
Callithrix penicillata,-46.62045,-23.650872
Callithrix penicillata,-48.510645,-27.597858
Callithrix penicillata,-48.509792,-27.5942
Callithrix penicillata,-48.509176,-27.596747
Callithrix penicillata,-45.444519,-22.429328
Callithrix penicillata,-46.620507,-23.531795
Callithrix penicillata,-47.86845,-15.799637
Callithrix penicillata,-43.386544,-22.684935
Callithrix penicillata,-43.242576,-22.878355
Callithrix penicillata,-43.971339,-19.977102
Callithrix penicillata,-44.633266,-14.2101
Callithrix penicillata,-47.889406,-15.729258
Callithrix penicillata,-43.279728,-22.964534
Callithrix penicillata,-44.99478,-21.231757
Callithrix penicillata,-46.79167,-23.539032
Callithrix penicillata,-46.636038,-23.457459
Callithrix penicillata,-46.981405,-22.687242
Callithrix penicillata,-46.853218,-22.807683
Callithrix penicillata,-43.919728,-19.887204
Callithrix penicillata,-43.94588,-19.946592
Callithrix penicillata,-41.414273,-12.461671
Callithrix penicillata,-43.861865,-19.978367
Callithrix penicillata,-47.018374,-22.731921
Callithrix penicillata,-49.313314,-25.421068000000002
Callithrix penicillata,-48.94086,-16.339526
Callithrix penicillata,-49.248769,-26.945122
Callithrix penicillata,-44.462984,-14.276937
Callithrix penicillata,-47.10116,-22.863584
Callithrix penicillata,-45.444578,-22.429431
Callithrix penicillata,-48.027208,-15.831301
Callithrix penicillata,-46.137362,-15.920323
Callithrix penicillata,-47.864714,-15.737629
Callithrix penicillata,-47.864714,-15.737629
Callithrix penicillata,-47.884757,-15.745564
Callithrix penicillata,-45.444443,-22.428899
Callithrix penicillata,-47.506100000000004,-14.128796
Callithrix penicillata,-46.392151,-23.984039
Callithrix penicillata,-48.510002,-27.595802
Callithrix penicillata,-44.078351,-19.892175
Callithrix penicillata,-44.545913,-14.193557
Callithrix penicillata,-44.021268,-19.91069
Callithrix penicillata,-44.021285,-19.910585
Callithrix penicillata,-44.010998,-19.859426
Callithrix penicillata,-47.870052,-15.799864
Callithrix penicillata,-46.724012,-23.563208
Callithrix penicillata,-47.875174,-21.985059
Callithrix penicillata,-47.790967,-15.851122
Callithrix penicillata,-46.889294,-23.154165
Callithrix penicillata,-49.017288,-22.343381
Callithrix penicillata,-47.861624,-15.736555
Callithrix penicillata,-47.861624,-15.736555
Callithrix penicillata,-47.862096,-15.736761
Callithrix penicillata,-47.864714,-15.737629
Callithrix penicillata,-47.861967,-15.736514
Callithrix penicillata,-46.626986,-23.63916
Callithrix penicillata,-46.61843,-23.639357
Callithrix penicillata,-47.50689,-14.130413
Callithrix penicillata,-47.50689,-14.130413
Callithrix penicillata,-47.886091,-21.969141
Callithrix penicillata,-43.971379,-19.977885
Callithrix penicillata,-46.729742,-23.567759
Callithrix penicillata,-47.870931,-20.579597
Callithrix penicillata,-47.886281,-15.771456
Callithrix penicillata,-46.727121,-23.56181
Callithrix penicillata,-44.241593,-15.114715
Callithrix penicillata,-43.947207,-19.856622
Callithrix penicillata,-49.355874,-20.776553
Callithrix penicillata,-48.481765,-27.665607
Callithrix penicillata,-48.089458,-15.867867
Callithrix penicillata,-42.554171,-22.333985
Callithrix penicillata,-46.730439,-23.566311
Callithrix penicillata,-47.880211,-21.985161
Callithrix penicillata,-43.223007,-22.963285
Callithrix penicillata,-43.219615,-22.965039
Callithrix penicillata,-49.017288,-22.343381
Callithrix penicillata,-49.017288,-22.343381
Callithrix penicillata,-49.017288,-22.343381
Callithrix penicillata,-49.017288,-22.343381
Callithrix penicillata,-44.517455,-14.270703
Callithrix penicillata,-50.975218,-20.07878
Callithrix penicillata,-45.471562,-19.16519
Callithrix penicillata,-48.633075,-17.722437
Callithrix penicillata,-46.871383,-23.575962
Callithrix penicillata,-47.84373,-15.756892
Callithrix penicillata,-47.875539,-18.938047
Callithrix penicillata,-48.152084,-15.675023
Callithrix penicillata,-46.728915,-23.567508
Callithrix penicillata,-43.966426,-19.866372
Callithrix penicillata,-46.454884,-23.488288
Callithrix penicillata,-43.971145,-19.976495
Callithrix penicillata,-44.021157,-19.910673
Callithrix penicillata,-44.004822,-19.860393
Callithrix penicillata,-49.345135,-25.435737
Callithrix penicillata,-43.915922,-19.894764
Callithrix penicillata,-46.823728,-23.601648
Callithrix penicillata,-43.951874,-19.937182
Callithrix penicillata,-43.951881,-19.935972
Callithrix penicillata,-43.998947,-19.882898
Callithrix penicillata,-43.999183,-19.882837
Callithrix penicillata,-46.729674,-23.563276
Callithrix penicillata,-46.72963,-23.563475
Callithrix penicillata,-44.006335,-19.859628
Callithrix penicillata,-46.656525,-23.800133
Callithrix penicillata,-43.996833,-19.855492
Callithrix penicillata,-43.969066,-19.881532
Callithrix penicillata,-43.988285,-19.970547
Callithrix penicillata,-43.988345,-19.970526
Callithrix penicillata,-43.776183,-20.075317
Callithrix penicillata,-43.999642,-19.885412
Callithrix penicillata,-44.008149,-19.862158
Callithrix penicillata,-48.834235,-26.26387
Callithrix penicillata,-46.642654,-23.636239
Callithrix penicillata,-46.726442,-23.812947
Callithrix penicillata,-43.904037,-19.951318
Callithrix penicillata,-43.901996,-19.949629
Callithrix penicillata,-43.901996,-19.949629
Callithrix penicillata,-43.901996,-19.949629
Callithrix penicillata,-49.302172,-25.416509
Callithrix penicillata,-43.161928,-22.435135
Callithrix penicillata,-43.161939,-22.435181
Callithrix penicillata,-43.961842,-19.832912
Callithrix penicillata,-46.727787,-23.812307
Callithrix penicillata,-43.909244,-19.95329
Callithrix penicillata,-49.390309,-25.593462
Callithrix penicillata,-46.621115,-23.638889
Callithrix penicillata,-43.938669,-19.919012
Callithrix penicillata,-43.996424,-19.85646
Callithrix penicillata,-49.389014,-25.59535
Callithrix penicillata,-46.625164,-23.640632
Callithrix penicillata,-46.625048,-23.640638
Callithrix penicillata,-46.62513,-23.64107
Callithrix penicillata,-49.385467,-25.593157
Callithrix penicillata,-49.385467,-25.593157
Callithrix penicillata,-49.389014,-25.59535
Callithrix penicillata,-46.727787,-23.812307
Callithrix penicillata,-44.021212,-19.910803
Callithrix penicillata,-43.98685,-19.86175
Callithrix penicillata,-43.927709,-19.929552
Callithrix penicillata,-46.639557,-23.555575
Callithrix penicillata,-46.934498,-23.599366
Callithrix penicillata,-43.926713,-19.952739
Callithrix penicillata,-43.948147,-19.886028
Callithrix penicillata,-43.898062,-19.947164
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972433
Callithrix penicillata,-43.986727,-19.972475
Callithrix penicillata,-43.986727,-19.972475
Callithrix penicillata,-46.627394,-23.44673
Callithrix penicillata,-43.92812,-19.928983
Callithrix penicillata,-46.625018,-23.643153
Callithrix penicillata,-46.967069,-23.622786
Callithrix penicillata,-47.968855,-15.901872
Callithrix penicillata,-47.871237,-21.972294
Callithrix penicillata,-46.76082,-23.543889
Callithrix penicillata,-47.585562,-22.497325
Callithrix penicillata,-46.519442,-23.495176
