Species,decimalLongitude,decimalLatitude
Calotropis procera,-56.133878,-19.547723
Calotropis procera,-42.832726,-2.751773
Calotropis procera,-42.832565,-2.751794
Calotropis procera,-42.833778,-2.75199
Calotropis procera,-38.396525,-3.84553
Calotropis procera,-35.185499,-5.792709
Calotropis procera,-41.024723,-21.688972
Calotropis procera,-38.642649,-3.722352
Calotropis procera,-44.23724,-2.524211
Calotropis procera,-56.104464,-19.499238
Calotropis procera,-34.842083,-7.047625
Calotropis procera,-38.006394,-4.255506
Calotropis procera,-44.947513,-17.352853
Calotropis procera,-57.681865,-16.076486
Calotropis procera,-44.572577,-14.070905
Calotropis procera,-44.529421,-14.187351
Calotropis procera,-37.446758,-4.659453
Calotropis procera,-37.446758,-4.659453
Calotropis procera,-35.740281,-9.670052
Calotropis procera,-44.47433,-14.169942
Calotropis procera,-38.437694,-3.786185
Calotropis procera,-41.630958,-2.887953
Calotropis procera,-35.528492,-7.122967
Calotropis procera,-41.908322,-2.870564
Calotropis procera,-38.891042,-3.519483
Calotropis procera,-38.644083,-3.713819
Calotropis procera,-35.212248,-5.883997
Calotropis procera,-59.98388,-3.118355
Calotropis procera,-37.3238,-5.204767
Calotropis procera,-37.323612,-5.204913
Calotropis procera,-39.325922,-6.352233
Calotropis procera,-37.328829,-5.2031790000000004
Calotropis procera,-37.319358,-5.207332
Calotropis procera,-37.323233,-5.208438
Calotropis procera,-47.846506,-21.158035
Calotropis procera,-37.323837,-5.204775
Calotropis procera,-39.282528,-6.371205
Calotropis procera,-39.318087,-6.381729
Calotropis procera,-39.298059,-6.358794
Calotropis procera,-42.741751,-2.569866
Calotropis procera,-39.336706,-6.405386
Calotropis procera,-39.293601,-6.405892
Calotropis procera,-39.286083,-6.369022
Calotropis procera,-39.334032,-6.431557
Calotropis procera,-39.285688,-6.371738
Calotropis procera,-37.328385,-5.202831
Calotropis procera,-39.298406,-6.382445
Calotropis procera,-39.305149,-6.396736
Calotropis procera,-41.772714,-2.959211
Calotropis procera,-42.697822,-14.123603
Calotropis procera,-39.284942,-6.370728
Calotropis procera,-42.3,-13.14
Calotropis procera,-42.3,-13.14
Calotropis procera,-38.9525,-12.269167
Calotropis procera,-37.328661,-5.202882
Calotropis procera,-37.322053,-5.205837
Calotropis procera,-37.369217,-5.149235
Calotropis procera,-37.337739,-5.193142
Calotropis procera,-37.343766,-5.216286
Calotropis procera,-37.327163,-5.202747
Calotropis procera,-37.32317,-5.217063
Calotropis procera,-37.323233,-5.217078
Calotropis procera,-37.348835,-5.235579
Calotropis procera,-37.353743,-5.18209
Calotropis procera,-37.826599,-5.592369
Calotropis procera,-41.650287,-2.87293
Calotropis procera,-35.234826,-5.828824
Calotropis procera,-38.904165,-3.512381
Calotropis procera,-40.505677,-9.40558
Calotropis procera,-38.436809,-3.790395
Calotropis procera,-50.863201,-20.45101
Calotropis procera,-57.672223,-19.201762
Calotropis procera,-40.485713,-9.390373
Calotropis procera,-40.080544,-7.088736
Calotropis procera,-42.24059,-8.35855
Calotropis procera,-41.378889,-11.429444
Calotropis procera,-40.081049,-7.087203
Calotropis procera,-56.123239,-15.647728
Calotropis procera,-36.326749,-7.112765
Calotropis procera,-40.57119,-9.459815
Calotropis procera,-41.59216,-2.906042
Calotropis procera,-41.388225,-19.204786
Calotropis procera,-41.535833,-7.523056
Calotropis procera,-41.535833,-7.523056
Calotropis procera,-38.628076,-6.583338
Calotropis procera,-40.694842,-3.226485
Calotropis procera,-52.036593,-21.776279
Calotropis procera,-37.257931,-5.638067
Calotropis procera,-37.706639,-4.526686
Calotropis procera,-38.88674,-6.677705
Calotropis procera,-38.889963,-6.679436
Calotropis procera,-38.889668,-6.679533
Calotropis procera,-50.567941,-20.680828
Calotropis procera,-38.989259,-6.757101
Calotropis procera,-38.398047,-3.831664
Calotropis procera,-38.48471,-3.749475
Calotropis procera,-35.234869,-5.828772
Calotropis procera,-55.522522,-1.910715
Calotropis procera,-51.443286,-22.115839
Calotropis procera,-36.731846,-6.905804
Calotropis procera,-38.49409,-3.722879
Calotropis procera,-54.607512,-16.470574
Calotropis procera,-41.815267,-11.364797
Calotropis procera,-38.519689,-3.720554
Calotropis procera,-40.516526,-9.414236
Calotropis procera,-41.466506,-19.171038
Calotropis procera,-38.812619,-3.57684
Calotropis procera,-40.346618,-2.916476
Calotropis procera,-40.296677,-5.994907
Calotropis procera,-37.332,-5.192839
Calotropis procera,-37.331794,-5.192261
Calotropis procera,-39.055302,-3.412475
Calotropis procera,-40.652606,-5.182776
Calotropis procera,-36.639547,-9.428991
Calotropis procera,-37.323385,-5.203962
Calotropis procera,-40.105288,-13.860512
Calotropis procera,-39.320374,-6.350639
Calotropis procera,-37.333721,-4.888492
Calotropis procera,-38.205877,-6.140913
Calotropis procera,-38.205792,-6.141619
Calotropis procera,-36.888203,-7.223767
Calotropis procera,-37.314285,-5.876309
Calotropis procera,-41.316784,-21.761456
