Species,decimalLongitude,decimalLatitude
Canis familiaris,-39.848561,-18.727265
Canis familiaris,-46.564981,-23.693989
Canis familiaris,-46.137219,-23.82923
Canis familiaris,-40.333829,-20.394713
Canis familiaris,-39.856141,-18.724798
Canis familiaris,-72.680911,-7.625174
Canis familiaris,-42.184703,-8.67318
Canis familiaris,-48.956467,-28.443666
Canis familiaris,-39.855033,-18.723195
Canis familiaris,-39.854931,-18.726292
Canis familiaris,-39.857397,-18.723893
Canis familiaris,-51.445581,-22.122789
Canis familiaris,-39.860622,-18.677874
Canis familiaris,-39.858347,-18.72348
Canis familiaris,-55.522539,-1.910496
Canis familiaris,-48.070812,-15.899173
Canis familiaris,-39.850203,-18.725347
Canis familiaris,-49.995357,-24.811858
Canis familiaris,-39.746056,-18.950381
Canis familiaris,-43.446306,-5.536865
Canis familiaris,-39.747062,-18.950149
Canis familiaris,-47.54595,-22.388435
Canis familiaris,-49.179057,-5.116334
Canis familiaris,-52.569462,-17.569138
Canis familiaris,-40.563498,-19.952358
Canis familiaris,-46.458284,-23.705818
Canis familiaris,-67.867575,-9.956932
Canis familiaris,-40.723068,-20.838219
Canis familiaris,-35.194941,-5.777687
Canis familiaris,-50.802504,-29.311185
Canis familiaris,-48.848614,-26.308223
Canis familiaris,-52.219384,-32.242818
Canis familiaris,-36.292066,-6.364638
Canis familiaris,-35.11756,-7.389096
Canis familiaris,-41.840577,-2.822201
Canis familiaris,-45.891883,-23.266706
Canis familiaris,-52.345373,-31.772692
Canis familiaris,-48.593771,-25.726055
Canis familiaris,-50.8178,-29.321778
Canis familiaris,-47.503503,-14.149429
Canis familiaris,-47.503505,-14.149444
Canis familiaris,-53.30857,-25.076892
Canis familiaris,-53.306302,-25.075286
Canis familiaris,-39.858216,-18.723823
Canis familiaris,-67.872328,-9.956106
Canis familiaris,-42.880028,-20.75614
Canis familiaris,-67.872559999999993,-9.955401
Canis familiaris,-67.871833,-9.9558700000000009
Canis familiaris,-39.849403,-18.726113
Canis familiaris,-39.858195,-18.723847
Canis familiaris,-67.864903,-9.956557
Canis familiaris,-35.290092,-6.420267
Canis familiaris,-67.869537,-9.95935
Canis familiaris,-67.867478,-9.955703
Canis familiaris,-39.848178,-18.723439
Canis familiaris,-39.848213,-18.723436
Canis familiaris,-35.289985,-6.41997
Canis familiaris,-67.867278,-9.956195
Canis familiaris,-39.857279,-18.723891
