scientific_name,decimalLongitude,decimalLatitude
Carpobrotus edulis,-49.686214,-29.284775
Carpobrotus edulis,-48.413688,-27.402203
Carpobrotus edulis,-48.430392,-27.599146
Carpobrotus edulis,-50.955611,-31.253652
Carpobrotus edulis,-50.955611,-31.253652
Carpobrotus edulis,-50.211688,-30.197302
Carpobrotus edulis,-48.392976,-27.433902
Carpobrotus edulis,-50.222596,-30.227877
Carpobrotus edulis,-50.22316,-30.227513
Carpobrotus edulis,-48.503088,-27.715753
Carpobrotus edulis,-50.19078,-30.144922
Carpobrotus edulis,-50.19078,-30.144922
Carpobrotus edulis,-48.633889,-28.111667
Carpobrotus edulis,-48.633889,-28.111667
Carpobrotus edulis,-50.025997,-29.787403
Carpobrotus edulis,-50.026719,-29.787578
