scientific_name,decimalLongitude,decimalLatitude
Cassytha filiformis,-57.152919,-19.433742
Cassytha filiformis,-57.460833,-19.623889
Cassytha filiformis,-47.80663,-15.80445
Cassytha filiformis,-38.644083,-3.713819
Cassytha filiformis,-41.772759,-2.959296
Cassytha filiformis,-38.708288,-7.395727
Cassytha filiformis,-42.849158,-2.78711
Cassytha filiformis,-43.011058,-16.946414
Cassytha filiformis,13,-13.2
Cassytha filiformis,-51.993889,-16.958611
Cassytha filiformis,-39.710238,-19.211713
Cassytha filiformis,-39.868611,-19.634444
Cassytha filiformis,-46.801111,-1.071833
Cassytha filiformis,-39.868611,-19.634444
Cassytha filiformis,-50.984029,2.491367
Cassytha filiformis,-60.441435,4.213566
Cassytha filiformis,-47.331389,-13.868333
Cassytha filiformis,-40.518661,-2.8358
Cassytha filiformis,-44.568333,-2.074167
Cassytha filiformis,-47.331388,-13.868333
Cassytha filiformis,-45.469444,-22.704722
Cassytha filiformis,-39.008481,-14.374053
Cassytha filiformis,-51.414667,0.670227
Cassytha filiformis,-38.709119,-3.881361
Cassytha filiformis,-39.055302,-3.412475
Cassytha filiformis,-47.809479,-15.795876
Cassytha filiformis,-47.809479,-15.795876
Cassytha filiformis,-41.906667,-13.541111
Cassytha filiformis,-45.995,-9.904444
Cassytha filiformis,-45.995,-9.904444
Cassytha filiformis,-53.288055,-18.250556
Cassytha filiformis,-47.523611,-15.555
Cassytha filiformis,-35.053088,-6.984917
Cassytha filiformis,-48.963208,-15.711232
Cassytha filiformis,-35.223515,-5.930694
Cassytha filiformis,-39.864167,-19.053611
Cassytha filiformis,-51.999722,-16.818611
Cassytha filiformis,-39.962703,-19.2099
Cassytha filiformis,-38.485539,-3.798901
Cassytha filiformis,-37.584444,-11.776944
Cassytha filiformis,-46.128333,-1.479722
Cassytha filiformis,-46.095556,-1.554444
Cassytha filiformis,-38.470796,-3.831286
Cassytha filiformis,-39.866944,-19.076111
Cassytha filiformis,-37.584444,-11.776944
Cassytha filiformis,-39.222222,-17.319167
Cassytha filiformis,-35.146681,-8.893926
Cassytha filiformis,-34.848646,-7.851995
Cassytha filiformis,-35.296385,-5.951335
Cassytha filiformis,-47.898333,-15.944444
Cassytha filiformis,-35.867778,-9.788889
Cassytha filiformis,-36.788936,-10.575528
Cassytha filiformis,-36.811936,-10.621828
Cassytha filiformis,-36.811925,-10.634956
Cassytha filiformis,-40.397611,-10.432152
Cassytha filiformis,-36.811944,-10.635
Cassytha filiformis,-35.360278,-5.937222
Cassytha filiformis,-47.193684,-23.548165
Cassytha filiformis,-57.959083,-17.081639
Cassytha filiformis,-45.810556,-10.169722
Cassytha filiformis,-45.810556,-10.169722
Cassytha filiformis,-48.964347,-15.715069
Cassytha filiformis,-48.961121,-15.711669
Cassytha filiformis,-39.751155,-18.945103
Cassytha filiformis,-40.963014,-2.882784
Cassytha filiformis,-45,-12
Cassytha filiformis,-42.589444,-22.932778
Cassytha filiformis,-47.034722,-10.6925
Cassytha filiformis,-52.265556,-20.624167
Cassytha filiformis,-47.034722,-10.6925
Cassytha filiformis,-41.133666,-10.138161
Cassytha filiformis,-47.894722,-14.2275
Cassytha filiformis,-47.906111,-15.763333
Cassytha filiformis,-40.807222,-20.95
Cassytha filiformis,-47.906111,-15.763333
Cassytha filiformis,-47.906111,-15.763333
Cassytha filiformis,-40.807222,-20.95
Cassytha filiformis,-47.906111,-15.763333
Cassytha filiformis,-39.023621,-16.282503
Cassytha filiformis,-42.353719,-22.903923
Cassytha filiformis,-61.63528,0.78917
Cassytha filiformis,-61.635278,0.789167
Cassytha filiformis,-38.574966,-3.745387
Cassytha filiformis,-47.837197,-15.877597
Cassytha filiformis,-47.875833,-15.9225
Cassytha filiformis,-47.875833,-15.9225
Cassytha filiformis,-47.545,-14.103889
Cassytha filiformis,-41.527356,-2.912345
Cassytha filiformis,-47.775863,-15.845547
Cassytha filiformis,-54.97895,-2.525923
Cassytha filiformis,-54.976707,-2.525038
Cassytha filiformis,-39.793889,-18.694167
Cassytha filiformis,-39.470556,-7.471111
Cassytha filiformis,-39.470556,-7.337778
Cassytha filiformis,-40.409736,-9.358336
Cassytha filiformis,-52.253333,-16.6375
