Species,decimalLongitude,decimalLatitude
Casuarina equisetifolia,-47.532275,-24.738108
Casuarina equisetifolia,-43.222546,-22.905195
Casuarina equisetifolia,-38.941347,-6.754144
Casuarina equisetifolia,-42.385083,-22.934456
Casuarina equisetifolia,-48.846667,-26.336111
Casuarina equisetifolia,-41.024955,-21.69447
Casuarina equisetifolia,-48.496903,-27.702812
Casuarina equisetifolia,-48.658463,-28.193499
Casuarina equisetifolia,-41.026339,-21.620911
Casuarina equisetifolia,-48.416942,-27.522867
Casuarina equisetifolia,-49.786017,-29.41836
Casuarina equisetifolia,-42.041667,-22.930278
Casuarina equisetifolia,-39.748333,-18.766389
Casuarina equisetifolia,-48.665376,-28.18048
Casuarina equisetifolia,-44.479596,-23.004828
Casuarina equisetifolia,-42.353719,-22.903923
Casuarina equisetifolia,-49.241667,-25.4425
Casuarina equisetifolia,-49.999004,-29.729033
Casuarina equisetifolia,-42.3536,-22.901815
Casuarina equisetifolia,-49.790119,-26.120999
Casuarina equisetifolia,-42.250556,-22.926667
Casuarina equisetifolia,-35.234444,-5.866944
Casuarina equisetifolia,-35.234444,-5.866944
Casuarina equisetifolia,-39.163333,-7.489167
Casuarina equisetifolia,-48.633889,-28.111667
Casuarina equisetifolia,-48.633889,-28.111667
Casuarina equisetifolia,-38.780556,-3.610556
Casuarina equisetifolia,-38.774167,-3.612778
Casuarina equisetifolia,-38.762778,-3.614722
Casuarina equisetifolia,-38.773056,-3.614167
Casuarina equisetifolia,-38.763889,-3.612222
Casuarina equisetifolia,-38.780556,-3.610556
Casuarina equisetifolia,-38.774167,-3.612778
Casuarina equisetifolia,-38.772778,-3.611389
Casuarina equisetifolia,-38.764167,-3.613611
Casuarina equisetifolia,-38.763333,-3.614167
Casuarina equisetifolia,-38.775,-3.620556
Casuarina equisetifolia,-38.762778,-3.614722
Casuarina equisetifolia,-38.780278,-3.610556
Casuarina equisetifolia,-38.773056,-3.614167
Casuarina equisetifolia,-38.771944,-3.611667
Casuarina equisetifolia,-38.763889,-3.612222
Casuarina equisetifolia,-38.764722,-3.6125
Casuarina equisetifolia,-38.752222,-3.621667
Casuarina equisetifolia,-38.772222,-3.615
Casuarina equisetifolia,-38.771111,-3.615556
Casuarina equisetifolia,-37.048889,-10.9725
Casuarina equisetifolia,-41.233333,-15.483333
Casuarina equisetifolia,-41.233333,-15.483333
Casuarina equisetifolia,-49.2418,-25.44278
Casuarina equisetifolia,-39,-14.1
Casuarina equisetifolia,-39,-14.1
Casuarina equisetifolia,-49.117778,-25.383222
Casuarina equisetifolia,-48.628889,-26.945278
Casuarina equisetifolia,-48.628889,-26.945278
Casuarina equisetifolia,-48.628889,-26.945278
Casuarina equisetifolia,-48.827722,-28.440111
Casuarina equisetifolia,-49.242111,-25.44275
Casuarina equisetifolia,-49.117583,-25.383472
Casuarina equisetifolia,-49.117611,-25.383194
Casuarina equisetifolia,-37.071667,-10.911111
Casuarina equisetifolia,-37.071667,-10.911111
Casuarina equisetifolia,-48.5275,-27.7175
Casuarina equisetifolia,-48.5275,-27.7175
Casuarina equisetifolia,-48.5275,-27.7175
Casuarina equisetifolia,-48.83,-28.053889
