scientific_name,decimalLongitude,decimalLatitude
Catathyridium jenynsii,-54.22,-24.868056
Catathyridium jenynsii,-53.2325,-22.749167
Catathyridium jenynsii,-52.248912,-31.877535
Catathyridium jenynsii,-54.5718,-25.592067
Catathyridium jenynsii,-53.552778000000004,-22.826111
Catathyridium jenynsii,-56.655556,-29.424722
Catathyridium jenynsii,-56.754165,-29.410556
Catathyridium jenynsii,-53.891364,-27.16169
Catathyridium jenynsii,-54.220833,-24.898333
Catathyridium jenynsii,-52.165278,-22.601472
Catathyridium jenynsii,-53.2585,-22.767
Catathyridium jenynsii,-56.164167,-28.570833
Catathyridium jenynsii,-54.357778,-24.827778
Catathyridium jenynsii,-52.158289,-22.593475
Catathyridium jenynsii,-52.158289,-22.593475
Catathyridium jenynsii,-52.158889,-22.606944
Catathyridium jenynsii,-52.158889,-22.606944
Catathyridium jenynsii,-53.522778,-22.786944
Catathyridium jenynsii,-53.223418,-22.749641
Catathyridium jenynsii,-53.6491,-22.9867
Catathyridium jenynsii,-52.872222,-22.600278
Catathyridium jenynsii,-52.872222,-22.600278
Catathyridium jenynsii,-54.55,-25.433333
Catathyridium jenynsii,-53.568889,-20.29
Catathyridium jenynsii,-52.872222,-22.600278
Catathyridium jenynsii,-57.1,-29.766667
Catathyridium jenynsii,-54.060833,-24.926944
Catathyridium jenynsii,-53.257778,-22.765278
Catathyridium jenynsii,-55.9,-16.33
Catathyridium jenynsii,-55.966563,-16.196601
Catathyridium jenynsii,-57.018056,-19.576667
Catathyridium jenynsii,-57.018056,-19.576667
Catathyridium jenynsii,-55.9,-16.33
Catathyridium jenynsii,-54.326944,-25.215
Catathyridium jenynsii,-52.872222,-22.600278
Catathyridium jenynsii,-52.872222,-22.600278
Catathyridium jenynsii,-55.952778,-16.333889
Catathyridium jenynsii,-56.549999,-29.116667
Catathyridium jenynsii,-53.349445,-22.79139
Catathyridium jenynsii,-53.349445,-22.79139
Catathyridium jenynsii,-53.349445,-22.79139
Catathyridium jenynsii,-53.349445,-22.79139
Catathyridium jenynsii,-53.349445,-22.79139
Catathyridium jenynsii,-53.349445,-22.79139
Catathyridium jenynsii,-53.349445,-22.79139
Catathyridium jenynsii,-53.349445,-22.79139
Catathyridium jenynsii,-53.349445,-22.79139
Catathyridium jenynsii,-53.35,-22.79
Catathyridium jenynsii,-53.35,-22.79
Catathyridium jenynsii,-53.35,-22.79
Catathyridium jenynsii,-53.35,-22.79
Catathyridium jenynsii,-53.35,-22.79
Catathyridium jenynsii,-53.35,-22.79
Catathyridium jenynsii,-53.35,-22.79
Catathyridium jenynsii,-53.35,-22.79
Catathyridium jenynsii,-53.35,-22.79
Catathyridium jenynsii,-53.27275,-22.769111
Catathyridium jenynsii,-53.27275,-22.769111
Catathyridium jenynsii,-54.916668,-29.766666
Catathyridium jenynsii,-57.686111,-19.010278
Catathyridium jenynsii,-54.35,-24.85
Catathyridium jenynsii,-55.209721,-30.791945
Catathyridium jenynsii,-54.470001,-29.665556
Catathyridium jenynsii,-56.183333,-21.216667
Catathyridium jenynsii,-56.183333,-21.216667
Catathyridium jenynsii,-56.055,-19.619444
Catathyridium jenynsii,-56.82,-29.498333
Catathyridium jenynsii,-54.3,-24.483333
Catathyridium jenynsii,-54.920555,-30.250278
Catathyridium jenynsii,-56.843613,-29.504168
Catathyridium jenynsii,-56.843613,-29.504168
Catathyridium jenynsii,-53.266944,-22.771944
Catathyridium jenynsii,-54.549414,-25.436692
Catathyridium jenynsii,-54.538331,-25.421383
Catathyridium jenynsii,-54.359578,-24.877169
Catathyridium jenynsii,-55.183334,-28.049999
Catathyridium jenynsii,-55.400002,-28.049999
Catathyridium jenynsii,-54.339686,-24.821903
Catathyridium jenynsii,-55.183334,-28.049999
Catathyridium jenynsii,-55.183334,-28.049999
Catathyridium jenynsii,-55.049999,-30.666666
Catathyridium jenynsii,-54.133335,-31.533333
Catathyridium jenynsii,-54.451744,-25.241633
Catathyridium jenynsii,-54.338889,-24.821078
Catathyridium jenynsii,-55.183333,-28.05
Catathyridium jenynsii,-57.1,-29.766667
Catathyridium jenynsii,-54.4,-24.866667
Catathyridium jenynsii,-54.4,-24.866667
Catathyridium jenynsii,-57.099998,-29.766666
Catathyridium jenynsii,-54.4,-24.866667
Catathyridium jenynsii,-54.683334,-29.816668
Catathyridium jenynsii,-56,-15.916667
Catathyridium jenynsii,-56.05,-12.883333
Catathyridium jenynsii,-54.316667,-24.166667
Catathyridium jenynsii,-56.85142,-29.506432
Catathyridium jenynsii,-70.25,-7.5
Catathyridium jenynsii,-68.75,-9.333333
Catathyridium jenynsii,-52.16,-22.639
Catathyridium jenynsii,-57.63498,-18.995405
