Species,decimalLongitude,decimalLatitude
Cenchrus purpureus,-41.22,-14.58
Cenchrus purpureus,-40.86,-14.22
Cenchrus purpureus,-49.287469,-26.814264
Cenchrus purpureus,-47.854302,-15.708905
Cenchrus purpureus,-48.664597,-27.0358
Cenchrus purpureus,-40.971111,-3.688889
Cenchrus purpureus,-39.344522,-8.181431
Cenchrus purpureus,-39.186015,-8.094358
Cenchrus purpureus,-48.490967,-27.593657
Cenchrus purpureus,-46.57069,-22.747293
Cenchrus purpureus,-48.99164,-27.081082
Cenchrus purpureus,-47.980964,-15.9117
Cenchrus purpureus,-38.457704,-6.984637
Cenchrus purpureus,-38.453152,-6.967056
Cenchrus purpureus,-49.423397,-28.646703
Cenchrus purpureus,-38.645752,-6.808711
Cenchrus purpureus,-38.62059,-6.801076
Cenchrus purpureus,-38.589554,-6.911454
Cenchrus purpureus,-48.633151,-27.988676
Cenchrus purpureus,-38.564346,-7.036679
Cenchrus purpureus,-47.88673,-21.971963
Cenchrus purpureus,-39.210278,-13.203333
Cenchrus purpureus,-38.648563,-6.559915
Cenchrus purpureus,-49.44783,-28.737648
Cenchrus purpureus,-49.285872,-26.804192
Cenchrus purpureus,-38.477347,-6.879721
Cenchrus purpureus,-45.650511,-22.825345
Cenchrus purpureus,-45.657542,-22.765291
Cenchrus purpureus,-45.694474,-22.769856
Cenchrus purpureus,-45.672743,-22.766133
Cenchrus purpureus,-46.713962,-21.92959
Cenchrus purpureus,-46.710753,-21.929468
Cenchrus purpureus,-38.295789,-6.484547
Cenchrus purpureus,-38.460983,-6.89537
Cenchrus purpureus,-45.969444,-14.373889
Cenchrus purpureus,-38.709248,-6.911361
Cenchrus purpureus,-38.799586,-6.915153
Cenchrus purpureus,-38.704036,-6.86479
Cenchrus purpureus,-35.223515,-5.930694
Cenchrus purpureus,-49.193992,-26.901128
Cenchrus purpureus,-38.564346,-7.036679
Cenchrus purpureus,-39.210278,-13.203333
Cenchrus purpureus,-47.863333,-15.711667
Cenchrus purpureus,-47.052547,-23.049969
Cenchrus purpureus,-47.87361,-21.982356
Cenchrus purpureus,-46.509012,-23.468647
Cenchrus purpureus,-47.376792,-23.465967
Cenchrus purpureus,-46.977488,-23.506778
Cenchrus purpureus,-46.98838,-22.572974
Cenchrus purpureus,-39.564958,-7.081664
Cenchrus purpureus,-48.641864,-26.295277
Cenchrus purpureus,-47.387354,-20.284001
Cenchrus purpureus,-47.457638,-20.254798
Cenchrus purpureus,-47.903448,-21.797982
Cenchrus purpureus,-47.860749,-21.389764
Cenchrus purpureus,-47.778373,-21.227225
Cenchrus purpureus,-45.669109,-23.655369
Cenchrus purpureus,-45.697765,-23.618741
Cenchrus purpureus,-48.563611,-24.289722
Cenchrus purpureus,-48.563861,-24.28975
Cenchrus purpureus,-48.563861,-24.28975
Cenchrus purpureus,-48.563861,-24.28975
Cenchrus purpureus,-48.563861,-24.28975
Cenchrus purpureus,-37.261656,-8.181567
Cenchrus purpureus,-37.243297,-8.215453
Cenchrus purpureus,-39.004161,-7.709017
Cenchrus purpureus,-40.067622,-19.194297
Cenchrus purpureus,-49.235869,-25.446784
Cenchrus purpureus,-49.146519,-25.32657
Cenchrus purpureus,-38.657769,-6.974431
Cenchrus purpureus,-38.657769,-6.974431
Cenchrus purpureus,-38.626244,-6.999264
Cenchrus purpureus,-38.604108,-7.031939
Cenchrus purpureus,-38.678575,-6.862146
Cenchrus purpureus,-48.42,-21.42
Cenchrus purpureus,-50.256083,-29.889818000000002
Cenchrus purpureus,-40.238061,-10.254736
Cenchrus purpureus,-49.11118,-25.395988
Cenchrus purpureus,-46,-23
Cenchrus purpureus,-47.924695,-15.733872
Cenchrus purpureus,-52.225833,-31.778611
Cenchrus purpureus,-49.275833,-26.36
Cenchrus purpureus,-49.275833,-26.36
Cenchrus purpureus,-49.275833,-26.36
Cenchrus purpureus,-40.207879,-10.39348
Cenchrus purpureus,-43.674167,-19.989444
Cenchrus purpureus,-40.544722,-13.545278
Cenchrus purpureus,-52.405278,-24.016667
Cenchrus purpureus,-52.405278,-24.016667
Cenchrus purpureus,-61.3,-5.831389
Cenchrus purpureus,-52.405361,-24.016667
Cenchrus purpureus,-40.544722,-13.545278
Cenchrus purpureus,-52.405278,-24.016667
Cenchrus purpureus,-61.3,-5.831389
Cenchrus purpureus,-52.097222,-29.376389
Cenchrus purpureus,-43.225833,-20.306111
Cenchrus purpureus,-43.064444,-20.2875
Cenchrus purpureus,-43.064444,-20.2875
Cenchrus purpureus,-49.978056,-6.277222
Cenchrus purpureus,-49.978056,-6.277222
Cenchrus purpureus,-49.036944,-26.773333
Cenchrus purpureus,-49.036944,-26.773333
Cenchrus purpureus,-41.933333,-14.533333
Cenchrus purpureus,-49.332778,-26.614444
Cenchrus purpureus,-49.332778,-26.614444
Cenchrus purpureus,-54.755556,-19.1725
Cenchrus purpureus,-54.755556,-19.1725
Cenchrus purpureus,-54.755556,-19.1725
Cenchrus purpureus,-37.832778,-5.593333
Cenchrus purpureus,-37.832778,-5.593333
Cenchrus purpureus,-51.66,-23.58
Cenchrus purpureus,-51.66,-23.58
Cenchrus purpureus,-53.845556,-25.153056
Cenchrus purpureus,-51.66,-23.58
Cenchrus purpureus,-51.66,-23.58
Cenchrus purpureus,-53.845583,-25.152972
Cenchrus purpureus,-49.2391,-25.447
Cenchrus purpureus,-48.524722,-27.685
Cenchrus purpureus,-50.27,-29.9125
Cenchrus purpureus,-53.28,-25.02
Cenchrus purpureus,-53.28,-25.02
Cenchrus purpureus,-53.28,-25.02
Cenchrus purpureus,-48.524722,-27.685
Cenchrus purpureus,-50.27,-29.9125
Cenchrus purpureus,-53.28,-25.02
Cenchrus purpureus,-50.269886,-29.912386
Cenchrus purpureus,-50.27,-29.9125
Cenchrus purpureus,-47.506944,-22.348333
Cenchrus purpureus,-51.952222,-24.375833
Cenchrus purpureus,-51.952222,-24.375833
Cenchrus purpureus,-51.95225,-24.375806
Cenchrus purpureus,-48.510278,-27.729444
Cenchrus purpureus,-48.680833,-28.104722
Cenchrus purpureus,-38.973889,-4.208333
Cenchrus purpureus,-38.973889,-4.208333
Cenchrus purpureus,-38.973889,-4.208333
Cenchrus purpureus,-59.988056,-3.098611
Cenchrus purpureus,-37.366667,-10.583333
Cenchrus purpureus,-37.366667,-10.583333
Cenchrus purpureus,-34.857778,-7.135556
Cenchrus purpureus,-38.730444,-8.410194
Cenchrus purpureus,-48.123611,-15.950556
Cenchrus purpureus,-48.123611,-15.950555
Cenchrus purpureus,-48.149722,-15.742222
Cenchrus purpureus,-48.149722,-15.742222
Cenchrus purpureus,-48.123611,-15.950556
Cenchrus purpureus,-48.123611,-15.950555
Cenchrus purpureus,-53.565,-22.888611
Cenchrus purpureus,-53.564861,-22.888528
Cenchrus purpureus,-49.049167,-26.927778
Cenchrus purpureus,-49.049167,-26.927778
Cenchrus purpureus,-43.866389,-19.839444
Cenchrus purpureus,-47.18,-22.236111
Cenchrus purpureus,-43.302778000000004,-20.230833
Cenchrus purpureus,-48.527222,-27.627778
Cenchrus purpureus,-51.921667,-29.413611
Cenchrus purpureus,-51.953889,-29.606667
Cenchrus purpureus,-38.465278,-12.770556
Cenchrus purpureus,-44.286944,-21.0475
Cenchrus purpureus,-38.465278,-12.770556
Cenchrus purpureus,-49.120556,-25.3795
Cenchrus purpureus,-49.1205,-25.380722
Cenchrus purpureus,-49.1205,-25.380722
Cenchrus purpureus,-49.120556,-25.3795
Cenchrus purpureus,-49.120556,-25.3795
Cenchrus purpureus,-52.398611,-28.227222
Cenchrus purpureus,-43.341389,-18.121111
Cenchrus purpureus,-50.133028,-25.062889
Cenchrus purpureus,-43.570556,-18.203056
Cenchrus purpureus,-46.941667,-23.943889
Cenchrus purpureus,-46.941667,-23.827222
Cenchrus purpureus,-49.118556,-25.385361
Cenchrus purpureus,-49.118611,-25.385278
Cenchrus purpureus,-53.648722,-22.912917
Cenchrus purpureus,-54.783333,-22.246111
Cenchrus purpureus,-41.338056,-11.490278
Cenchrus purpureus,-41.338056,-11.490278
Cenchrus purpureus,-41.417222,-2.928056
Cenchrus purpureus,-41.338056,-11.490278
Cenchrus purpureus,-57.727222,-19.153611
Cenchrus purpureus,-43.0225,-22.922778
Cenchrus purpureus,-54.968056,-20.968889
Cenchrus purpureus,-48.511111,-22.8375
Cenchrus purpureus,-52.309444,-24.207778
Cenchrus purpureus,-51.717222,-17.923056
Cenchrus purpureus,-51.717222,-17.923056
Cenchrus purpureus,-48.511111,-22.8375
Cenchrus purpureus,-52.309528,-24.207889
Cenchrus purpureus,-53.259297,-22.756036
Cenchrus purpureus,-52.309528,-24.207889
Cenchrus purpureus,-51.717222,-17.923056
Cenchrus purpureus,-51.717222,-17.923055
Cenchrus purpureus,-48.511111,-22.8375
Cenchrus purpureus,-57.613056,-19.2975
Cenchrus purpureus,-57.613028,-19.297417
Cenchrus purpureus,-47.039167,-22.876944
Cenchrus purpureus,-57.613028,-19.297417
Cenchrus purpureus,-47.039167,-22.876944
Cenchrus purpureus,-34.948611,-8.007778
Cenchrus purpureus,-34.948667,-8.007667
Cenchrus purpureus,-49.122306,-25.3815
Cenchrus purpureus,-38.41,-6.398056
Cenchrus purpureus,-38.243611,-6.235278
Cenchrus purpureus,-38.243611,-6.235278
Cenchrus purpureus,-38.41,-6.398056
Cenchrus purpureus,-43.470833,-9.208611
Cenchrus purpureus,-46.734722,-23.674889
Cenchrus purpureus,-47.716667,-21.183333
Cenchrus purpureus,-47.85,-21.15
Cenchrus purpureus,-49.849722,-29.369444
Cenchrus purpureus,-51.020278,-30.071389
Cenchrus purpureus,-54.725278,-20.443611
Cenchrus purpureus,-52.3275,-24.103333
Cenchrus purpureus,-52.327444,-24.10325
Cenchrus purpureus,-52.327444,-24.10325
Cenchrus purpureus,-53.948462,-28.392062
Cenchrus purpureus,-48.908333,-26.912222
Cenchrus purpureus,-48.908406,-26.912117
Cenchrus purpureus,-46.935778,-23.230278
Cenchrus purpureus,-48.908333,-26.912222
Cenchrus purpureus,-40.800278,-4.128056
Cenchrus purpureus,-43.915972,-19.891611
Cenchrus purpureus,-46.681667,-0.914167
Cenchrus purpureus,-36.896111,-8.587222
Cenchrus purpureus,-36.896111,-8.587083
Cenchrus purpureus,-47.875278,-15.941944
Cenchrus purpureus,-39.565278,-15.391667
Cenchrus purpureus,-47.875278,-15.941944
Cenchrus purpureus,-39.565278,-15.391667
Cenchrus purpureus,-39.5653,-15.3917
Cenchrus purpureus,-37.255833,-6.581667
Cenchrus purpureus,-39.565278,-15.391667
Cenchrus purpureus,-39.56527,-15.39166
Cenchrus purpureus,-37.255833,-6.581667
Cenchrus purpureus,-37.255833,-6.581667
Cenchrus purpureus,-37.255833,-6.581667
Cenchrus purpureus,-48.908333,-26.912222
Cenchrus purpureus,-48.908333,-26.912222
Cenchrus purpureus,-47.554167,-15.433611
Cenchrus purpureus,-47.554167,-15.433611
Cenchrus purpureus,-47.928333,-15.726944
Cenchrus purpureus,-46.946805,-17.376083
Cenchrus purpureus,-52.381111,-24.041111
Cenchrus purpureus,-52.381111,-24.041111
Cenchrus purpureus,-39.565278,-15.558333
Cenchrus purpureus,-39.565278,-15.391667
Cenchrus purpureus,-39.565278,-15.391667
Cenchrus purpureus,-41.15,-11.55
Cenchrus purpureus,-41.15,-11.55
Cenchrus purpureus,-41.15,-11.55
Cenchrus purpureus,-41.383333,-12.55
Cenchrus purpureus,-41.383333,-12.55
Cenchrus purpureus,-41.383333,-12.55
Cenchrus purpureus,-41.383333,-12.55
Cenchrus purpureus,-51.872778,-29.392778
Cenchrus purpureus,-54.676944,-20.423889
Cenchrus purpureus,-45.793056,-12.076389
Cenchrus purpureus,-45.793056,-12.076389
Cenchrus purpureus,-45.793056,-12.076389
Cenchrus purpureus,-44.983333,-12.15
Cenchrus purpureus,-37.145833,-9.232222
Cenchrus purpureus,-37.145833,-9.232222
Cenchrus purpureus,-37.145833,-9.232222
Cenchrus purpureus,-45.200556,-12.4925
Cenchrus purpureus,-44.983333,-12.15
Cenchrus purpureus,-42.331944,-16.176667
Cenchrus purpureus,-42.331944,-16.176667
Cenchrus purpureus,-35.95,-9.255833
Cenchrus purpureus,-36.583333,-9.432869
Cenchrus purpureus,-42.331944,-16.176667
Cenchrus purpureus,-41.15,-11.55
Cenchrus purpureus,-43.2667,-11.55
Cenchrus purpureus,-48.26,-1.255556
Cenchrus purpureus,-43.266667,-11.55
Cenchrus purpureus,-43.266667,-11.266667
Cenchrus purpureus,-43.266667,-11.55
Cenchrus purpureus,-43.266667,-11.55
Cenchrus purpureus,-43.266667,-11.55
Cenchrus purpureus,-39.278611,-13.836667
Cenchrus purpureus,-39.278611,-13.836667
Cenchrus purpureus,-42.497778,-22.536111
Cenchrus purpureus,-42.405556,-22.355278
Cenchrus purpureus,-44.563333,-22.496111
Cenchrus purpureus,-39.278611,-13.836667
Cenchrus purpureus,-47.565,-15.505556
Cenchrus purpureus,-47.565,-15.505556
Cenchrus purpureus,-45.581111,-11.5775
Cenchrus purpureus,-45.581111,-11.994167
Cenchrus purpureus,-47.947222,-15.848611
Cenchrus purpureus,-51.1525,-29.305
Cenchrus purpureus,-47.565,-15.505
Cenchrus purpureus,-47.565,-15.505
Cenchrus purpureus,-47.947222,-15.847222
Cenchrus purpureus,-47.947222,-15.847222
Cenchrus purpureus,-47.947222,-15.847222
Cenchrus purpureus,-47.947222,-15.847222
Cenchrus purpureus,-47.947222,-15.847222
Cenchrus purpureus,-40.809722,-12.22
Cenchrus purpureus,-46.730556,-23.562222
Cenchrus purpureus,-36.120278,-8.843333
Cenchrus purpureus,-36.200772,-9.409258
Cenchrus purpureus,-49.380556,-20.81
Cenchrus purpureus,-41.420556,-12.461111
Cenchrus purpureus,-41.420556,-12.461111
Cenchrus purpureus,-35.833333,-8.8
Cenchrus purpureus,-49.380556,-20.81
Cenchrus purpureus,-42.716667,-10.716667
Cenchrus purpureus,-42.716667,-10.8
Cenchrus purpureus,-42.716667,-10.8
Cenchrus purpureus,-35.070833,-8.494444
Cenchrus purpureus,-35.070694,-8.494444
Cenchrus purpureus,-41.420556,-12.461111
Cenchrus purpureus,-48.661667,-26.908056
Cenchrus purpureus,-48.661667,-26.908056
Cenchrus purpureus,-48.6622617,-26.9120048
Cenchrus purpureus,-40.42,-13.42
Cenchrus purpureus,-47.886389,-1.558889
Cenchrus purpureus,-47.886388,-15.59222
Cenchrus purpureus,-46.7742004,-23.6629779
Cenchrus purpureus,-47.06,-22.9
Cenchrus purpureus,-55.198889,-28.044722
Cenchrus purpureus,-42.016667,-20.716667
Cenchrus purpureus,-63.45,-12.066667
Cenchrus purpureus,-46.63,-23.540278
Cenchrus purpureus,-46.6304064,-23.5441636
Cenchrus purpureus,-38.316667,-12.883333
Cenchrus purpureus,-38.316667,-12.883333
Cenchrus purpureus,-38.316667,-12.883333
Cenchrus purpureus,-56.833333,-16.816667
Cenchrus purpureus,-40.722222,-9.611112
Cenchrus purpureus,-40.584444,-19.942639
Cenchrus purpureus,-40.433333,-9.366667
Cenchrus purpureus,-40.722222,-9.611112
Cenchrus purpureus,-49.431667,-28.595833
Cenchrus purpureus,-49.431667,-28.595833
Cenchrus purpureus,-40.601944,-19.906111
Cenchrus purpureus,-40.601944,-19.906111
Cenchrus purpureus,-40.510556,-19.823611
Cenchrus purpureus,-40.510556,-19.823611
Cenchrus purpureus,-54.621667,-20.475833
Cenchrus purpureus,-43.2075,-22.903056
Cenchrus purpureus,-43.2075,-22.903056
Cenchrus purpureus,-43.2076685,-22.9069598
Cenchrus purpureus,-57.648889,-19.006111
Cenchrus purpureus,-47.436389,-19.863333
Cenchrus purpureus,-43.2075,-22.903056
Cenchrus purpureus,-43.2075,-22.903056
Cenchrus purpureus,-43.2076685,-22.9069598
Cenchrus purpureus,-39.25,-14.25
Cenchrus purpureus,-39.25,-14.25
Cenchrus purpureus,-47.887778,-15.793889
Cenchrus purpureus,-63.166667,-7.516667
Cenchrus purpureus,-54.549722,-25.577778
Cenchrus purpureus,-54.549722,-25.577778
Cenchrus purpureus,-54.174444,-24.040833
Cenchrus purpureus,-38.95,-12.25
Cenchrus purpureus,-38.95,-12.25
Cenchrus purpureus,-38.966667,-12.966667
Cenchrus purpureus,-38.966667,-12.25
Cenchrus purpureus,-47.887778,-15.793889
Cenchrus purpureus,-47.887778,-15.793889
Cenchrus purpureus,-47.75,-15.75
Cenchrus purpureus,-47.75,-15.75
Cenchrus purpureus,-36.425828,-9.806472
Cenchrus purpureus,-63.166667,-7.516667
Cenchrus purpureus,-56.6228,-16.2567
Cenchrus purpureus,-56.616667,-16.416667
Cenchrus purpureus,-60.49102,2.895917
Cenchrus purpureus,-48.670833,-26.910556
Cenchrus purpureus,-48.670833,-26.910556
Cenchrus purpureus,-48.670833,-26.910556
Cenchrus purpureus,-48.670833,-26.910556
Cenchrus purpureus,-51.328056,-30.101167
