Species,decimalLongitude,decimalLatitude
Cenchrus setaceus,-52.076958,-28.65258
Cenchrus setaceus,-50.859522,-29.366012
Cenchrus setaceus,-47.885337,-15.743235
Cenchrus setaceus,-48.47631,-25.6758
Cenchrus setaceus,-48.279444,-24.403333
Cenchrus setaceus,-47.645556,-15.758889
Cenchrus setaceus,-47.645555,-15.758888
Cenchrus setaceus,-45.418333,-15.468333
Cenchrus setaceus,-46.062222,-15.291111
Cenchrus setaceus,-45.418258,-15.468422
Cenchrus setaceus,-46.062222,-15.291111
Cenchrus setaceus,-45.418333,-15.468333
