scientific_name,decimalLongitude,decimalLatitude
Centella asiatica,-48.62547,-26.96257
Centella asiatica,-50.519944,-29.846256
Centella asiatica,-47.100597,-22.863929
Centella asiatica,-43.967147,-19.86662
Centella asiatica,-49.279652,-25.298501
Centella asiatica,-48.992078,-25.574556
Centella asiatica,-43.543988,-19.580699
Centella asiatica,-49.078778,-26.905918
Centella asiatica,-43.160521,-22.434763
Centella asiatica,-43.16196,-22.435584
Centella asiatica,-49.287469,-26.814264
Centella asiatica,-49.015762,-25.38498
Centella asiatica,-49.015727,-25.384956
Centella asiatica,-48.888434,-27.041162
Centella asiatica,-46.637076,-23.448243
Centella asiatica,-49.21102,-26.759791
Centella asiatica,-46.730248,-23.567078
Centella asiatica,-49.013527,-25.381611
Centella asiatica,-49.015011,-25.384883
Centella asiatica,-49.01533,-25.384962
Centella asiatica,-49.015758,-25.38502
Centella asiatica,-49.017727,-25.394448
Centella asiatica,-53.505393,-28.310764
Centella asiatica,-51.103871,-30.004727
Centella asiatica,-46.57069,-22.747293
Centella asiatica,-43.161366,-22.436556
Centella asiatica,-49.745895,-27.204683
Centella asiatica,-48.922329,-27.12307
Centella asiatica,-49.080357,-26.906322
Centella asiatica,-49.100281,-27.205358
Centella asiatica,-49.465272,-28.533408
Centella asiatica,-50.928081,-29.421317
Centella asiatica,-48.87357,-27.012833
Centella asiatica,-46.509125,-23.519785
Centella asiatica,-41.039066,-20.502137
Centella asiatica,-50.303801,-29.868989
Centella asiatica,-49.298981,-25.844627
Centella asiatica,-49.289739,-26.28119
Centella asiatica,-49.015342,-25.385127
Centella asiatica,-50.201192,-25.997181
Centella asiatica,-49.278553,-26.794482
Centella asiatica,-49.08065,-26.925954
Centella asiatica,-48.849155,-28.493034
Centella asiatica,-44.138508,-23.152233
Centella asiatica,-48.634692,-26.854054
Centella asiatica,-49.372295,-26.560256
Centella asiatica,-49.210288,-26.761628
Centella asiatica,-49.014502,-25.385092
Centella asiatica,-49.261175,-26.727444
Centella asiatica,-49.015836,-25.385674
Centella asiatica,-49.368864,-25.845019
Centella asiatica,-49.085278,-27.053713
Centella asiatica,-48.632359,-26.84596
Centella asiatica,-48.633693,-26.85021
Centella asiatica,-48.462222,-27.636944
Centella asiatica,-48.462222,-27.636944
Centella asiatica,-46.617474,-23.577328
Centella asiatica,-43.848333,-21.741944
Centella asiatica,-43.848333,-21.741944
Centella asiatica,-46.022942,-23.799452
Centella asiatica,-39.826111,-18.235556
Centella asiatica,-49.01533,-25.38512
Centella asiatica,-49.237244,-25.446689
Centella asiatica,-52.256006,-32.041916
Centella asiatica,-50.632411,-24.996639
Centella asiatica,-50.304902,-29.870184
Centella asiatica,-41.470556,-12.458333
Centella asiatica,-45.009983,-23.395417
Centella asiatica,-43.368462,-22.995722
Centella asiatica,-44.713927,-23.213908
Centella asiatica,-39.050758,-16.248806
Centella asiatica,-45.01399,-23.195784
Centella asiatica,-45.01399,-23.195784
Centella asiatica,-45.01399,-23.195784
Centella asiatica,-45.01399,-23.195784
Centella asiatica,-48.913889,-27.103056
Centella asiatica,-45.01399,-23.195784
Centella asiatica,-48.636944,-26.856944
Centella asiatica,-48.636944,-26.856944
Centella asiatica,-48.636944,-26.856944
Centella asiatica,-50.205367,-16.119386
Centella asiatica,-50.556036,-29.442422
Centella asiatica,-50.238906,-25.277176
Centella asiatica,-52.585372,-32.496124
Centella asiatica,-50.254041,-29.889872
Centella asiatica,-50.25749,-29.885781
Centella asiatica,-50.816667,-29.321389
Centella asiatica,-39.782222,-18.269444
Centella asiatica,-39.060638,-13.372986
Centella asiatica,-38.966667,-12.966667
Centella asiatica,-38.966667,-12.2
Centella asiatica,-40.905833,-11.557778
Centella asiatica,-40.34,-20.369722
Centella asiatica,-40.34,-20.369722
Centella asiatica,-51.398333,-29.313889
Centella asiatica,-43.424722,-20.230278
Centella asiatica,-51.398333,-29.313889
Centella asiatica,-51.401197,-29.313939
