scientific_name,decimalLongitude,decimalLatitude
Ceratium furcoides,-38.203756,-9.410103
Ceratium furcoides,-38.169189,-9.432778
Ceratium furcoides,-38.1217,-9.440306
Ceratium furcoides,-38.121547,-9.442219
Ceratium furcoides,-38.115175,-9.438292
Ceratium furcoides,-38.088133,-9.439103
Ceratium furcoides,-38.033194,-9.459053
Ceratium furcoides,-38.027342,-9.458694
Ceratium furcoides,-37.975203,-9.529508
Ceratium furcoides,-37.808839,-9.607597
Ceratium furcoides,-38.203756,-9.410103
Ceratium furcoides,-38.169189,-9.432778
Ceratium furcoides,-38.1217,-9.440306
Ceratium furcoides,-38.121547,-9.442219
Ceratium furcoides,-38.115175,-9.438292
Ceratium furcoides,-38.088133,-9.439103
Ceratium furcoides,-38.033194,-9.459053
Ceratium furcoides,-38.027342,-9.458694
Ceratium furcoides,-37.975203,-9.529508
Ceratium furcoides,-37.808839,-9.607597
Ceratium furcoides,-50.984167,-20.276389000000002
Ceratium furcoides,-46.288333,-23.579167
Ceratium furcoides,-46.288333,-23.579167
Ceratium furcoides,-46.623889,-23.638889
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
Ceratium furcoides,-51.209083,-23.334333
