scientific_name,decimalLongitude,decimalLatitude
Charax stenopterus,-52.027778,-29.411111
Charax stenopterus,-55.992397,-28.674617
Charax stenopterus,-51.755216,-28.962889
Charax stenopterus,-54.308193,-28.394982
Charax stenopterus,-57.82222,-21.84556
Charax stenopterus,-57.82222,-21.84556
Charax stenopterus,-55.009872,-28.142482
Charax stenopterus,-67.833563,-44.919313
Charax stenopterus,-51.103056,-26.250278
Charax stenopterus,-52.213028,-31.57225
Charax stenopterus,-52.05975,-30.924917
Charax stenopterus,-52.213028,-31.57225
Charax stenopterus,-52.05975,-30.924917
Charax stenopterus,-51.669167,-30.086583
Charax stenopterus,-51.867778,-29.164722
Charax stenopterus,-52.105833,-31.562778
Charax stenopterus,-54.13361,-31.272499
Charax stenopterus,-56.418888,-30.343056
Charax stenopterus,-54.121944,-31.27
Charax stenopterus,-56.306389,-30.243889
Charax stenopterus,-56.235556,-30.1625
Charax stenopterus,-51.380001,-29.066944
Charax stenopterus,-51.380001,-29.066944
Charax stenopterus,-51.884998,-29.169445
Charax stenopterus,-51.884998,-29.169445
Charax stenopterus,-54.671944,-29.471666
Charax stenopterus,-53.162224,-29.342777
Charax stenopterus,-53.426945,-30.896944
Charax stenopterus,-53.701111,-30.733334
Charax stenopterus,-53.709721,-30.740555
Charax stenopterus,-51.819167,-30.8025
Charax stenopterus,-51.0275,-29.576944
Charax stenopterus,-55.791944,-29.783056
Charax stenopterus,-54.339722,-29.641666
Charax stenopterus,-55.035278,-30.374166
Charax stenopterus,-51.865833,-30.759445
Charax stenopterus,-51.545834,-30.623888
Charax stenopterus,-52.126945,-31.377222
Charax stenopterus,-52.263054,-31.572222
Charax stenopterus,-55.147778,-29.396111
Charax stenopterus,-52.891666,-31.895277
Charax stenopterus,-51.516388,-29.026667
Charax stenopterus,-54.338333,-30.291389
Charax stenopterus,-54.525833,-30.261944
Charax stenopterus,-53.028889,-31.908611
Charax stenopterus,-50.473611,-29.801111
Charax stenopterus,-50.473611,-29.801111
Charax stenopterus,-52.771944,-29.676667
Charax stenopterus,-51.2475,-30
Charax stenopterus,-51.309167,-30.181667
Charax stenopterus,-52.75,-29.716667
Charax stenopterus,-51.837502,-27.524445
Charax stenopterus,-50.5,-29.833333
Charax stenopterus,-51.247501,-30
Charax stenopterus,-56.843613,-29.504168
Charax stenopterus,-51.299999,-30.216667
Charax stenopterus,-57.099998,-29.766666
Charax stenopterus,-57.099998,-29.766666
Charax stenopterus,-51.883335,-27.466667
Charax stenopterus,-55.183334,-28.049999
Charax stenopterus,-55.183334,-28.049999
Charax stenopterus,-51.400002,-30.049999
Charax stenopterus,-55.049999,-30.666666
