Species,decimalLongitude,decimalLatitude
Charybdis hellerii,-41.037097,-21.462438
Charybdis hellerii,-41.036806,-21.462908
Charybdis hellerii,-45.11864,-23.499304
Charybdis hellerii,-45.11864,-23.499277
Charybdis hellerii,-45.118678,-23.499327
Charybdis hellerii,-46.352408,-23.970992
Charybdis hellerii,-38.132206,-4.12717
Charybdis hellerii,-46.352338,-23.973166
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-38.518826,-12.760307
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
Charybdis hellerii,-54.355206,-11.524631
