Species,decimalLongitude,decimalLatitude
Christella dentata,-47.185671,-23.073834
Christella dentata,-49.287174,-26.806921
Christella dentata,-49.374643,-26.213125
Christella dentata,-46.680365,-23.571669
Christella dentata,-48.924175,-26.912843
Christella dentata,-49.078778,-26.904697
Christella dentata,-48.897567,-27.128392
Christella dentata,-49.282857,-26.823246
Christella dentata,-49.2676,-26.829187
Christella dentata,-46.729647,-23.565822
Christella dentata,-46.72968,-23.565966
Christella dentata,-47.546111,-22.394583
Christella dentata,-47.546111,-22.394583
Christella dentata,-47.546111,-22.394583
Christella dentata,-47.54575,-22.394583
Christella dentata,-47.54575,-22.394583
Christella dentata,-47.548111,-22.396694
Christella dentata,-47.548111,-22.396694
Christella dentata,-47.548694,-22.396917
Christella dentata,-46.486106,-23.80882
Christella dentata,-46.486106,-23.80882
Christella dentata,-47.545056,-22.395667
Christella dentata,-47.545056,-22.395667
Christella dentata,-47.544194,-22.394472
Christella dentata,-47.543861,-22.392778
Christella dentata,-47.544722,-22.391
Christella dentata,-47.544472,-22.39075
Christella dentata,-47.544472,-22.39075
Christella dentata,-44.06799,-22.227702
Christella dentata,-49.32227,-28.590913
Christella dentata,-49.278853,-26.794538
Christella dentata,-49.013773,-25.343415
Christella dentata,-48.527643,-26.204873
Christella dentata,-51.177587,-29.980483
Christella dentata,-42.638916,-21.530739
Christella dentata,-50.111733,-5.503704
Christella dentata,-48.873612,-27.012803
Christella dentata,-53.576518,-29.709509
Christella dentata,-41.287912,-21.762983
Christella dentata,-47.433914,-22.19388
Christella dentata,-51.186966,-30.178992
Christella dentata,-41.637183,-21.805725
Christella dentata,-41.63498,-21.810672
Christella dentata,-50.042717,-29.201769
Christella dentata,-49.078881,-26.905501
Christella dentata,-49.289554,-25.384081
Christella dentata,-49.081221,-26.90593
Christella dentata,-47.810278,-15.873333
Christella dentata,-47.810278,-15.873333
Christella dentata,-47.810278,-15.873333
Christella dentata,-47.810278,-15.873333
Christella dentata,-46.729929,-23.583427
Christella dentata,-46.729929,-23.583427
Christella dentata,-44.615207,-22.43201
Christella dentata,-44.615207,-22.43201
Christella dentata,-49.115245,-26.924795
Christella dentata,-49.251572,-25.376133
Christella dentata,-48.637713,-26.867183
Christella dentata,-48.939681,-27.120068
Christella dentata,-49.278921,-26.794102
Christella dentata,-49.048712,-26.986493
Christella dentata,-43.269358,-22.920568
Christella dentata,-49.319712,-25.330175
Christella dentata,-44.961889,-2.728389
Christella dentata,-37.34175,-10.7545
Christella dentata,-49.281206,-25.323281
Christella dentata,-51.121712,-30.073063
Christella dentata,-51.2175,-21.577222
Christella dentata,-51.2175,-21.577222
Christella dentata,-48.66149,-26.776185
Christella dentata,-48.636667,-28.121667
Christella dentata,-52.644444,-26.205278
Christella dentata,-49.234722,-25.448333
Christella dentata,-49.234722,-25.448333
Christella dentata,-53.124444,-30.798333
Christella dentata,-43.913248,-22.373799000000002
Christella dentata,-43.913248,-22.373799000000002
Christella dentata,-43.913248,-22.373799000000002
Christella dentata,-43.913248,-22.373799000000002
Christella dentata,-43.913248,-22.373799000000002
Christella dentata,-43.913248,-22.373799000000002
Christella dentata,-52.563056,-26.458333
