scientific_name,decimalLongitude,decimalLatitude
Chrysanthemum myconis,-55.242222,-30.397778
Chrysanthemum myconis,-55.242222,-30.397778
Chrysanthemum myconis,-49.246389,-25.376111
Chrysanthemum myconis,-51.943055,-29.608889
Chrysanthemum myconis,-49.233333,-25.333333
Chrysanthemum myconis,-51.173697,-29.165735
Chrysanthemum myconis,-51.015556,-30.276667
Chrysanthemum myconis,-51.178068,-30.051692
Chrysanthemum myconis,-52.3425,-31.771944
Chrysanthemum myconis,-52.3425,-31.7719
Chrysanthemum myconis,-52.3425,-31.7719
