Species,decimalLongitude,decimalLatitude
Cichla kelberi,-42.595588,-19.778537
Cichla kelberi,-49.050852,-16.148236
Cichla kelberi,-47.810286,-15.795113
Cichla kelberi,-53.251944,-22.761111
Cichla kelberi,-48.352263,-21.398845
Cichla kelberi,-47.811714,-15.796954
Cichla kelberi,-53.003956,-22.527081
Cichla kelberi,-54.549444,-25.446944
Cichla kelberi,-54.549444,-25.446944
Cichla kelberi,-53.218056,-22.724167
Cichla kelberi,-53.290556,-22.723056
Cichla kelberi,-51.878664,-22.425114
Cichla kelberi,-53.014222,-22.522778
Cichla kelberi,-45.547582,-23.316208
Cichla kelberi,-48.970169,-18.344273
Cichla kelberi,-45.509,-23.563
Cichla kelberi,-45.509,-23.563
Cichla kelberi,-54.220833,-24.898333
Cichla kelberi,-48.346944,-20.051111
Cichla kelberi,-49.769722,-3.995833
Cichla kelberi,-50.669806,-11.651
Cichla kelberi,-51.678333,-22.654167
Cichla kelberi,-53.2585,-22.767
Cichla kelberi,-54.603333,-25.449722
Cichla kelberi,-50.997111,-23.094222
Cichla kelberi,-50.997111,-23.094222
Cichla kelberi,-40.013917,-19.747278
Cichla kelberi,-42.157222,-19.033056
Cichla kelberi,-42.157222,-19.033056
Cichla kelberi,-42.121111,-19.0175
Cichla kelberi,-42.121111,-19.0175
Cichla kelberi,-51.427517,-16.498217
Cichla kelberi,-42.286111,-18.971667
Cichla kelberi,-42.286111,-18.971667
Cichla kelberi,-40.013333,-19.691389
Cichla kelberi,-51.427517,-16.498217
Cichla kelberi,-40.607222,-19.4675
Cichla kelberi,-48.179264,-21.779084
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-45.66,-23.37
Cichla kelberi,-45.66,-23.37
Cichla kelberi,-42.58,-21.84
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-45.66,-23.37
Cichla kelberi,-45.66,-23.37
Cichla kelberi,-45.66,-23.37
Cichla kelberi,-42.58,-21.84
Cichla kelberi,-45.430978,-3.653989
Cichla kelberi,-45.430978,-3.653989
Cichla kelberi,-43.883333,-22.833333
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-43.88,-22.7
Cichla kelberi,-43.82,-22.53
Cichla kelberi,-43.82,-22.53
Cichla kelberi,-43.82,-22.53
Cichla kelberi,-43.82,-22.53
Cichla kelberi,-43.82,-22.53
Cichla kelberi,-43.9,-22.63
Cichla kelberi,-43.9,-22.63
Cichla kelberi,-43.9,-22.63
Cichla kelberi,-43.9,-22.63
Cichla kelberi,-43.9,-22.63
Cichla kelberi,-44.57,-22.53
Cichla kelberi,-44.57,-22.53
Cichla kelberi,-44.57,-22.53
Cichla kelberi,-44.57,-22.53
Cichla kelberi,-44.57,-22.53
Cichla kelberi,-43.76,-22.67
Cichla kelberi,-43.76,-22.67
Cichla kelberi,-43.76,-22.67
Cichla kelberi,-43.76,-22.67
Cichla kelberi,-43.76,-22.67
Cichla kelberi,-43.83,-22.69
Cichla kelberi,-43.83,-22.69
Cichla kelberi,-43.83,-22.69
Cichla kelberi,-43.83,-22.69
Cichla kelberi,-43.83,-22.69
Cichla kelberi,-44.125444,-22.749333
Cichla kelberi,-38.473889,-4.193611
Cichla kelberi,-47.24815,-23.98184
Cichla kelberi,-42.230556,-19.155833
Cichla kelberi,-42.231,-19.156
Cichla kelberi,-50.804528,-22.979361
Cichla kelberi,-50.804528,-22.979361
Cichla kelberi,-57.893889,-15.84
Cichla kelberi,-57.901111,-15.906389
Cichla kelberi,-43.887144,-22.707842
Cichla kelberi,-43.883333,-22.833333
Cichla kelberi,-42.225,-18.996
Cichla kelberi,-46.350556,-4.283889
Cichla kelberi,-47.5,-5.733889
Cichla kelberi,-45.360833,-18.9725
Cichla kelberi,-45.446944,-18.556667
Cichla kelberi,-42.158889,-19.080556
Cichla kelberi,-49.875278,-23.065556
Cichla kelberi,-49.874167,-23.064444
Cichla kelberi,-49.793611,-23.109722
Cichla kelberi,-49.748889,-23.096389
Cichla kelberi,-40.985556,-19.508333
Cichla kelberi,-42.124444,-19.022222
Cichla kelberi,-54.261111,-24.678056
Cichla kelberi,-52.146106,-21.037217
Cichla kelberi,-52.120333,-21.020222
Cichla kelberi,-53.217778,-22.724167
Cichla kelberi,-46.279722,-4.775833
Cichla kelberi,-53.253056,-22.747222
Cichla kelberi,-53.358889,-22.750556
Cichla kelberi,-53.378056,-22.811944
Cichla kelberi,-50.631667,-13.431667
Cichla kelberi,-50.631667,-13.431667
Cichla kelberi,-50.719444,-13.403056
Cichla kelberi,-53.217778,-22.724167
Cichla kelberi,-43.277222,-22.557222
Cichla kelberi,-53.217778,-22.724167
Cichla kelberi,-54.248611,-24.680833
Cichla kelberi,-51.916389,-21.47
Cichla kelberi,-58.292778,-3.901389
Cichla kelberi,-54.603889,-25.447222
Cichla kelberi,-48.286667,-16.241389
Cichla kelberi,-48.495556,-16.321944
