Species,decimalLongitude,decimalLatitude
Cichla monoculus,-61.70038,-1.371478
Cichla monoculus,-59.809629,-3.663226
Cichla monoculus,-59.569675,-1.871058
Cichla monoculus,-51.140761,-23.343154
Cichla monoculus,-51.190833,0.855833
Cichla monoculus,-51.190833,0.855833
Cichla monoculus,-51.190833,0.855833
Cichla monoculus,-51.190833,0.855833
Cichla monoculus,-51.190833,0.855833
Cichla monoculus,-51.190833,0.855833
Cichla monoculus,-50.566667,0.883333
Cichla monoculus,-50.566667,0.883333
Cichla monoculus,-50.566667,0.883333
Cichla monoculus,-50.566667,0.883333
Cichla monoculus,-50.566667,0.883333
Cichla monoculus,-50.566667,0.883333
Cichla monoculus,-62.878972,-0.614455
Cichla monoculus,-60.490861,-2.823583
Cichla monoculus,-59.928333,-3.156111
Cichla monoculus,-59.916944,-3.148333
Cichla monoculus,-49.584444,-6.138611
Cichla monoculus,-51.286667,-4.662222
Cichla monoculus,-49.794722,-6.334444
Cichla monoculus,-50.805278,-4.320833
Cichla monoculus,-50.61,-4.625556
Cichla monoculus,-50.582778,-6.331944
Cichla monoculus,-58.441417,-3.074667
Cichla monoculus,-49.931944,-5.2775
Cichla monoculus,-51.286667,-4.662222
Cichla monoculus,-59.28237,-1.55022
Cichla monoculus,-70.74041,-4.17196
Cichla monoculus,-70.2625,-4.3705
Cichla monoculus,-70.77947,-4.17657
Cichla monoculus,-49.579167,-5.188333
Cichla monoculus,-50.434722,-4.836389
Cichla monoculus,-50.9925,-4.45
Cichla monoculus,-64.83121,-0.498762
Cichla monoculus,-50.513611,-6.955
Cichla monoculus,-59.56303,-3.10308
Cichla monoculus,-59.56303,-3.10308
Cichla monoculus,-50.946667,1.493333
Cichla monoculus,-50.582778,-6.331944
Cichla monoculus,-60.024278,-3.213528
Cichla monoculus,-72.713333,-7.536389
Cichla monoculus,-72.549722,-7.737778
Cichla monoculus,-45.66,-23.37
Cichla monoculus,-42.58,-21.84
Cichla monoculus,-42.58,-21.84
Cichla monoculus,-45.66,-23.37
Cichla monoculus,-45.66,-23.37
Cichla monoculus,-42.58,-21.84
Cichla monoculus,-55.039806,-2.186083
Cichla monoculus,-54.85775,-2.191472
Cichla monoculus,-55.578611,-1.955833
Cichla monoculus,-59.913611,-3.156944
Cichla monoculus,-60.316111,-3.465278
Cichla monoculus,-40.853381,-19.513653
Cichla monoculus,-55.29282,-2.101648
Cichla monoculus,-55.29849,-2.098543
Cichla monoculus,-55.29849,-2.098543
Cichla monoculus,-55.42387,-1.982571
Cichla monoculus,-51.989333,-2.865444
Cichla monoculus,-54.55422,-2.311257
Cichla monoculus,-54.58929,-2.420537
Cichla monoculus,-62.102017,-1.028217
Cichla monoculus,-69.14,-1.723333
Cichla monoculus,-59.006944,-3.225556
Cichla monoculus,-52.520333,-2.337
Cichla monoculus,-55.039722,-2.186111
Cichla monoculus,-54.890833,-2.435944
Cichla monoculus,-61.85,-1.06075
Cichla monoculus,-64.561778,-6.593528
Cichla monoculus,-63.23946,-6.35499
Cichla monoculus,-61.386444,-4.679222
Cichla monoculus,-57.05,-5.92
Cichla monoculus,-58.5,-7.7
Cichla monoculus,-56.93,-5.14
Cichla monoculus,-57.16,-6.16
Cichla monoculus,-56.7,-4.72
Cichla monoculus,-57.43,-5.93
Cichla monoculus,-57.43,-5.93
Cichla monoculus,-52.0125,-2.880833
Cichla monoculus,-52.0125,-2.880808
Cichla monoculus,-56.7,-4.72
Cichla monoculus,-56.885556,-1.331111
Cichla monoculus,-58.945556,-3.489167
Cichla monoculus,-56.779167,-1.455833
Cichla monoculus,-55.171389,-2.106111
Cichla monoculus,-55.171389,-2.106111
Cichla monoculus,-60.022133,-3.141177
Cichla monoculus,-60.022133,-3.141177
Cichla monoculus,-60.169167,-3.107222
Cichla monoculus,-59.960556,-3.082222
Cichla monoculus,-41.199222,-14.151056
Cichla monoculus,-63.287778,-5.822778
Cichla monoculus,-60.199611,-3.37075
Cichla monoculus,-58.546111,-6.353611
Cichla monoculus,-58.546111,-6.353611
Cichla monoculus,-58.168889,-6.894444
Cichla monoculus,-56.184167,-3.455
Cichla monoculus,-57.364167,-4.642222
Cichla monoculus,-59.960556,-3.082222
Cichla monoculus,-40.663889,-20.036667
Cichla monoculus,-50.997111,-23.094222
Cichla monoculus,-50.997111,-23.094222
Cichla monoculus,-50.997111,-23.094222
Cichla monoculus,-50.997111,-23.094222
Cichla monoculus,-48.347778,-6.591111
Cichla monoculus,-51.706389,-7.181389
Cichla monoculus,-52.192778,-1.836667
Cichla monoculus,-59.912222,-3.165833
Cichla monoculus,-40.213611,-20.129167
Cichla monoculus,-48.733889,-23.327444
Cichla monoculus,-40.591667,-20.705556
Cichla monoculus,-58.316389,-3.855833
Cichla monoculus,-48.524444,-21.866667
Cichla monoculus,-49.261389,-5.351389
Cichla monoculus,-56.773056,-2.230833
Cichla monoculus,-51.190278,0.227778
Cichla monoculus,-51.452222,-1.881944
Cichla monoculus,-60.431389,-8.711667
Cichla monoculus,-60.431389,-8.711667
Cichla monoculus,-53.35,-22.79
Cichla monoculus,-53.35,-22.79
Cichla monoculus,-56.290833,-1.846111
Cichla monoculus,-56.264167,-2.311667
Cichla monoculus,-56.264167,-2.311667
Cichla monoculus,-65.31,-5.12
Cichla monoculus,-55.976111,-4.270556
Cichla monoculus,-56.260833,-4.570833
Cichla monoculus,-49.387222,-1.285
Cichla monoculus,-56.319722,-1.489167
Cichla monoculus,-59.330278,-2.123333
Cichla monoculus,-51.425278,-2.069722
Cichla monoculus,-63.301111,-7.494722
Cichla monoculus,-51.57,-1.896389
Cichla monoculus,-51.450556,-1.895556
Cichla monoculus,-51.583611,-2.339444
Cichla monoculus,-60.209444,-3.3475
Cichla monoculus,-61.491111,-3.658056
Cichla monoculus,-66.154722,-2.473889
Cichla monoculus,-61.963611,-3.964167
Cichla monoculus,-48.923333,-1.369167
Cichla monoculus,-51.560833,-1.965833
Cichla monoculus,-51.556667,-22.985833
Cichla monoculus,-51.556667,-22.985833
Cichla monoculus,-51.993333,-2.809722
Cichla monoculus,-51.683,3.967
Cichla monoculus,-51.74,3.99
Cichla monoculus,-54.733334,-1.933333
Cichla monoculus,-51.683,3.967
Cichla monoculus,-39.366667,-12.583333
Cichla monoculus,-52.33,3
Cichla monoculus,-45.25,-18.216667
Cichla monoculus,-49.683333,-3.766667
Cichla monoculus,-42.6,-19.766667
Cichla monoculus,-51,-2.166667
Cichla monoculus,-59.333333,-15.5
Cichla monoculus,-43,-20
Cichla monoculus,-51.7,-3.116667
Cichla monoculus,-55.8,-1.833333
Cichla monoculus,-56.2,-1.516667
Cichla monoculus,-55.833333,-4.2
Cichla monoculus,-50.533333,-5.866667
Cichla monoculus,-55.8,-1.833333
Cichla monoculus,-60.75,-2.7
Cichla monoculus,-69.933333,-4.266667
Cichla monoculus,-60.75,-2.7
Cichla monoculus,-59.79204,-3.21324
Cichla monoculus,-59.79204,-3.21324
Cichla monoculus,-60.75,-2.7
