Species,decimalLongitude,decimalLatitude
Cichla ocellaris,-41.39215,-21.821755
Cichla ocellaris,-54.54956,-25.44706
Cichla ocellaris,-60.022747,-3.140958
Cichla ocellaris,-41.308382,-21.751115
Cichla ocellaris,-35.160292,-6.064948
Cichla ocellaris,-40.766111,-19.689167
Cichla ocellaris,-37.367544,-5.232687
Cichla ocellaris,-49.352087,-4.94502
Cichla ocellaris,-40.752667,-19.678944
Cichla ocellaris,-51.305799,-14.299192
Cichla ocellaris,-64.709638,-2.495655
Cichla ocellaris,-41.341588,-21.95042
Cichla ocellaris,-59.643921,-3.202832
Cichla ocellaris,-60.021731,-3.119027
Cichla ocellaris,-45.045916,-18.299055
Cichla ocellaris,-47.893372,-15.729598
Cichla ocellaris,-59.97438,-3.116964
Cichla ocellaris,-67.870352,-9.964883
Cichla ocellaris,-48.269491,-15.109026
Cichla ocellaris,-59.010278,-3.227222
Cichla ocellaris,-54.59434,-2.519353
Cichla ocellaris,-47.885662,-15.729097
Cichla ocellaris,-61.002722,-1.930389
Cichla ocellaris,-61.002722,-1.930389
Cichla ocellaris,-60.601139,-2.784417
Cichla ocellaris,-60.25334,-2.997239
Cichla ocellaris,-40.541111,-19.043333
Cichla ocellaris,-40.567222,-19.045
Cichla ocellaris,-59.010278,-3.227222
Cichla ocellaris,-40.618611,-19.620556
Cichla ocellaris,-40.624167,-19.623611
Cichla ocellaris,-40.614444,-19.616111
Cichla ocellaris,-40.618611,-19.620556
Cichla ocellaris,-40.608889,-19.464167
Cichla ocellaris,-40.611944,-19.47
Cichla ocellaris,-46.148333,-23.225278
Cichla ocellaris,-40.376814,-19.551211
Cichla ocellaris,-48.052778000000004,-18.908333
Cichla ocellaris,-47.552105,-24.125618
Cichla ocellaris,-47.413322,-24.060344
Cichla ocellaris,-67.242903,-5.381142
Cichla ocellaris,-61.246389,1.464167
Cichla ocellaris,-40.645833,-20.806111
Cichla ocellaris,-47.036389,-22.749444
Cichla ocellaris,-47.034167,-22.756944
Cichla ocellaris,-48.228611,-20.197222
Cichla ocellaris,-48.2290004,-20.1976647
Cichla ocellaris,-43.808333,-22.691667
Cichla ocellaris,-40.071944,-19.390833
Cichla ocellaris,-44.916667,-22.7
Cichla ocellaris,-43.954167,-22.783333
Cichla ocellaris,-44.016667,-22.783333
Cichla ocellaris,-43.954167,-22.783333
Cichla ocellaris,-43.883333,-22.7
Cichla ocellaris,-40.071944,-19.390833
Cichla ocellaris,-43.15,-22.116667
Cichla ocellaris,-42.833333,-21.3
Cichla ocellaris,-40.503056,-20.2675
Cichla ocellaris,-40.824167,-20.9325
Cichla ocellaris,-40.374167,-20.214167
Cichla ocellaris,-40.374167,-20.214167
Cichla ocellaris,-61,1.933333
Cichla ocellaris,-61,1.933333
Cichla ocellaris,-61.666667,3.333333
Cichla ocellaris,-61,1.933333
Cichla ocellaris,-51.133333,-7.766667
Cichla ocellaris,-54.15,-17.2
Cichla ocellaris,-56.75,-4.916667
Cichla ocellaris,-56.266667,-4.6
Cichla ocellaris,-59.946091,-3.239697
Cichla ocellaris,-59.946091,-3.239697
Cichla ocellaris,-60.365836,-3.82785
Cichla ocellaris,-59.946091,-3.239697
Cichla ocellaris,-60.283333,-3.416667
Cichla ocellaris,-59.943131,-3.241503
Cichla ocellaris,-60.305306,-3.523587
Cichla ocellaris,-60.014868,-3.201285
Cichla ocellaris,-60.283333,-3.416667
Cichla ocellaris,-60.283333,-3.416667
Cichla ocellaris,-60.26667,-3.41667
Cichla ocellaris,-51.65,4.05
Cichla ocellaris,-61.36,-3.43
Cichla ocellaris,-61.36,-3.43
Cichla ocellaris,-60.325381,-2.692247
Cichla ocellaris,-60.9,3.533333
Cichla ocellaris,-48.828909,-12.880855
Cichla ocellaris,-47.51155,-7.318295
Cichla ocellaris,-54.662567,-2.460646
Cichla ocellaris,-59.958502,-3.154813
Cichla ocellaris,-53.440729,-1.900308
Cichla ocellaris,-54.739873,-2.413969
Cichla ocellaris,-54.739873,-2.413969
Cichla ocellaris,-60.002619,-3.159269
Cichla ocellaris,-59.894943,-3.114398
Cichla ocellaris,-63.54646,-12.512519
Cichla ocellaris,-60.022531,-3.151728
Cichla ocellaris,-54.717215,-2.408811
Cichla ocellaris,-62.06194,-3.84583
Cichla ocellaris,-60.01,-3.11
Cichla ocellaris,-64.713421,-3.340182
Cichla ocellaris,-60.08333,-3.2
Cichla ocellaris,-58.35833,-2.89167
Cichla ocellaris,-54.69,-2.41
Cichla ocellaris,-62.64167,-3.40833
Cichla ocellaris,-61.50833,-3.10833
Cichla ocellaris,-61.50833,-3.10833
Cichla ocellaris,-54.69,-2.41
Cichla ocellaris,-64.721458,-3.300518
Cichla ocellaris,-56.3,-4.616667
Cichla ocellaris,-48.4301001,-19.9648614
Cichla ocellaris,-48.4301001,-19.9648614
Cichla ocellaris,-60.022531,-3.151728
Cichla ocellaris,-65.205,-0.3925
Cichla ocellaris,-51.120472,-0.016639
Cichla ocellaris,-60.025,-3.101944
Cichla ocellaris,-38.867509,-6.39936
Cichla ocellaris,-62.366667,-7.283333
Cichla ocellaris,-69.74167,-4.24167
Cichla ocellaris,-55.50833,-1.875
Cichla ocellaris,-54.739873,-2.413969
