scientific_name,decimalLongitude,decimalLatitude
Cichla pinima,-58.998611,-3.231389
Cichla pinima,-56.978333,-10.321111
Cichla pinima,-49.769722,-3.995833
Cichla pinima,-63.0575,-10.024722
Cichla pinima,-62.988611,-10.255556
Cichla pinima,-39.165278,-12.508278
Cichla pinima,-38.375972,-12.828417
Cichla pinima,-63.08,-9.941111
Cichla pinima,-55.054733,-2.279172
Cichla pinima,-55.150667,-2.632
Cichla pinima,-63.08,-9.941111
Cichla pinima,-54.894611,-2.436778
Cichla pinima,-54.894611,-2.436778
Cichla pinima,-39.191389,-14.6575
Cichla pinima,-39.223056,-14.659167
Cichla pinima,-63.0575,-10.024722
Cichla pinima,-55.390889,-2.571861
Cichla pinima,-54.971111,-2.484861
Cichla pinima,-54.894611,-2.436778
Cichla pinima,-54.890833,-2.435833
Cichla pinima,-54.96,-2.493611
Cichla pinima,-55.139167,-2.327778
Cichla pinima,-39.543333,-16.618889
Cichla pinima,-39.788889,-17.813333
Cichla pinima,-54.894611,-2.436778
Cichla pinima,-54.890833,-2.435944
Cichla pinima,-51.185,0.862778
Cichla pinima,-39.546667,-17.043889
Cichla pinima,-54.959889,-2.493667
Cichla pinima,-55.128111,-2.309444
Cichla pinima,-54.894611,-2.436778
Cichla pinima,-63.0575,-10.024722
Cichla pinima,-63.08,-9.941111
Cichla pinima,-55.072778,-2.902222
Cichla pinima,-56.494167,-9.448333
Cichla pinima,-56.711944,-9.374722
Cichla pinima,-52.180694,-1.930528
Cichla pinima,-52.180556,-1.930556
Cichla pinima,-58.996111,-3.516389
Cichla pinima,-58.991944,-3.494722
Cichla pinima,-55.956714,-8.365089
Cichla pinima,-54.959889,-2.493667
Cichla pinima,-52.520333,-2.337
Cichla pinima,-54.971111,-2.484861
Cichla pinima,-54.894722,-2.436667
Cichla pinima,-54.971111,-2.484861
Cichla pinima,-59.44858,0.101629
Cichla pinima,-56.600556,-4.672222
Cichla pinima,-56.326111,-6.1
Cichla pinima,-40.230278,-19.045278
Cichla pinima,-56.711944,-9.514444
Cichla pinima,-57.05,-5.92
Cichla pinima,-56.93,-5.14
Cichla pinima,-56.7,-4.72
Cichla pinima,-52.254433,-1.73175
Cichla pinima,-51.963233,-2.52545
Cichla pinima,-51.94015,-2.888528
Cichla pinima,-52.254433,-1.73175
Cichla pinima,-57.8,-6.33
Cichla pinima,-59.003611,-3.475833
Cichla pinima,-55.031389,-2.774722
Cichla pinima,-55.02,-2.751389
Cichla pinima,-40.218,-18.903833
Cichla pinima,-40.211528,-18.904778
Cichla pinima,-40.127056,-18.964611
Cichla pinima,-40.205333,-18.901389000000002
Cichla pinima,-40.140389,-18.961889
Cichla pinima,-39.142778,-16.538333
Cichla pinima,-52.586944,-3.925833
Cichla pinima,-40.381389,-20.076944
Cichla pinima,-40.058889,-19.583333
Cichla pinima,-39.178889,-16.571944
Cichla pinima,-51.452222,-1.881944
Cichla pinima,-47.783056,-1.784167
Cichla pinima,-60.4575,-5.599722
Cichla pinima,-51.57,-1.896389
Cichla pinima,-48.951111,-1.353333
Cichla pinima,-51.560833,-1.965833
Cichla pinima,-64.800278,-3.112222
Cichla pinima,-51.668889,-3.126944
Cichla pinima,-47.813333,-2.946944
Cichla pinima,-47.338333,-1.591111
Cichla pinima,-48.516666,-17.983334
Cichla pinima,-60.735833,-9.191389
Cichla pinima,-54.950001,-2.516667
Cichla pinima,-54.97167,-2.42694
Cichla pinima,-55.983334,-4.266667
Cichla pinima,-55.983334,-4.266667
Cichla pinima,-55.983334,-4.266667
Cichla pinima,-49.683333,-3.766667
Cichla pinima,-55.983333,-4.283333
Cichla pinima,-56.25,-4.45
Cichla pinima,-49.67135,-3.808219
Cichla pinima,-56.25,-4.516667
Cichla pinima,-60.3925,-6.736111
Cichla pinima,-49.666667,-2.833333
Cichla pinima,-56.25,-4.45
Cichla pinima,-56.25,-4.45
Cichla pinima,-56.25,-4.466667
Cichla pinima,-55.616667,-4.083333
Cichla pinima,-55.616667,-4.083333
Cichla pinima,-54.95,-2.5
Cichla pinima,-54.733333,-2.416667
Cichla pinima,-55.499889,-11.834194
Cichla pinima,-55.499889,-11.834194
Cichla pinima,-56.264167,-4.555556
Cichla pinima,-56.25,-4.455556
Cichla pinima,-58.084167,-6.4075
Cichla pinima,-51.620556,-3.210556
Cichla pinima,-51.620556,-3.210556
