scientific_name,decimalLongitude,decimalLatitude
Cinnamomum burmanni,-49.282222,-26.804167
Cinnamomum burmanni,-50.851181,-29.689971
Cinnamomum burmanni,-51.938222,-23.406028
Cinnamomum burmanni,-51.157516,-29.796341
Cinnamomum burmanni,-51.065833,-28.973889
Cinnamomum burmanni,-51.065556,-28.973889
Cinnamomum burmanni,-51.065778,-28.973972
Cinnamomum burmanni,-47.0608,-22.9056
Cinnamomum burmanni,-47.077171,-22.870251
Cinnamomum burmanni,-47.0608,-22.9056
Cinnamomum burmanni,-47.102222,-23.515556
Cinnamomum burmanni,-47.077222,-22.870278
Cinnamomum burmanni,-47.077171,-22.870251
Cinnamomum burmanni,-47.0608,-22.9056
Cinnamomum burmanni,-51.143791,-29.75136
Cinnamomum burmanni,-51.15,-29.766667
Cinnamomum burmanni,-51.143791,-29.75136
Cinnamomum burmanni,-48.91273,-27.12771
