scientific_name,decimalLongitude,decimalLatitude
Cinnamomum verum,-46.594,-23.501
Cinnamomum verum,-40.768,-20.375
Cinnamomum verum,-43.998333,-22.515
Cinnamomum verum,-38.943889,-12.252222
Cinnamomum verum,-45.529,-20.311
Cinnamomum verum,-47.961111,-15.938055
Cinnamomum verum,-48.151,-21.76
Cinnamomum verum,-40.4,-20.529
Cinnamomum verum,-42.959053,-22.927372
Cinnamomum verum,-45.889199,-23.244381
Cinnamomum verum,-39.42,-13.448889
Cinnamomum verum,-39.856667,-18.6725
Cinnamomum verum,-42.846,-22.486
Cinnamomum verum,-42.846,-22.486
Cinnamomum verum,-51.437778,-17.536389
Cinnamomum verum,-51.437778,-17.536389
Cinnamomum verum,-38.433333,-12.783333
Cinnamomum verum,-46.688,-23.586
Cinnamomum verum,-47.449167,-0.825
Cinnamomum verum,-49.232,-16.842
Cinnamomum verum,-47.441389,-1.774444
Cinnamomum verum,-45.349143,-23.828699
Cinnamomum verum,-46.915708,-23.576457
Cinnamomum verum,-48.325108,-19.107764
Cinnamomum verum,-46.279027,-23.152182
Cinnamomum verum,-43.996876,-22.539746
Cinnamomum verum,-47.7688,-21.232799
Cinnamomum verum,-45.458411,-21.550021
Cinnamomum verum,-47.878211,-21.934907
Cinnamomum verum,-46.342023,-23.67323
Cinnamomum verum,-48.151,-21.76
Cinnamomum verum,-48.151149,-21.760322
Cinnamomum verum,-47.022262,-21.609519
Cinnamomum verum,-39.277472,-7.281167
Cinnamomum verum,-46.688,-23.587
Cinnamomum verum,-44.07682,-19.977347
Cinnamomum verum,-43.233333,-22.98
Cinnamomum verum,-45.364848,-23.808599
Cinnamomum verum,-42.343889,-22.864722
Cinnamomum verum,-46.303,-23.943
Cinnamomum verum,-41.031846,-21.696311
Cinnamomum verum,-49.211489,-20.249887
Cinnamomum verum,-51.959167,-24.368611
Cinnamomum verum,-51.959167,-24.368722000000002
Cinnamomum verum,-51.959167,-24.368722000000002
Cinnamomum verum,-51.959167,-24.368611
Cinnamomum verum,-42.136719,-19.762194
Cinnamomum verum,-52.406944,-28.263333
Cinnamomum verum,-52.406944,-28.263333
Cinnamomum verum,-52.406944,-28.263333
Cinnamomum verum,-52.406944,-28.263333
Cinnamomum verum,-52.406944,-28.263333
Cinnamomum verum,-41.960313,-18.892475
Cinnamomum verum,-44.305861,-2.55375
Cinnamomum verum,-43.155359,-22.413374
Cinnamomum verum,-43.183235,-22.645082
Cinnamomum verum,-43.401372,-21.736599
Cinnamomum verum,-43.401381,-22.793412
Cinnamomum verum,-42.696532,-21.402737
Cinnamomum verum,-55.988889,-28.638333
Cinnamomum verum,-46.651,-23.62
Cinnamomum verum,-46.641,-23.8
Cinnamomum verum,-46.64075,-23.799607
Cinnamomum verum,-45.255303,-19.748449
Cinnamomum verum,-45.255222,-19.748469
Cinnamomum verum,-43.427222,-22.988056
