Species,decimalLongitude,decimalLatitude
Cirsium vulgare,-51.046092,-27.580536
Cirsium vulgare,-49.581197,-27.854972
Cirsium vulgare,-49.30787,-27.986047
Cirsium vulgare,-51.830973,-26.732261
Cirsium vulgare,-53.804312,-29.689722
Cirsium vulgare,-46.433381,-23.720374
Cirsium vulgare,-49.532608,-28.068575
Cirsium vulgare,-50.925952,-27.028488
Cirsium vulgare,-48.616663,-27.247017
Cirsium vulgare,-53.779726,-29.700001
Cirsium vulgare,-49.820342,-25.425011
Cirsium vulgare,-49.253636,-25.375704
Cirsium vulgare,-48.538711,-27.702303
Cirsium vulgare,-53.427673,-32.261389
Cirsium vulgare,-49.1576,-25.446434
Cirsium vulgare,-53.645215,-25.787643
Cirsium vulgare,-49.359044,-25.677464
Cirsium vulgare,-49.175503,-25.36283
Cirsium vulgare,-49.958904,-29.066503
Cirsium vulgare,-49.872224,-26.178338
Cirsium vulgare,-54.106536,-31.333227
Cirsium vulgare,-49.406024,-25.587213
Cirsium vulgare,-49.161186,-25.448276
Cirsium vulgare,-47.484639,-23.572025
Cirsium vulgare,-49.123374,-25.520611
Cirsium vulgare,-53.844708,-24.318262
Cirsium vulgare,-46.332651,-23.756061
Cirsium vulgare,-49.515431,-28.363918
Cirsium vulgare,-53.645005,-25.78691
Cirsium vulgare,-52.22717,-31.776075
Cirsium vulgare,-54.902503,-28.731243
Cirsium vulgare,-48.618368,-24.289312
Cirsium vulgare,-49.876672,-27.954539
Cirsium vulgare,-51.490813,-25.385828
Cirsium vulgare,-51.194137,-29.17013
Cirsium vulgare,-48.858612,-28.471678
Cirsium vulgare,-52.301038,-31.77051
Cirsium vulgare,-57.0129,-29.790929
Cirsium vulgare,-53.146673,-30.285191
Cirsium vulgare,-49.231645,-25.449087
Cirsium vulgare,-49.344623,-25.39833
Cirsium vulgare,-49.149526,-25.429977
Cirsium vulgare,-46.288192,-23.43847
Cirsium vulgare,-51.682222,-30.101111
Cirsium vulgare,-50.79371,-23.913767
Cirsium vulgare,-50.326111,-27.816111
Cirsium vulgare,-50.788211,-23.922647
Cirsium vulgare,-46.841851,-23.448439
Cirsium vulgare,-53.532982,-25.768499
Cirsium vulgare,-53.645177,-25.787487
Cirsium vulgare,-53.6451,-25.786793
Cirsium vulgare,-49.282531,-25.325082
Cirsium vulgare,-50.326111,-27.816111
Cirsium vulgare,-49.056164,-25.568655
Cirsium vulgare,-54.558578,-25.565774
Cirsium vulgare,-51.473045,-25.340525
Cirsium vulgare,-50.326111,-27.816111
Cirsium vulgare,-53.734011,-29.711527
Cirsium vulgare,-50.326111,-27.816111
Cirsium vulgare,-49.238516,-25.454849
Cirsium vulgare,-49.307589,-25.663613
Cirsium vulgare,-49.322902,-27.633951
Cirsium vulgare,-51.900005,-27.147223
Cirsium vulgare,-56.124104,-30.336349
Cirsium vulgare,-52.579722,-26.471111
Cirsium vulgare,-52.579722,-26.471111
Cirsium vulgare,-52.154722,-24.319167
Cirsium vulgare,-49.169433,-25.494953
Cirsium vulgare,-49.518247,-25.450888
Cirsium vulgare,-49.532796,-25.478554
Cirsium vulgare,-51.417293,-23.535493
