Species,decimalLongitude,decimalLatitude
Cissus verticillata,-48.924642,-27.091489
Cissus verticillata,-48.924491,-27.091249
Cissus verticillata,-47.90706,-22.030331
Cissus verticillata,-46.488835,-23.598245
Cissus verticillata,-51.200701,-23.327477
Cissus verticillata,-36.44591,-7.697556
Cissus verticillata,-44.461253,-19.636639
Cissus verticillata,-50.144141,-26.406916
Cissus verticillata,-35.863377,-7.169488
Cissus verticillata,-48.924488,-27.091578
Cissus verticillata,-49.282258,-26.804158
Cissus verticillata,-48.923116,-27.091464
Cissus verticillata,-49.284722,-26.805278
Cissus verticillata,-46.770444,-1.043917
Cissus verticillata,-35.751436,-9.6252
Cissus verticillata,-35.11664,-7.399689
Cissus verticillata,-48.63212,-26.971428
Cissus verticillata,-38.575015,-3.744331
Cissus verticillata,-52.398056,-24.163611
Cissus verticillata,-53.557778,-27.048333
Cissus verticillata,-53.557778,-27.048333
Cissus verticillata,-52.398306,-24.163722
Cissus verticillata,-46.302258,-23.941027
Cissus verticillata,-43.887651,-19.839681
Cissus verticillata,-50.444679,-18.459572
Cissus verticillata,-43.031111,-22.511111
Cissus verticillata,-48.631961,-26.971423
Cissus verticillata,-43.238862,-22.915514
Cissus verticillata,-43.495278,-20.254444
Cissus verticillata,-50.15,-21.770278
Cissus verticillata,-48.374086,-19.92786
Cissus verticillata,-46.574447,-23.641951
Cissus verticillata,-46.524514,-21.365651
Cissus verticillata,-47.928827,-19.766378
Cissus verticillata,-46.733889,-23.580278
Cissus verticillata,-49.506167,-28.632028
Cissus verticillata,-47.809391,-15.799222
Cissus verticillata,-34.866294,-7.130089
Cissus verticillata,-41.429722,-3.092778
Cissus verticillata,-48.418825,-27.482228
Cissus verticillata,-46.65,-23.455505
Cissus verticillata,-49.238093,-16.702237
Cissus verticillata,-46.270033,-23.699956
Cissus verticillata,-52.016389,-16.834444
Cissus verticillata,-49.121925,-26.905533
Cissus verticillata,-48.924147,-26.912638
Cissus verticillata,-49.278921,-26.794102
Cissus verticillata,-49.278921,-26.794102
Cissus verticillata,-49.278921,-26.794102
Cissus verticillata,-49.285281,-26.828128
Cissus verticillata,-49.278914,-26.829889
Cissus verticillata,-48.649575,-26.98603
Cissus verticillata,-49.278921,-26.794102
Cissus verticillata,-48.98888,-27.087059
Cissus verticillata,-48.664978,-27.039053
Cissus verticillata,-49.2676,-26.829187
Cissus verticillata,-49.110853,-26.854429
Cissus verticillata,-48.854572,-27.08794
Cissus verticillata,-48.531535,-27.791267
Cissus verticillata,-46.638778,-23.456291
Cissus verticillata,-46.638778,-23.456291
Cissus verticillata,-38.484968,-3.749647
Cissus verticillata,-38.484968,-3.749647
Cissus verticillata,-48.649326,-26.814779
Cissus verticillata,-49.078812,-26.906466000000002
Cissus verticillata,-46.639517,-23.457448
Cissus verticillata,-37.12794,-7.84459
Cissus verticillata,-35.86305,-7.22861
Cissus verticillata,-39.205278,-11.508333
Cissus verticillata,-39.205278,-11.508333
Cissus verticillata,-46.635452,-23.629084
Cissus verticillata,-47.178425,-23.588737
Cissus verticillata,-38.453425,-6.981837
Cissus verticillata,-49.142718,-26.904698
Cissus verticillata,-49.049519,-26.884802
Cissus verticillata,-41.297721,-21.738554
Cissus verticillata,-51.121046,-29.61961
Cissus verticillata,-38.589646,-6.909871
Cissus verticillata,-45.116154,-22.737001
Cissus verticillata,-38.438817,-3.771808
Cissus verticillata,-47.344205,-22.766529
Cissus verticillata,-48.628028,-26.96543
Cissus verticillata,-41.301628,-21.761862
Cissus verticillata,-48.636111,-26.856944
Cissus verticillata,-48.922978,-27.091456
Cissus verticillata,-57.849444,-22.007778
Cissus verticillata,-57.893611,-21.9675
Cissus verticillata,-57.859444,-22.035278
Cissus verticillata,-40.338889,-20.370278
Cissus verticillata,-47.93612,-15.783325
