scientific_name,decimalLongitude,decimalLatitude
Citrus x limon,-47.901548,-15.739098
Citrus x limon,-46.461635,-23.539041
Citrus x limon,-51.177901,-30.02627
Citrus x limon,-48.013296,-15.83686
Citrus x limon,-44.484709,-14.164612
Citrus x limon,-44.821389,-2.695833
Citrus x limon,-47.172205,-22.725792
Citrus x limon,-46.59977,-23.657867
Citrus x limon,-38.984722,-12.236389
Citrus x limon,-46.668598,-23.16304
Citrus x limon,-40.970278,-21.171667
Citrus x limon,-40.970278,-21.171667
Citrus x limon,-38.945556,-12.261389
Citrus x limon,-49.663022,-27.215983
Citrus x limon,-38.974444,-12.073333
Citrus x limon,-44.304816,-19.567421
Citrus x limon,-44.359176,-22.730953
Citrus x limon,-44.359187,-22.730937
Citrus x limon,-40.702778,-13.402222
Citrus x limon,-38.149167,-12.075278
Citrus x limon,-53.320732,-23.750479
Citrus x limon,-48.13512,-24.737974
Citrus x limon,-52.054134,-32.036004
Citrus x limon,-46.821365,-23.227209
Citrus x limon,-47.02999,-22.813385
Citrus x limon,-49.094817,-25.444409
Citrus x limon,-44.287044,-23.136595
Citrus x limon,-43.213422,-22.123229
Citrus x limon,-45.530475,-20.31076
Citrus x limon,-46.253205,-23.348253
Citrus x limon,-38.976111,-12.268056
Citrus x limon,-38.929722,-12.236389
Citrus x limon,-43.064019,-22.91225
Citrus x limon,-47.399751,-24.187785
Citrus x limon,-45.532398,-23.008507
Citrus x limon,-51.378492,-22.105125
Citrus x limon,-36.84,-6.12
Citrus x limon,-47.255081,-23.715216
Citrus x limon,-48.594028,-25.930743
Citrus x limon,-48.458386,-27.577525
Citrus x limon,-47.837267,-23.590241
Citrus x limon,-42.845825,-22.486254
Citrus x limon,-43.05327,-22.552307
Citrus x limon,-49.856389,-26.251944
Citrus x limon,-48.874313,-23.175271
Citrus x limon,-51.518911,-29.189519
Citrus x limon,-51.339822,-29.226308
Citrus x limon,-49.2541,-25.386637
Citrus x limon,-41.535278,-7.521944
Citrus x limon,-41.535278,-7.521944
Citrus x limon,-35.726038,-9.609067
Citrus x limon,-54.313013,-30.321887
Citrus x limon,-43.608698,-22.971155
Citrus x limon,-47.064286,-23.154462
Citrus x limon,-48.006389,-21.349781
Citrus x limon,-48.991846,-27.612782
Citrus x limon,-50.365556,-21.301944
Citrus x limon,-43.491464,-22.726884
Citrus x limon,-42.321609,-22.320766
Citrus x limon,-46.824984,-23.344624
Citrus x limon,-47.73201,-15.81572
Citrus x limon,-45.361759,-23.279721
Citrus x limon,-45.361759,-23.279721
Citrus x limon,-48.819866,-27.517289
Citrus x limon,-46.661667,-23.409167
Citrus x limon,-45.256259,-21.697325
Citrus x limon,-47.480285,-23.580195
Citrus x limon,-56.419444,-15.656111
Citrus x limon,-49.394145,-20.831154
Citrus x limon,-49.332004,-20.821686
Citrus x limon,-48.499163,-27.687875
Citrus x limon,-54.672258,-30.973715
Citrus x limon,-50.106706,-29.940146
Citrus x limon,-50.106868,-29.940082
Citrus x limon,-50.106819,-29.939992
Citrus x limon,-48.985152,-15.874582
Citrus x limon,-49.281823,-25.324553
Citrus x limon,-43.161943,-22.435291
Citrus x limon,-43.161862,-22.435312
Citrus x limon,-44.644199,-23.238591
Citrus x limon,-52.398312,-31.564163
Citrus x limon,-48.308205,-21.263967
Citrus x limon,-52.805556,-22.628333
Citrus x limon,-52.80575,-22.628583
Citrus x limon,-39.266,-7.275917
Citrus x limon,-46.668446,-23.604238
Citrus x limon,-41.033889,-6.885
Citrus x limon,-46.733889,-23.58
Citrus x limon,-52.256111,-24.735278
Citrus x limon,-52.256333,-24.735472
Citrus x limon,-47.382536,-22.702045
Citrus x limon,-46.562649,-23.529071
Citrus x limon,-46.46544,-23.518158
Citrus x limon,-52.825556,-24.920833
Citrus x limon,-52.825583,-24.920833
Citrus x limon,-52.387828,-29.723356
Citrus x limon,-46.678027,-23.622227
Citrus x limon,-49.19617,-25.404737
Citrus x limon,-44.588091,-22.324788
Citrus x limon,-43.161389,-22.227778
Citrus x limon,-48.435838,-22.602219
Citrus x limon,-49.202828,-25.493708
Citrus x limon,-49.265624,-25.41521
Citrus x limon,-52.154722,-24.319444
Citrus x limon,-51.796667,-25.150833
Citrus x limon,-52.154833000000004,-24.319556
Citrus x limon,-51.796917,-25.151083
Citrus x limon,-46.558413,-23.526782999999998
Citrus x limon,-47.085553,-23.187524
Citrus x limon,-48.895278,-1.217222
Citrus x limon,-44.078972,-20.310926
Citrus x limon,-49.932853,-22.188135
Citrus x limon,-48.133258,-15.827536
Citrus x limon,-53.318812,-24.300449
Citrus x limon,-49.331778,-25.56707
Citrus x limon,-41.534649,-20.775409
Citrus x limon,-51.174521,-29.179958
