Species,decimalLongitude,decimalLatitude
Clitoria fairchildiana,-45.918981,-23.759583
Clitoria fairchildiana,-45.06433,-23.396555
Clitoria fairchildiana,-35.760558,-9.613102
Clitoria fairchildiana,-46.989901,-23.449351
Clitoria fairchildiana,-44.30515,-2.552411
Clitoria fairchildiana,-44.305001,-2.55252
Clitoria fairchildiana,-49.283056,-26.805278
Clitoria fairchildiana,-44.722428,-23.218163
Clitoria fairchildiana,-44.722377,-23.218248
Clitoria fairchildiana,-54.569662,-20.447534
Clitoria fairchildiana,-49.082625,-26.906979
Clitoria fairchildiana,-40.588742,-19.943278
Clitoria fairchildiana,-44.00935,-22.476194
Clitoria fairchildiana,-44.517897,-22.445204
Clitoria fairchildiana,-63.902179,-8.730755
Clitoria fairchildiana,-45.603783,-23.449317
Clitoria fairchildiana,-46.519442,-23.495176
Clitoria fairchildiana,-42.872451,-20.772129
Clitoria fairchildiana,-46.524754,-22.936142
Clitoria fairchildiana,-64.726263,-3.352238
Clitoria fairchildiana,-58.43019,-3.125324
Clitoria fairchildiana,-43.946587,-22.697131
Clitoria fairchildiana,-45.597537,-23.014395
Clitoria fairchildiana,-47.683475,-22.685268
Clitoria fairchildiana,-47.963205,-19.763036
Clitoria fairchildiana,-47.739722,-3.267222
Clitoria fairchildiana,-49.259237,-16.601917
Clitoria fairchildiana,-48.969212,-28.448755
Clitoria fairchildiana,-43.977937,-19.859675
Clitoria fairchildiana,-38.57481,-3.745029
Clitoria fairchildiana,-34.948147,-6.691497
Clitoria fairchildiana,-43.048618,-22.556563
Clitoria fairchildiana,-42.662529,-20.704617
Clitoria fairchildiana,-43.072592,-22.588823
Clitoria fairchildiana,-45.715572,-23.761013
Clitoria fairchildiana,-35.00421,-7.967126
Clitoria fairchildiana,-49.283611,-28.849167
Clitoria fairchildiana,-49.283611,-28.849167
Clitoria fairchildiana,-36.481066,-8.890047
Clitoria fairchildiana,-39.91,-18.825997
Clitoria fairchildiana,-39.706942,-18.418418
Clitoria fairchildiana,-35.724157,-9.608922
Clitoria fairchildiana,-56.071429,-9.875456
Clitoria fairchildiana,-72.686846,-7.618652
Clitoria fairchildiana,-72.683891,-7.630977
Clitoria fairchildiana,-42.838908000000004,-5.035428
Clitoria fairchildiana,-44.527555,-22.44314
Clitoria fairchildiana,-49.267045,-26.813405
Clitoria fairchildiana,-38.966667,-12.266667
Clitoria fairchildiana,-36.480474,-8.889502
Clitoria fairchildiana,-42.651214,-22.893092
Clitoria fairchildiana,-56.053433,-9.88485
Clitoria fairchildiana,-39.166942,-14.78535
Clitoria fairchildiana,-49.873831,-22.984493
Clitoria fairchildiana,-54.633333,-20.505556
Clitoria fairchildiana,-50.477836,-21.224623
Clitoria fairchildiana,-46.075429,-23.810911
Clitoria fairchildiana,-44.689394,-22.494283
Clitoria fairchildiana,-38.12242,-4.18467
Clitoria fairchildiana,-40.307225,-11.020208
Clitoria fairchildiana,-46.977438,-24.265001
Clitoria fairchildiana,-45.898864,-23.762934
Clitoria fairchildiana,-54.677605,-20.442764
Clitoria fairchildiana,-54.625575,-20.443793
Clitoria fairchildiana,-52.574356,-23.680989
Clitoria fairchildiana,-40.765201,-16.635643
Clitoria fairchildiana,-43.611511,-22.845942
Clitoria fairchildiana,-46.255888,-23.316465
Clitoria fairchildiana,-46.852296,-24.207502
Clitoria fairchildiana,-45.108735,-23.418293
Clitoria fairchildiana,-45.4071,-23.847347
Clitoria fairchildiana,-34.928043,-8.119133
Clitoria fairchildiana,-43.226667,-22.965833
